name,country,mbid,youtube_channel
Vicente Fernández,MX,3b829056-d975-4ae7-be3c-20661ce980e8,
Pedro Infante,MX,35b17a3b-601b-4049-9bdd-4933d8ec4e10,
Óscar Chávez,MX,b4a4ce33-3de7-4971-b768-c560aabd1b16,
Juan Gabriel,MX,bc9b7500-0afc-41ba-a056-b0bc81669702,
José José,MX,4f4a0d43-75d4-4c31-8d0d-c48e4c0efbf9,
José Alfredo Jiménez,MX,c02be87c-adc4-4c34-afb3-900393050727,
Los Panchos,MX,7eadfa84-186b-4953-a28b-d684a69c34e2,
Lola Beltrán,MX,5bace4e8-2280-4d13-a198-94e13587e111,
Hocico,MX,b16fd684-831e-4128-8120-6626e76f88c6,
Pepe Jaramillo,MX,1d3ca4c8-ce61-495e-ab9d-c763d622798f,
RBD,MX,5bae9c05-fabd-420f-b806-c5b8ba88bd7e,
Chavela Vargas,MX,77586a91-4586-4962-b836-e496d3a05432,
Alejandro Fernández,MX,772a8360-e81e-4647-92e2-195c19efddad,
Los Xochimilcas,MX,a517f175-dd3e-4997-b536-77bdc45669dc,
Antonio Aguilar,MX,ba683849-490c-4afb-9c8d-7278b25cbdc1,
Mariachi Guadalajara,MX,a9fdd51b-70be-4aa3-9b7c-50186ec1c8ce,
Mariachi Vargas de Tecalitlán,MX,0af02af6-311a-4ce3-a3e3-9b17c498f297,
Luis Miguel,MX,90270118-8ed0-4446-bf97-8a09b3f9e8f3,
Armando Manzanero,MX,3d7f753f-b261-4efc-9785-25c14204c0b1,
Thalía,MX,ae33ce8d-f41a-4f6b-b9c6-7859acbd04ef,
Javier Solís,MX,49d300e4-b3bd-4a61-b85e-fb5d66948210,
Cri‐Crí,MX,870f28a3-da88-419a-ae0e-43526dfc9ca1,
Joan Sebastian,MX,87c18952-956e-46bf-a4b9-8c13f5a4e3fa,
Bronco,MX,5b10d2e8-b4d7-420a-a914-9c6504ff18e9,
Cuco Sánchez,MX,161ff9a7-b629-4dc5-8bd6-57e0c1af32bb,
Pérez Prado and His Orchestra,MX,09c90630-b2b3-488f-97a2-06d41a85e8ac,
El Tri,MX,2c7d1a89-039f-499f-b354-ebe94512f8af,
Molotov,MX,4f8916d6-a7d2-43e9-96b6-ce3168c39c84,
Ana Gabriel,MX,3c6a29ce-5056-4d07-9be5-81393956dd4e,
Maná,MX,55441123-89a2-49ab-ae3f-df7a3e86835a,
Yuri,MX,40bad6e2-77f9-47b7-b0da-ffe035a10f67,
Paulina Rubio,MX,5938c629-1d06-480b-9780-859b153af11e,
Lila Downs,MX,ad29ae1c-2eda-4071-9dc8-31910e7e546c,
Los Freddy’s,MX,04212b31-0873-430c-bec4-c6821b825f37,
Alejandra Guzmán,MX,618bf47d-48ff-4aec-8d82-435b93dcca76,
Los Apson,MX,9782f9ff-dc89-444f-a859-552fd1735930,
Rodrigo y Gabriela,MX,a8ed28e3-5c08-4448-b889-867483e251f5,
Los Tecolines,MX,3a428950-6d1c-49ae-aa32-a3bbe5908ca1,
Gloria Trevi,MX,f5b33d1b-e8bc-444e-bc5c-490473aa0f50,
Marco Antonio Solís,MX,006631f4-5214-49ff-a386-a064853d1a1e,
Manuel María Ponce,MX,22ee6983-fab6-4ac1-872c-8cd4f6f94a5c,
Café Tacvba,MX,c2b37a39-c66a-44b2-b190-a69485ae5d95,
Cristian Castro,MX,8cc00e45-94c9-40e0-882b-0e76dd5b472b,
Pandora,MX,2dba15bf-5afb-498a-9640-26eaa3ffa421,
Los Bukis,MX,6291431a-b8c0-425b-8e37-e4c9980ef751,
Jorge Negrete,MX,ec57c22f-9bb7-48ab-aa85-dab108a71b53,
Emmanuel,MX,bd3c37bf-1c9f-4d68-b429-cd15d02063a0,
Acerina y su Danzonera,MX,586e9ac5-d295-4ef5-913c-5be20e002804,
Manuel Bonilla,MX,b2bea295-9253-4fee-8de0-89e4e00d5785,
David Záizar,MX,327168e8-6cef-4626-b4fe-742032dfdab0,
Los Cadetes de Linares,MX,faf7ccd0-1c1a-4353-9729-f51f7c3cc8a4,
El Coyote y su Banda Tierra Santa,MX,c6fdc194-f46e-495d-b84d-442eb3d74800,
Mijares,MX,faaf1297-2dd0-447d-b562-006876a5f803,
Aleks Syntek,MX,2fae3969-96cb-4dea-91c8-9108848de808,
Transmetal,MX,ba77cd1f-7872-43d6-9aa1-190528b3f43e,
Fernando Navarro,MX,aff29cb4-9628-4492-aaf8-fe1e46f16358,
Los Rieleros del Norte,MX,f659508e-5ed6-49a3-a15f-66628c98eb0e,
Sergio Flores,MX,70a20fec-6d51-48f4-a5f3-3589a22a9617,
Zoé,MX,5838185a-0ee6-4a0b-8d4e-76a6e15f7d4b,
Guadalupe Pineda,MX,6a62096c-cca2-477f-b140-5fd93593ca6c,
The Zame,MX,c9a53fab-f8c4-432e-a917-0305abd40f7e,
Timbiriche,MX,6fe116e4-1fa1-4bd5-b175-c405598a1bae,
Los Babys,MX,deb99423-954a-444d-8ff3-663db57a8095,
Lucero,MX,4befe93e-7cb6-4adb-b822-8b19ceb59768,
Julieta Venegas,MX,601f8530-9009-4f73-94fb-a355b4497b70,
Mariachi de Román Palomar,MX,5ced350b-d169-4d1c-b48e-26cb83f415cd,
Caifanes,MX,77814bfb-f1b0-47fd-8492-65d6f72c246d,
Miguel Aceves Mejía,MX,9f61287e-bfc4-4509-9364-d7bb750a7d7d,
Pancho Barraza,MX,0556bfcd-52d0-4ec2-953d-52e93f2d2447,
Paquita la del Barrio,MX,34d5c30f-55f5-4ab2-abce-2456a1ee0e01,
Amparo Ochoa,MX,2ea53bc3-56cc-4f00-9588-73cb019c43c8,
Los Temerarios,MX,b77c86fb-8b31-44d3-95fe-398fbb12c7ce,
Tania Libertad,MX,a4b9944c-57c9-4098-b011-259f47695b84,
Nórdika,MX,d1aaa047-34ab-47aa-9551-b9d7db7fe883,
Natalia Lafourcade,MX,2ceb4e66-4eaa-4dba-ad3a-30df3b742557,
PΣRMANΣNT//ZΣIMP,MX,99dbb7b2-dc2c-4e5c-8d17-d932c4c2e189,
Los Folkloristas,MX,d3153560-39c0-41b0-9f28-c70966b0cf8d,
Agustín Lara,MX,8c8837b1-60cc-4bf4-b9bb-71ad2f757841,
Chalino Sánchez,MX,e3205b9f-9e38-4af3-bf48-d8122d6da118,
Carin León,MX,db8efd58-7cd0-4ca8-a538-14ad6b44640b,
Ha*Ash,MX,16f146da-deef-4f07-9bbf-e4922c27067e,
Murcof,MX,e8d1f02e-7e77-4415-85b6-dc17e08debbf,
Pesado,MX,d184d50f-c0e0-455c-a14f-420f906304bd,
Enrique Guzmán,MX,ed06d990-f010-4bf7-ab7a-aa6660c54e04,
Moderatto,MX,967a94ea-64a9-44b8-8e17-daa29141c548,
Grupo Yndio,MX,185126c1-9b1e-4d96-be99-9736e0e4e6b0,
C-Lekktor,MX,3a4af5c1-9bc6-42fc-9a82-ce7a343173a8,
Juan García Esquivel,MX,cf3a09cd-6374-4050-8b70-b4de5bafd681,
Trío Los Jaibos,MX,4d0bdcf3-c281-499b-816d-2a7ab4ec01d1,
Antonio Bribiesca,MX,3d8f1f9e-1b40-4491-ab45-c67214150fbe,
Daniela Romo,MX,d266087e-ba8c-4f73-b505-4e1bd69fd5c5,
Toña la Negra,MX,b3d01fbd-f8ee-4c3b-a718-04615027fbd2,
Flans,MX,401ece69-dba5-431d-a5bc-dd44a68cf8cd,
Cast,MX,fd1c7699-6503-4846-9c56-22136cc69657,
Youkaifox,MX,4423c077-355e-4185-b127-f2402837e443,
Banda Machos,MX,46a7282b-af3e-4e4f-badb-41d2e12d1a19,
Mexican Institute of Sound,MX,b020d789-323f-4441-a110-032a40d9b10a,
Rojo,MX,9f16acb6-58de-4690-82dd-14771cfc3d08,
Jorge Reyes,MX,4cbf357f-d194-45b0-b9ff-9a2531b86d4e,
Mœnia,MX,7d7fd458-5486-4fb6-a8f8-f9eefe4ca68d,
