name,country,mbid,youtube_channel
黄明志,MY,86532fa5-2736-42a6-b861-d84a2bb519cd,
梁靜茹,MY,9e52fbe2-dcc2-4720-9ddd-9ad8202a5287,
品冠,MY,35380fb7-9c3b-48e1-bc10-42776793b217,
黄慧音,MY,15bd312b-5ecb-45fb-8efe-f44c8fde5093,
光良,MY,1b89c374-e0f1-4aa1-9f08-d56cfdd644f6,
Yuna,MY,c58c7817-420d-4268-bccf-f3d90565e2e6,
Search,MY,77c8aab1-0916-40af-ad40-1fb994843f71,
Siti Nurhaliza,MY,bcf6637d-a789-49c1-b2b2-dc789fb7df02,
Wings,MY,212ce99e-bfdc-4bd2-a3d9-d44de2ec2679,
Sudirman,MY,4fabccd9-8260-4a57-aefa-1aa08a024a47,
Sheila Majid,MY,9b85d9b7-fb33-45a0-8673-8391ad0088f0,
Humiliation,MY,ec38c0cc-f03e-4833-859c-d390c57067c6,
無印良品,MY,0cc55cf8-0fb7-4a00-b258-5906cbc4729e,
Haze,MY,e2d61035-8c94-4352-adef-046b373ab04a,
A.C.A.B.,MY,50e3540e-c6d8-41d6-82a8-efaf384eef90,
張智成,MY,907151f5-a9e5-4c97-a8ee-a6f3d82ff94e,
XPDC,MY,7a6a63dc-0d19-4801-b967-4c4691b1183f,
Ella,MY,5d430f8d-d2ce-4b16-92fe-4822602b7130,
四葉草,MY,d3301edb-305f-4e6d-a171-82942b6789ae,
Omen,MY,6131498e-8b1b-420b-93f8-4a027f43b9c5,
M. Nasir,MY,7bf16a7c-2317-41aa-893a-f73d67967018,
Shitnoise Bastards,MY,b38d19d0-7028-4818-8ab6-beb85ac4cd25,
Nora,MY,8951d10b-87a1-4e8a-ad0c-8eea319926e7,
S N U G,MY,b215cd58-9108-4fa4-a01a-eba825f3ca81,
VIONA,MY,1c127545-5f14-4a14-a356-c1c24a95f953,
Yuforia,MY,98946e10-d24a-48bd-b0eb-736b756c00cf,
曹格,MY,c6e4c1a5-695e-4f7a-a69f-55081cf2e170,
Sil Khannaz,MY,d1b33cf8-33dd-4e51-9432-8af3fc54c18d,
阿牛,MY,520412b2-4aad-45c4-bf88-31efa684bb5f,
Silent Death,MY,77b771fe-556b-4507-854b-8194e0914cb1,
Too Phat,MY,fefc0114-a5ab-47c6-8032-a39b889866fd,
P. Ramlee,MY,6b2f4412-a43f-4d3c-9ed2-43f6d4f153d0,
Alleycats,MY,5accd16f-2d11-413c-b634-b85df8beb0e8,
Zee Avi,MY,abb85a9c-c740-451a-8ea0-a236e1916c67,
F.T.G.,MY,29590caf-7ddd-414d-a6e7-71e661b67cfa,
Suffercation,MY,5cf0cdc8-0a12-4332-9cd6-2604dafb13ca,
Butterfingers,MY,942c2e68-2d4a-40b9-99f4-25392aa1b1cf,
Pop Shuvit,MY,6277c674-a9c5-4396-a992-6e155d6574ef,
Mantak,MY,4e71691a-021d-4074-9495-13523aeacb4c,
Monday Night Book Club,MY,b71c30be-4a83-48f6-872e-d9389632ddac,
Ziana Zain,MY,de40f391-3a78-4f27-8862-6c2d0429b69d,
Neftaraka,MY,df30ce5d-b45a-490b-8fbc-3f94d5110def,
Cromok,MY,9dd96bc7-6e8e-439b-8a2b-cbd8af3a4049,
BL1NKY,MY,74c23f4d-6363-45e3-9a9d-41fec52ffaf6,
Flica,MY,ccff8656-3396-4f57-a0c5-b53383f98121,
Lefthanded,MY,854f7caa-c7ca-4c34-b130-7f175faf6d52,
Reputdeath,MY,2755c1a1-4811-4c50-891f-0281b4fcd3d6,
Bunga Citra Lestari,MY,a2e33d5d-e38a-4eac-9daa-2bbe54e0b462,
Hujan,MY,455bf326-6037-4abd-bcb0-00b2f95eb27f,
Moon Jelly,MY,3b861a4b-c257-4ce2-a9da-5d48e3d4024c,
Dayang Nurfaizah,MY,6fd7475c-6e08-4b00-a8fd-433abfbb5a4f,
Silenced Minstrel,MY,1ed53f2d-5465-48de-adfb-ca2e46fec661,
Fauziah Latiff,MY,86446349-37ea-45c0-acae-9fe0c6be1067,
CELESTYN,MY,7b4e7557-4e2d-4e8d-831e-8e3ca572bc23,
Poetic Ammo,MY,ecca0db7-7d78-4368-8490-0c36802974dd,
Dex Hexallion,MY,b5934097-6f15-44fb-b34c-7fdcccfdf9b3,
Malaysian Philharmonic Orchestra,MY,bced5313-6fd8-4c7e-988b-ad816f220516,
Bazzah,MY,db7efd11-4ff6-4696-83f4-ac2e74162920,
石欣卉,MY,b6751e67-6f26-42e5-8b78-54af3c7ff7db,
Putrefied Remains,MY,6a67beba-a818-4641-8fcd-1f1dd3ad79c3,
Yuri Wong,MY,7aae3167-3a77-47ee-981b-511ccad224b7,
Adnan Othman,MY,2530b084-cce2-406e-93bd-47607f4dd7e3,
Handy Black,MY,a103f91b-785e-4ecf-aabd-5bb8d81f9b0c,
龔柯允,MY,f300d69e-e23b-4fa3-bac3-a972b920da11,
Redza.,MY,9e0d9063-a021-47fb-9867-d7fcf4d68b24,
Amuk,MY,ef77f52e-a7fa-4122-9ad6-3bcbe3a30a1c,
李心潔,MY,3b977feb-d4b5-47b0-94ad-9088982d81d5,
Spider (MY),MY,ec0f311c-2eb0-407e-b9c7-749f6b45c9e3,
Starscixn,MY,4d0d8d6a-6a71-4c72-87e7-bff11296a665,
Jugra,MY,df23a21c-8c68-4cbb-9e02-43dc3426373f,
Ning Baizura,MY,ac57e5bc-4c99-4751-9ed2-2540add014be,
Anuar Zain,MY,1ce91a11-9d46-4cb9-beed-00bf70a329b0,
Raihan,MY,ca091f51-4ed1-44bc-ae9c-815a89354b03,
Vociferation Eternity,MY,a36116b6-3778-4626-8c0f-c3433e725d59,
Valley of Sorrow,MY,7b5f35a0-c671-4a37-95ed-7d84057ca428,
Rem,MY,1b5218fd-c2cb-4385-a9a6-225fa9daf276,
Masterpiece,MY,b547cab1-2f67-4f3f-97d1-1e40bec8fa23,
方炯鑌,MY,81a238b3-5666-4c3d-b27a-ed62dfd5bf75,
Alextbh,MY,be496b24-d519-4f65-acd4-b8fde1ff3800,
Torture Incident,MY,241d6fa4-3cd2-4202-8f6e-facf4cfa6345,
Indigo,MY,452ba756-d4b4-4424-85d6-1ea20b42f4d1,
Goh Lee Kwang,MY,44e5eafb-a076-4743-86e7-38905daff573,
Nebiras,MY,19a7913d-6cb8-4271-b9bf-1e56843cebfb,
蔡豫,MY,92d9d982-a66c-4cfe-8fe7-6a8f337ec744,
Senseless,MY,55734ddc-b597-492c-93ed-3069ca704f0a,
Modar,MY,c48ab183-69f4-4b70-bdc7-d55e001f1dc0,
NATIONAL ナショナル,MY,bd05e0df-bdb6-4738-bb15-89891e69a496,
Blasphmachine,MY,b554c89b-4906-4c97-87df-3fdf76a50949,
Langsuyr,MY,4a63e39b-1144-435c-95c1-a4e18ffb6cdc,
Azlina Aziz,MY,5774dca0-d748-44ca-86ff-bbe06a385240,
Reshmonu,MY,b13ff4e0-1259-4a90-8aa8-0b26606a9e53,
Awie,MY,a614affd-2484-4c62-8234-2f6c497480be,
Teh Tarik Crew,MY,6d5cc9f1-0715-4e63-a137-a85ea135aaca,
Exists,MY,6b48c8e2-ccef-4ddf-968f-8089a8492a64,
Malique,MY,ae085b2d-7e84-4dc1-a9a0-19c048d6a0b0,
Psychotic Sufferance,MY,47d61fb9-7565-463b-a71e-7284eaa0b363,
Militant Attack,MY,0c9beac6-b7ce-4cb0-95e5-ea7c26f8ef18,
Piet Onthel,MY,de75441f-b9e0-4f2f-948a-7ea35d46958c,
OAG,MY,dcc37198-a6ee-4ff6-8853-f6bb67c7e396,
Kyoto Protocol,MY,074972a1-1b1e-4899-8cfb-8498ab869f90,
Piri Reis,MY,10ffb6d0-6072-4821-a095-edf870131023,
