name,country,mbid,youtube_channel
Afric Simone,MZ,3616cb5d-3e5d-4a25-ae23-37d1c2f6feba,
2lane,MZ,30e6cd5b-2549-49bb-bead-0896918398bc,
Gito Baloi,MZ,d7fa27a7-123e-4c70-b421-97b92f1b3926,
Mabulu,MZ,9006d21f-7aab-40df-877c-9707a8a73e89,
Eyuphuro,MZ,6e2df5d6-6481-4e20-b89c-5eef9d3ad7f3,
Orchestra Marrabenta Star de Moçambique,MZ,9d8a0023-2533-41fe-a520-4960c1910e34,
Loiriplukari,MZ,4bee3826-1afe-40c4-9dbd-64181ee9ca97,
340ml,MZ,1d5c58f2-76d5-4424-a563-d593a85204b8,
Ghorwane,MZ,7ba22880-978f-4e4c-849a-3baf167fc9c0,
Moreira Chonguica,MZ,8f6b44ba-3d5d-43d9-840b-0b1517e9d0b8,
Hot Blaze,MZ,81b9cabe-f631-4b68-9d30-d3a568e2c553,
Helio Beatz,MZ,6773225d-e711-453a-b6c3-06c073da9d96,
Dilon Djindji,MZ,15687974-3650-47e9-8694-d9bdb8029135,
Azagaia,MZ,5c2070b6-3249-46a1-aaf9-970afa80963f,
Kakana,MZ,10c1fe11-84bf-4e4b-83c3-c7336498738f,
Wazimbo,MZ,722f4d9c-bdfd-421d-9ad2-57a776005b96,
Massukos,MZ,a57cf914-3f83-4e46-8a86-60d4108020c6,
Stewart Sukuma,MZ,9ed3f393-cd9b-444d-8787-db96f0a265c2,
Yinguica,MZ,937c39c7-fc7b-46c6-a8aa-e6a45abb3f81,
Ivo Mahel,MZ,3a49650f-7357-4d1c-abe0-de75c67ae90b,
Andy Comparato,MZ,3af9ad5b-aa02-4754-b3cc-03a19fefa623,
2 Caras,MZ,8fd569c4-06d6-4c73-be29-be233b655932,
Venancio Mbande,MZ,e425a711-0860-44d2-9d77-926da6babbca,
Venancio Mbande Orchestra,MZ,7abdade5-257c-42e2-8b0c-7250323aadc9,
Renzo Soares,MZ,85bbc016-88d0-4aa5-8f62-af2032097370,
Charlotte Horst,MZ,c9a48ab0-af12-4266-8a70-596f6325d952,
Milena Da Silva,MZ,facf9a4c-ab5c-4a99-9f0a-c90b718e3575,
Posthume,MZ,52b96d49-f041-48cc-935c-f8a0dc894188,
Tegui,MZ,d7a5ee8f-3f95-4e0b-b1b1-5276a5c95733,
Amoya,MZ,651e4629-1d8b-402e-acda-296ecbfa1828,
Darkest Place,MZ,d5796d48-16e4-4a7b-80c4-d40c9c79f184,
Conjunto Night Stars,MZ,18b3de1c-9393-4165-b0c3-b55b1740bc7b,
Kidfays,MZ,0fa79398-3e80-49d0-9b09-84de24cb682a,
Tonganyana Orelio Kowano,MZ,66e1f0e2-a076-496b-892d-57709a7de7cb,
Queentanisha,MZ,6b388cb8-dc0d-4dc4-9276-330af4d7a9a6,
José Mucavele,MZ,dd220a65-1fa1-42d8-a6f8-a863ed44f600,
Navaa,MZ,ab4093c7-a12b-47c6-9de7-2094162fd6e3,
Americo Kossa,MZ,c15ca3c2-79c3-4684-8cf6-cc4843d7fa3e,
Aurelio Jefe,MZ,cd079520-82c6-4421-953e-c466e4e1f4f3,
Neyma,MZ,3313db81-2d3a-42fd-8437-d078b3156c55,
Alberto Mwamosi,MZ,ef23fea7-cd17-41e2-8be1-6863824b9460,
Mahikwani Makhuvele,MZ,7c246745-a9f3-45a0-8c6d-6026645ec4c2,
Shangaan Dancers And Singers,MZ,6cbdccf2-2ca4-48fa-a4f2-36f4f64e3e85,
Zhuake Masingi,MZ,7e0bc901-1fd9-41cc-af5a-6cbee28dcd47,
Tiago Correia-Paulo,MZ,76be827e-b58c-47de-b546-5b31d09beb88,
Afrikan Drums,MZ,2b71b416-8b1a-4484-a9ca-67bc4f195038,
DJ Tarico,MZ,5b4e51b5-fb7d-4904-9c70-7b62b887681e,
Maclin Comiche,MZ,b0af617e-2dc2-4d69-85b1-65e60edae857,
Lettk,MZ,c1f177e9-6e70-4e9a-bf5f-98c2d73b9dd2,
Milton MG,MZ,2001e60d-8214-48d2-9752-62b533dfd7cf,
Gabriel Maopano Bila,MZ,5344b013-7396-4d6b-a619-74d24bd3ca07,
Evandro Sousa,MZ,b5324a23-d335-4ea9-bed9-49a3db15587b,
Nacio Makanda,MZ,d3278524-d1c0-423d-b4c9-7aa74ff9ad82,
Conjunto de Oliveira Muge,MZ,08d324cf-44b9-4d81-b47d-05647ec8b45b,
Mr Arssen,MZ,c1769cc3-5572-4c1f-bb46-0c1784ffb4d2,
Conjunto Kew-Kweti,MZ,82ca7858-c48d-4cea-a930-08d340d974c9,
Gabriel Chiau,MZ,b77aa7c7-8e97-4fee-acb0-5ba027cd4f37,
Verónica Petterson,MZ,cfbf645c-8678-48eb-8735-0f1001ab8bb4,
Simiao,MZ,e175251d-faed-4abd-a677-f2639ea4b819,
Timbila Orquestra Durao,MZ,a8473223-a549-4caf-8d5a-c150a1870f1b,
Guto,MZ,72c19b2f-7e59-4ea6-b6be-367959803ac9,
D'flash,MZ,7cc0a711-be97-459f-912a-ed63361defeb,
Veigh,MZ,8b660aba-0b50-4925-a5e4-ad9dec7b5d54,
Moyoni Chiwabo,MZ,944719b4-a4e0-4526-b7ba-8e23259dda23,
Rosa C,MZ,01f4008b-d635-4fc2-ba26-61addf1216da,
Djambo 70,MZ,d44c8161-96fc-47aa-85d7-0ff3aeb5ce56,
Heidi Baker,MZ,b578e8f7-2299-4ee2-bf0e-ccacb2660495,
Enosse Kuhanya Muni,MZ,548a25b1-7994-461a-b68e-1969feed8f96,
J.Mc.Edwins,MZ,4600bc26-37cc-47c3-86c2-bf22d8b2d4e6,
Eduardo Durao,MZ,2339c48a-4266-4803-a678-cd9a8063b344,
Iron Br11,MZ,8f139177-1419-4da4-80c0-790cdb673b0a,
Alberto Mutagatio Jona Fulani,MZ,c461892d-b124-4364-a826-c0a6a71bb724,
Pedro Ben,MZ,dd43397f-6c8b-4e18-9637-db6145b79a57,
Felex,MZ,834cf951-41aa-4942-ade6-ed5a4ef7c0e7,
Shangaan Choir,MZ,f43c5880-1a04-4b68-afcd-12d136eb0da0,
Beauty Sitoe,MZ,f354df66-966b-4a18-8345-2fe09f28f75f,
Yaba Buluku Boyz,MZ,34eaffa8-a11f-4b64-8b84-9e209e6ca0af,
Kins Ferna's,MZ,9f171e1a-6cd1-44c0-8a41-9f604bb93bda,
Zebra,MZ,c4beb0e8-2324-4ca6-a340-87d9aa388476,
Os Rebeldes,MZ,e41556db-cff7-4d1c-a231-bdfb5a754be4,
Justino Chemane,MZ,809e8dc2-7b2e-4947-8081-66f325f2c817,
Ricky.Bashar,MZ,22d05eae-45c8-472a-ab65-755dd58911f1,
OVNI,MZ,634cccc8-b339-4779-b7a0-892db0a704e9,
Mr Bow,MZ,952a99da-ab04-413a-b377-e667b8d95f0c,
Nelton Muchanga,MZ,8b2993ea-eef8-416d-a198-053edff6eca1,
Enz,MZ,3d28fb66-4624-430b-b3e6-41b2ac2fdc8d,
