name,country,mbid,youtube_channel
Pierre Pienaar,NA,d4b667e2-5ab4-44bb-a8d3-308d36942c7d,
P.H.A.T.T.,NA,56cb6d03-37a1-4b86-8ed1-05cf74076608,
Arcana XXII,NA,269615bb-16c0-4bd7-83e1-123f0a16336f,
EES,NA,1661e2b6-e2dc-4c39-98cf-843c88534338,
Andra,NA,14e954f1-ec0d-4e2e-a72b-09617cfe4c76,
subMission,NA,e5db519a-6589-48b5-8903-d616bf5bfb2f,
Bushmen Of Namibia,NA,b1515dab-af92-4b10-8a26-4de78cba3778,
Ras Sheehama,NA,a88c4fa7-07f6-4986-b470-a5daf3bdb14f,
Ongoma,NA,b086d3fd-cbf9-4e14-9081-9fe640513a1b,
National Youth Choir of Namibia,NA,90ac6052-8559-4437-8cd0-af8fc230bdf5,
The Walvis Bay Marimba Group,NA,63c5ea73-41a5-4b78-b9f2-145527ec33d3,
Penilane,NA,5fbc5446-f9c7-4116-89ad-68d45bb94daf,
SWAPO Singers,NA,f8c21bf9-5011-4f61-82ba-75b388a6d02e,
Jackson Kaujeua,NA,9ddaca35-47dd-4e95-a89a-97287860c222,
Gal Level,NA,bfbf0b91-6139-4cae-ac91-1545c6577692,
Crimson House Blues,NA,cce11006-ad4c-4d34-bb89-e264b75de9b4,
muzäh!,NA,d6b97d8d-ec67-448d-8dcb-f1e0ed1b2b34,
DJ Kleva Kaslam,NA,92c7ac49-e712-4e24-a875-737374490233,
Ipelegeng Ensemble,NA,0281439b-4902-4e23-b39f-e9a9f4ca48ea,
The Lioness,NA,90bb23fd-069b-436a-b026-c9dc25e34ca7,
Ngatu,NA,00334e39-9c10-4a39-a675-e5caab3bc965,
The Fortune F,NA,1642fe13-9027-4ed3-aba6-b05bed8958b2,
Asap Black,NA,10be50f6-74d0-40e2-848e-ad837a0febf0,
TheMainOu,NA,8442ec29-ed4e-4a25-8d37-94538ccceca1,
Emmanuel Karumazondo,NA,ec472d38-10a8-4baa-b3f6-52ec6ba9d02f,
Axue,NA,55b0ae0c-fefa-4ea2-bef0-0205819c198c,
One Joe,NA,262af038-4744-40f1-87ed-a399c3453a92,
Ipelegeng Advanced Group,NA,b19d8288-9153-4ae8-9e9b-da8296dfdc51,
Gazza,NA,147b3c6a-a7d8-42f6-8fbb-19ec19356f84,
Paul Da Prince,NA,d1a5718a-db99-464d-8e43-ad2c18bbd522,
Elemotho,NA,626608e3-ff25-44b5-a9ee-97d20e627524,
Dungeon Family,NA,bb3de887-962c-4a60-80d6-8a7cc1a1e847,
Yellow Solo,NA,642e1bc2-5f6a-49a6-854c-8bfea58ca3cb,
Sharon Van Rooi,NA,3c60ecfc-b724-4e2a-8b71-021e67b06fb3,
Tiger,NA,3fde24e2-9599-4d29-a742-5ede22897aa5,
PhredGot1,NA,185fd7e7-9638-4563-a206-2de7bf14bed0,
Fillemon Festus,NA,12c228f7-aac6-4f7c-b5a1-bc7bde2a386d,
ScatterSoul,NA,9f7578f3-d206-48af-8789-2aadf5bbea52,
Fading Reign,NA,c03b15eb-75e4-4e8d-b72f-5637cd99f0db,
Lil'rappa,NA,e7a2f58a-26b9-47bc-b27d-d9464817cbe9,
Volker Röder,NA,512e5b3a-52f3-4ae0-b026-4f3b4aeba5be,
Desmond Nasima,NA,92c3cab9-a762-4318-9a72-f7f25e6d6b24,
Black Vulcanite,NA,5ee14722-b1e2-433a-961a-b8177b8da054,
Just Jack,NA,252cdec5-dcd9-44d0-bf4e-4ca751083b4e,
RistoMystic,NA,0fcc3629-6335-441c-aa76-3033ab6c2a6a,
Ozohere's Himba,NA,d7a57f7c-e91c-4c00-8065-92bcd537afaa,
