name,country,mbid,youtube_channel
Gulaan,NC,9c701338-4c90-452f-bb07-01ca45788cc6,
Redsphere,NC,cf699452-1571-4cb9-afd0-020ede9a2071,
Flamengo,NC,118314c1-ac26-4dc6-8c7d-1da9712be99b,
Kuby,NC,4a98cd9a-ef1f-4c27-8a6b-4286593af55e,
I&I,NC,06eadd78-e480-4500-9366-3f15f37fddc8,
Ybal Khan,NC,1e997ea5-9757-4d3e-88a4-9ab96a3f468a,
Nuka,NC,c88d9ed7-de25-4358-b68e-452355ecd168,
100 Fous,NC,d932c14e-86b8-4649-b413-bffc2cd2cdbc,
Cada,NC,6e29ab69-a015-404a-b2dc-8a11ff369abd,
Tribe,NC,bd019b0d-0a11-4248-a420-252435eeae5f,
Lyrik Kanak Gong,NC,534c73ad-ed90-4265-94f6-4b730e6a5777,
Nayaroots,NC,4eeb3745-460e-4c02-92ce-e437160b1f83,
RelatiV,NC,35fdbb2a-168f-4659-b884-200b44005513,
Ekoten,NC,a526dd8d-79f1-4f15-b942-5712a843408d,
Ounine Pawoap,NC,e2890ba8-c6cc-4e74-ba70-fb9c3c32c826,
Vévélan,NC,b7eeef74-345c-4ef6-bc3e-028c8d3f15f2,
Celenod,NC,5011cab9-ba81-4410-9fa5-86446875a9fc,
Frog (Fred et les Ogres),NC,3cc5cde8-f1ad-45ba-8a13-da6fa8e3daaf,
LMS,NC,0cdf396f-4da0-4133-846d-ec13a037217d,
Baraka,NC,c5ef697a-f59f-4a69-ace8-68c2d8272d0e,
Tyssia,NC,834f91d3-6a37-47a0-b602-9fe8225d9c99,
Weda Jeunesse,NC,1f0cd9c0-8604-43c2-ae1c-add979dc209d,
Nasty,NC,9ddc827c-6fcd-4b87-b5af-5c74cde9233d,
Julia Paul,NC,30a27e17-a71f-426a-92b4-e7085a9ae1e5,
Loïk Brédolèse,NC,7dfb699f-4286-418e-8f31-a78e33847df0,
Paul Wamo,NC,fa6288ca-cf68-4697-aeb8-827c5a560c7f,
Boagan,NC,ef9ef300-016a-4b6a-9714-ac9d2f554146,
I Nu,NC,21f3dc26-18c1-4b0d-bd9a-2426baea8f71,
Ykson,NC,c9905adb-4d1f-4ec1-916d-f1645bd5676b,
Pablow,NC,685a6a16-8f52-4b56-af02-a46595dd3817,
K-Méléon,NC,b9401d54-5de1-4030-a069-cc7b638e9919,
Nach,NC,1582bb5c-1efd-4c21-9232-4a8a704170c8,
Kanak,NC,ff1b5b46-4499-40a3-a944-6e34ee35c48d,
Jean-Marie Tjibaou,NC,ffc591ca-ad71-41f7-a646-d27b47c734b2,
Karl Baudoin,NC,ec8e7ed0-3109-4b7d-8732-f6a7fe47ec0d,
Lusio,NC,5b341d3a-e7dc-4aa5-a3dc-815fafa5eb2f,
Cosmiculture,NC,000bfc4c-68ef-4fec-bb30-2c9ba2b25d49,
Paan Canehmez,NC,7deb2c02-f798-4ad3-af51-2ad5fd62052e,
Wetr,NC,0b774d28-b34c-48ee-8915-edf315c5cc3d,
Steph,NC,a59b57a9-f0f7-4d6b-b73c-89cd34c5f40e,
Les danseurs du Wetr Kréation,NC,d94b8897-0fa4-418b-beec-cd06b78a4715,
Le Kon7e,NC,a09346ae-cdc2-47e4-9ac9-84947a7b281e,
Gulianod,NC,ada89c5a-7135-4cf4-8c72-25f136f532c9,
PiTT,NC,88a41bc5-b290-483d-a8ac-9d0d12ff8fe9,
Hmej,NC,b3ea30bd-c74a-46fd-b600-5fea815d7dc7,
Gabstone,NC,0eb0409b-d025-4b8f-b70b-54035155901d,
Kass Pa,NC,41a23239-4c19-47c5-841f-38c74323e349,
Tylass,NC,28cfb90d-8d7c-4a19-a59a-8124f9e3569c,
Soul Sindikate,NC,64d407b6-0db9-43b7-a4b3-ba44c5ffa1b6,
Jahka,NC,2950b63d-7f8e-4bd5-80b5-c6795a3c58dd,
Oki Ayos,NC,74ee3065-5799-4089-af78-cc0df9a60c7f,
Flying Bernadettes,NC,bb668d3d-1a88-46ef-bd1b-480928a39f50,
Les Simones,NC,4c64902c-3aa2-4fa0-a2c2-37ae65d1b0ee,
Jean-Luc Leroux,NC,3b234a5b-afc9-448d-94e2-e3641712d651,
Kan3z,NC,a5c9f6bd-8c26-48e5-b351-94cd472e9e6c,
iouri,NC,2fc95576-cd8f-4525-975c-217ce8586048,
Burst,NC,52027ec6-5db6-458b-a724-112fe1e10373,
