name,country,mbid,youtube_channel
Mdou Moctar,NE,d85defaf-b82e-48be-beb5-2672099e392e,
Bombino,NE,d7613e57-4383-454a-8b26-b1e7c28cb740,
Etran Finatawa,NE,9142a0a7-2fc3-42b8-ac91-bd5ed261810e,
Alhousseini Anivolla,NE,41c137ab-7f17-4442-bade-c952d180d668,
Koudede,NE,7e9d3899-9de2-4741-973c-6147238bb2f1,
Toumast,NE,c5fe29c1-ce10-48a0-ae88-0b23fb9c65be,
Mamman Sani,NE,c3fde6db-b99d-4301-b42a-c40b073fe734,
Abdallah Ag Oumbadougou,NE,7a37f3c6-f0cc-4aae-b11f-e44acc9afa40,
Les Filles de Illighadad,NE,981669c1-696b-450a-9594-4f59be20cd86,
Tal National,NE,3661e828-9d67-45f7-b39d-d73e8f1a19d9,
Mamar Kassey,NE,dec64acf-b829-4068-8e0b-ca887462cbe0,
Group Inerane,NE,4eb5dc4d-907f-4fa0-8772-d02bf8f780d7,
Ahmoudou Madassane,NE,56d0562e-7358-437a-96ff-8fdf5a9f0dc9,
Mamane Barka,NE,692e085c-074f-4a41-8f32-37ff819e1920,
Studio Shap Shap,NE,73ef508e-b9f8-46c1-9ba3-77aada24d2bf,
Group Bombino,NE,86fbd569-3b70-4eb0-a33a-841b8d5daa0d,
Fatou Seidi Ghali,NE,43ee7547-46e1-420a-8638-350096124429,
Halidou Karimou,NE,f2db6ab0-f729-490b-b5fc-aebbc772ef69,
Daouda Douroumbou,NE,71a993bf-3356-47b8-835d-df80fb0ba04e,
Faria Daouro,NE,1e798c92-affb-469f-a8a5-1b9c83a20a6c,
Dandobi Maï Bazo,NE,dc486dd9-231e-4685-b421-7e7b4c2fe2bc,
TisDass,NE,350bddf0-fa3c-4b7c-98e5-afabaa8e630f,
Moussa Poussy,NE,19cab779-ccec-46fc-b1ac-1b4e3cbcb848,
Saadou Bori,NE,df071ce6-6e03-4bb7-91ce-deb03db11095,
Boureima Disco et le Super Bonkaney,NE,31ceccc7-338b-44c8-9d1a-7ef873f5f011,
Andal Sukabe,NE,c2b7033d-ae13-46a9-bb6f-0b1b0d7e9f95,
Groupe Oyiwane,NE,34ba3944-deb3-4076-bba4-6a67508da322,
Amaria Hamadalher,NE,d141787e-6823-4414-92d1-a2bd8ed85c74,
Amadou Ousmane Ali,NE,8b44d518-79c1-495e-af51-9a4076a09ada,
Lakal Kaney,NE,aa201626-eaa2-4a1e-85e3-c2c354093251,
Isah Hamani,NE,e7597405-de7e-47b8-aa83-d66031cfed73,
Orchestra of the Sultan of Zinder,NE,58a85c05-d3bd-4c83-8757-385e89f8745b,
El Hadj Nagodgé Ensemble,NE,82d50041-0e92-4595-93bb-a7eb6a13dd8b,
Tidawt,NE,8d6b3da5-2d55-4c93-a932-70ebfed46190,
Lingo Seini,NE,82d3d203-dd28-4597-b6ce-13a8659943a9,
Songhay Gulu Drummers,NE,158eed23-42f8-4504-9ca9-f3083e56f3dd,
Almeida,NE,23c1a308-1074-4d94-9218-aa18fed7c57a,
Giro,NE,857077fe-5c6b-4c1d-88ad-84d7fc6b5aac,
Ensemble Artistic Regional,NE,c88aacb0-3ab0-4f24-a169-0078fc2c0430,
Souleymane Ibrahim,NE,4a4404d8-d478-4a3e-9129-e964c8e21ff1,
Koutana Vanloon,NE,cf4b3e78-877c-4f83-a88a-918483f7f014,
Mamane Tankari,NE,85e6a956-7d33-4a35-820e-4cec89323b10,
Ibrahim Mojamani,NE,1268b021-2a93-4765-85dd-4048f8b4ce2c,
Djafarou Damaou,NE,16e79dcc-5233-4ffe-ad8a-a77e01b1c2ab,
Rissa Ag Wanaghli,NE,c32bd714-f6f4-4787-891e-ae4b00ab9b85,
Ibrahim Atchinguil Emoud,NE,030e2ff9-fb49-4045-afcb-790f57ef964c,
Kawissan Mohamed,NE,cac984bf-d602-455f-9d2e-644c027b6457,
Toulou Kiki,NE,f6b968df-84a5-4b40-8c66-901d74fe52c7,
Maty,NE,8f5f475e-7c46-4cec-8f99-98dbe61c683e,
Longueur,NE,18aaaa6c-c795-4ead-aeb9-6a61f29887d0,
Yac Tal,NE,c540cff5-eea1-45c3-b9c1-01b8f505e221,
Babaye,NE,9714ab10-05b2-476c-85c0-8058c0a89415,
Omar,NE,31acd1ba-9202-4f0e-9bfe-70c2d14ab16e,
Keljue,NE,67643615-058a-4f66-a9a0-db593b50d30f,
Souleymane,NE,eae97988-53da-4d92-bdcf-ba1034371c87,
Seydou,NE,0d913df6-5a2f-489d-b27c-60ac78d883a8,
Massaoudou,NE,c327a092-9385-4f07-907a-d96a6702491d,
Luthord,NE,c342e18b-0297-4ce2-89c9-ba3a983fe5b2,
Biri,NE,0a377b3f-12be-47f5-9abe-f6f2d859fa85,
Tafa,NE,65c92044-ee96-4fe8-b11a-683f3953be2a,
Yacouba Moumouni,NE,d13f6dd6-993e-4770-81df-2395a591437c,
Bagui Bouga,NE,32f8b942-b695-4bb9-b6fb-17a3e0598238,
