name,country,mbid,youtube_channel
Fela Kuti,NG,6514cffa-fbe0-4965-ad88-e998ead8a82a,
Tony Allen,NG,ea524cc6-191a-4c05-ab88-3bb5c0880ca5,
Femi Kuti,NG,702d2b90-eef0-4354-b2c4-6366eba92b7f,
Beautiful Nubia and the Roots Renaissance Band,NG,7ad72159-b118-4e5b-966d-2667ebe85506,
Burna Boy,NG,78a19169-ac75-4868-b504-7e2e073118e0,
Africa 70,NG,dc45f2dc-ef36-4a7a-aa52-97495fca8ced,
Keziah Jones,NG,754932cb-a3df-43c5-99ab-c1a69190e4bc,
Aṣa,NG,710fbcbb-5fea-4cee-978f-68d8a9b76149,
Eddy Wata,NG,5044ed56-e1ef-442b-b398-6cbe31afbb26,
King Sunny Adé,NG,3e110caa-e9e8-4c33-98dc-ebbf0c6d2494,
Babatunde Olatunji,NG,afe0acea-f6be-418a-b1dd-3ef0e06c3672,
Wizkid,NG,efc5d365-a448-4e2f-9b5f-4a7c84be725c,
William Onyeabor,NG,53dd0229-8a42-4bd7-8ffb-29bdec25e9c6,
BLO,NG,2b90d4c2-34f6-4e65-bcf3-917b18a88c57,
Rema,NG,720c46ba-a0e4-4b58-aee2-3bd70c70901f,
King Sunny Adé and His African Beats,NG,e6703368-59e7-4f58-ad6b-34d0d3ba1387,
Davido,NG,a9ae7d4b-10f0-4da8-8b8c-21722a074a54,
P-Square,NG,492a5dc7-184a-497b-a82d-b1e8085f3a0e,
P Tee Money,NG,2516feb1-35d5-4c85-bb85-fca7d4a2b18f,
Mr Eazi,NG,72adb13a-800e-44b5-9aef-5c7d8cb6a2d7,
Seun Kuti & Egypt 80,NG,23cac0c4-a2ad-43b2-9256-5aa404c8c431,
Timaya,NG,f483e8a0-baca-427a-b1c3-b06752ab88cf,
Koola Lobitos,NG,0caf8763-7875-4f47-8bce-9932c6629604,
Tems,NG,5b2a8faa-ffee-4706-a1a8-58f109bc8ca2,
Yemi Alade,NG,14ed2fab-d941-4b56-a06f-fa1cc93c23d6,
Christy Essien Igbokwe,NG,cbd2fc31-e1ee-492c-a36e-659ff4ccf42e,
Ayra Starr,NG,c4ac4b97-2eac-46f6-85ae-f916c93847e4,
Adekunle Gold,NG,7ff6bc8e-f614-40ec-8d77-84679cc5e2fc,
2Baba,NG,c53f316f-fc07-4d41-9314-80fc4d6b071f,
Kizz Daniel,NG,c203e6dc-3f1e-4783-afc3-d0274b0e23ee,
Lijadu Sisters,NG,9c5c0632-dbef-4674-a90c-af04412a1508,
Ofege,NG,52484336-bfdc-477f-91fd-93f854aa9df6,
Wande Coal,NG,fd32fe8c-2592-44de-84c8-daf40a4e017a,
Brymo,NG,6f2bbf2f-1218-47e2-835b-ace1d21bb12f,
I.K. Dairo M.B.E. & His Blue Spots,NG,39958cdf-e7a8-4f83-af1f-4dc0fafe8acd,
Omah Lay,NG,b63bd4fd-2050-4c92-a237-576f6f6c97cb,
