name,country,mbid,youtube_channel
Luis Enrique,NI,046a1f9b-1eeb-41ef-bc08-f813f5520760,
Carlos Mejía Godoy,NI,574257e9-156c-4a16-8297-9ce86d727c93,
Hernaldo Zúñiga,NI,15914e5d-579a-48bf-9ca5-66ef977089c8,
Luis Enrique Mejía Godoy,NI,84d04860-997f-4f76-ba0b-306f889e5ab1,
Katia Cardenal,NI,6553e0fd-c735-4478-8a17-c0909bb16d3d,
Cat Destroyer,NI,a0a2ef98-62c6-485e-81ff-9f8132b88a06,
Guardabarranco,NI,481e5e0c-03c3-4e86-a9fd-238ce26a10ea,
Cali Aleman,NI,cd83a4ae-4947-4e2a-9356-4270cd3ef7b8,
PerroZompopo,NI,ee2eda9e-62be-4bc9-9c8d-518772bcdd4f,
Maleficia,NI,190b29f2-0338-40f8-9eb2-aa1c12fd56a7,
Gioconda Belli,NI,3e2307a2-3570-4bda-9b2e-3acd430efea6,
Edxv,NI,af57ebe1-0e78-471f-b172-2ca1d909a1f0,
La Cuneta Son Machín,NI,d4f9ebe0-1f9a-4134-82ae-0337c4548d77,
Corpus Mors,NI,01b330be-0654-40ef-88dd-2a0474a38125,
Alfonso Noel Lovo,NI,a40fc18d-a11d-4e6c-9944-ac8ca5626ce7,
Manifiesto Urbano,NI,e23d6743-1cb5-4196-9e2c-7617f5b44c16,
Dimensión Costeña,NI,aa55d90c-04bc-410e-bc60-789d7e58f273,
Los de Palacagüina,NI,11e36704-7bb6-4037-bf1b-c9a6bd999f66,
FleshTorture,NI,bb794400-d157-46b3-a29c-f311aa693e81,
Mancotal,NI,4bc20b6f-c2d0-4957-9b06-66a4a5125d9e,
Osamma,NI,62ec844d-377c-4833-b1ee-c2517f70211c,
Psicosis,NI,26b9cc4a-08ba-4472-8d0a-0034f04f0156,
Lucifuge Rofocale,NI,b4f31a11-cf77-4db8-ae6b-0b872c5a25fa,
Elias Palacios,NI,e57f41ed-da44-4586-bac6-65681a7a2086,
Ernesto Cardenal,NI,08e12c13-528a-4cf0-8f11-318791b56f86,
Vortex,NI,ef2ec80b-f3f1-47e2-b063-8995343317be,
Veins,NI,a147f0fd-a79e-4a2e-8d1a-4da3435f871e,
Bwana,NI,a100a2a1-39c1-4343-a4ba-9984143d9c7e,
José “Chepito” Áreas,NI,33aa21c8-5081-4314-bcd9-89b5cdb827f4,
Ceshia Ubau,NI,4df791d8-428a-4f6a-86bf-5bd0e6adc6df,
David Salomon Jarquín,NI,025e8a96-0c78-4064-8e38-b8abace26ac8,
Torrente,NI,b649b306-e87c-42bb-9121-21e9d199f802,
Inclaustro,NI,004f22d7-a863-47b6-aa59-89fde676f1c6,
Los Ramblers,NI,3f7f7032-fb19-4ec3-a68a-d7877649bcab,
Necrosis,NI,383a51a8-9c08-4962-baa3-81b70afe3b2b,
Ismael José Peña,NI,5ee79fb2-4082-4784-97dc-f1692a73316f,
El Taller de Sonido Popular,NI,80cd5663-d499-42b0-8d01-8eb0839d2848,
Digan Whisky,NI,0226172a-e4fa-49a5-add9-b755d8d97dec,
Monroy y Surmenage,NI,84834200-0e5a-4ddd-9274-83b247f005e7,
Inferno Caelestis,NI,21ab6e96-1533-459d-b16b-8e680151bbce,
Nemi Pipali,NI,d3aca914-d3f8-43f8-a906-6c1f865547a8,
Grupo Pancasán,NI,074e5679-45d2-42e6-be9a-cecf3f43bae7,
Téléviser,NI,24727e7f-e79a-4625-a8fe-3fc268738593,
Tamara Montenegro,NI,4b990613-c6fa-4a99-8f14-85eeb617f561,
Anacrónico,NI,2439c6a5-f32c-49c7-8d95-977d65ec5bc0,
Devouringore,NI,7db78bb7-0364-4132-800c-19a45b34b3d2,
Los Norteños,NI,29bec28a-6ccd-4cad-80eb-7bb2f206bc87,
Lito Kairos,NI,ea2191e7-0962-4f02-b5ee-a334ceb5e2b6,
Los Duros,NI,4c287cc9-4821-490c-9764-e2ee1319d11b,
Malos Hábitos,NI,d491c972-f8b0-4531-87e7-11458fb802e9,
Erick Nicoya,NI,12db4fd0-50a2-4e70-9d0a-793e267dc0aa,
Vexo,NI,214e118c-88b3-485a-8db3-6747c11c1f82,
Macolla,NI,7114ab40-05dd-495d-b6f9-7886c00dac6a,
Amor sin fronteras,NI,0e8cf18b-061c-47af-a187-6e0beccead05,
Grupo Ravail,NI,d0b2f2c8-0b80-43ba-a408-099c02f6ac3b,
Luis Manuel Betanco Vanegas,NI,8a5832d1-d6bf-4370-acf2-f91f59d33aa4,
Gasmask Division,NI,35e237a8-486a-4756-83b3-5cf9ae4fd72f,
Jaime Delgado Cultrera,NI,95e4e5bb-95ac-43e9-b016-9e7389cac11b,
Philip Montalvan,NI,32e62f71-4872-4076-97a7-7bd19c6090a1,
Los Colibrices,NI,6fab61ad-07af-4455-8d77-e7f599b91552,
Grupo Gaspar Garcia Laviana,NI,8dd8987a-b78a-4fef-9244-41740af2f2b3,
Norma Helena Gadea,NI,6bf60139-003d-48d4-adf2-316dce170dee,
Rafael Gastón Perez,NI,4a9d8965-6710-4893-81bc-9cfd4ed211a2,
Salvador Cardenal,NI,56f58883-78c4-41de-98a2-04913592dce6,
Sergio Gonzalez,NI,63de4583-53d6-4910-8cf2-f5845fee6272,
Carlos Palacios,NI,0c0d79eb-31b9-4f26-a8df-8528af36aea3,
Francisco Palacios,NI,f5e1d2bd-e590-493f-a0c5-d4e217223099,
Guillermo Cano,NI,a5eb2c2c-c13f-4249-bf91-4ffaf1282684,
Fornost,NI,b6b880fc-ba84-48f6-a830-3c499cdd247c,
Angest,NI,4cbb8828-4579-4777-9af0-fe9101a25eb9,
The Liberation Band,NI,9b2b4da6-ee2d-4795-a4c5-1bd77a267e30,
César Meléndez,NI,65957932-0c77-4863-9147-ea4e52497d18,
Ancestral,NI,98bdda45-56d2-49e8-989b-d39157739536,
Masakre,NI,387dacda-a0a8-4102-a27b-906bb8a3ee2c,
Mortuorium,NI,9d4d7a17-d5f6-4403-9092-473527b73c36,
