name,country,mbid,youtube_channel
Armin van Buuren,NL,477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df,
Tiësto,NL,aabb1d9f-be12-45b3-a84d-a1fc3e8181fd,
André Rieu,NL,0eaa4a38-6bc3-46aa-91be-563f1fa86e16,
Herman van Veen,NL,d4826092-a96d-4505-93ee-605137105ae4,
2 Unlimited,NL,515b236c-cce1-4dc2-aedd-50de7b1736e2,
Golden Earring,NL,75336c3d-2833-46cb-8037-b835cd7d646d,
Kinderen voor Kinderen,NL,8c97918d-341b-478e-99dd-b536ce7a7540,
Within Temptation,NL,eace2373-31c8-4aba-9a5c-7bce22dd140a,
BZN,NL,7a6950d8-4df4-4ed7-bf68-f1db1e18fa56,
Ed Starink,NL,fc8b6db8-695c-4faf-a9f6-3d9051eab587,
Zangeres Zonder Naam,NL,3394d6ae-a653-4ba8-9d81-28f4595e0588,
Ayreon,NL,7bbfd77c-1102-4831-9ba8-246fb67460b3,
Ton Koopman,NL,448da1b1-43a3-4239-b2c1-f7e46463439e,
Frans Bauer,NL,16d62c7f-e1d6-4f94-9b44-dfb531f59b4a,
André Hazes,NL,774b509e-15ba-4932-aae4-ec7371e46c27,
Epica,NL,21985b14-1b0d-44fe-b357-310b29bba510,
Koninklijk Concertgebouworkest,NL,ad8260b2-2767-4e9b-9ece-7977fbcedadf,
Rob de Nijs,NL,0bf7fb68-f8c1-495b-8d33-dfd8d12cd695,
Ferry Corsten,NL,47347cb8-ac34-4916-84b6-d85d4e5e5384,
Boudewijn de Groot,NL,eb4b6d16-9d9d-481e-85ad-fd972827bc91,
André van Duin,NL,d525b8e6-4d76-44d0-ab2a-b049f22116ff,
Willeke Alberti,NL,4a55ccc3-2c29-4e2b-9101-fcf45472a527,
Pieter-Jan Belder,NL,5ac46c3a-f0ca-48b0-b729-f6a40d1b80e1,
Normaal,NL,0096e98d-7dc7-437a-957a-6719ff1a0f20,
Vader Abraham,NL,a74bd336-7e59-4bdb-a33d-61073bdcfe44,
Shocking Blue,NL,8b399704-17f4-4001-943b-1d2b848940aa,
The Gathering,NL,004e5eed-e267-46ea-b504-54526f1f377d,
Pieter Bouwman,NL,63175185-e9a4-4fc0-b511-338d2167c333,
4 Strings,NL,fa6521a7-56b5-4e56-b946-fda469becba9,
Henk Wijngaard,NL,b285e036-6468-460d-8b48-7e63c9a7ff1a,
Bernard Haitink,NL,8bc0b4b4-cc3f-40cf-8223-4ee980cb768d,
George van Houts,NL,4b17eaf6-30bd-4662-8f16-cc4f9dbe59b3,
Wim Sonneveld,NL,d7725a1d-5379-4c77-8923-bcb8d999645b,
Willy Alberti,NL,60bbc45a-a4d2-4aaa-815a-a27d4770b889,
DJ Paul Elstak,NL,026c4d7c-8dfe-46e8-ab14-cf9304d6863d,
De Dijk,NL,d7a55e92-a14c-4543-8152-de2163af06bb,
Gustav Leonhardt,NL,27b0750a-7318-4075-9470-43b82d454ea0,
Noisia,NL,ec22a32b-acab-432e-a88c-ffe6ae68fa16,
Fedde Le Grand,NL,ffa93e03-f6c5-4d78-b0d5-07d0d6de46aa,
Promo,NL,c2f1c49a-1469-4d42-b0d5-f61bba9415ca,
BLØF,NL,d7ac3cc7-0d65-476b-9b81-d3e872672a2f,
René Froger,NL,d64758a9-5950-465e-8d5f-fb7a7ecd4843,
Afrojack,NL,a3ee920f-4e7f-4993-8aca-4b8538cfaa4a,
Corry Konings,NL,742da0ae-942f-4255-9fcb-f3ba939ec82a,
Clan of Xymox,NL,1fc54353-dcd0-47b1-bb59-7bd2974df829,
Nits,NL,2418092b-330c-48cf-85ee-e935dfce537c,
猫 シ Corp.,NL,68c6d24f-1750-485b-9763-59cf7ca2a6b1,
Neophyte,NL,ba474cdb-fd06-4a49-988d-819a6bbd2077,
Junkie XL,NL,eb3f70ce-f226-428f-8d7f-046c8dbfd98f,
Hardwell,NL,170d6637-36e0-49dd-a225-c4fd5b77a285,
Johnny Jordaan,NL,14086a44-c2f3-4e26-b16b-ae71a396d2dd,
The Cats,NL,b2fb8b87-a5a9-40d2-b528-bacb47ca032a,
Vengaboys,NL,90c7177f-4be5-413d-aabd-d228934c2b9b,
Machinefabriek,NL,73d27773-4600-4a46-b933-4d1c84922434,
Heintje,NL,5e42a64f-c8da-4b3b-8e77-c9ce95463605,
George Baker Selection,NL,b46d30ff-f8ee-467e-8650-c58b6b47053a,
Kayak,NL,7379ad7c-8973-446d-9d9b-c18e91d7437a,
Focus,NL,821e11d6-cfec-44a7-9615-06a4e631c975,
Noisecontrollers,NL,6c4335db-e676-418f-98e2-f8037ac88576,
Anouk,NL,5e8da504-c75b-4bf5-9dfc-119057c1a9c0,
Marco V,NL,95e7f9cd-d774-4200-8337-cf27cb18d836,
Rank 1,NL,bd5d07eb-dcb8-4d11-b873-908401e92ee4,
