name,country,mbid,youtube_channel
Edvard Grieg,NO,013c8e5b-d72a-4cd3-8dee-6c64d6125823,
Thomas Bergersen,NO,152f56df-321c-45d9-8fe0-6076c9b45b08,
Jo Nesbø,NO,b4c690d5-9854-4bee-91c4-cee9098e808d,
a‐ha,NO,7364dea6-ca9a-48e3-be01-b44ad0d19897,
Röyksopp,NO,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,
Leo Moracchioli,NO,81dfcb61-7284-4f33-9578-e869a846089c,
Torstein Bugge Høverstad,NO,ed25ff46-2aa2-44fe-ba27-e5a5d685fa20,
Apoptygma Berzerk,NO,98ed42ad-aafa-46a8-899b-150fa237133a,
Dimmu Borgir,NO,17167af8-c1da-45cc-bba2-9d23f068b7a3,
Ketil Bjørnstad,NO,9a141277-3edd-4aac-931b-10030410bfd4,
Mayhem,NO,c5f9e699-7b0d-4030-86dd-7acc8250d147,
Motorpsycho,NO,5d0764c8-b14a-47fb-adc7-2ba9fb5f0d76,
Darkthrone,NO,af8fd97c-db72-4e30-b2aa-30ebd0c4f1a0,
Alexander Nakarada,NO,059d3759-8605-403b-8741-26d5b970b4c1,
Aleksandar Dimitrijevic,NO,d62e4bfd-825b-4e9e-bc14-74a38cb6d6ef,
Ørjan Nilsen,NO,f7ba60af-39d6-4d9e-ba25-a7c47c417143,
PelleK,NO,621f2d27-ff7a-42d7-a163-4e203f072c56,
Biosphere,NO,a5ee1ebe-a645-45d2-8319-d101fe62e581,
Erik Wøllo,NO,6e2d89f9-876e-4f25-9845-dec55b50461c,
Emperor,NO,d9951785-7906-4daf-9a60-21753bf64aa9,
Enslaved,NO,29bb04d6-5602-464c-8577-f55a27511b27,
Maja Lunde,NO,0ebf5d74-bd0c-4655-b5f6-a845e68d67af,
Secret Garden,NO,4ac60dc3-8e50-4c70-be0e-4a4a1298f7ba,
AURORA,NO,484a4e90-6899-4e4b-a948-a2255d365340,
deLillos,NO,b15d7103-4ba7-43fb-973d-5d302af1bba8,
Ulver,NO,7d209631-ccb8-4a87-8516-64abe4c22dba,
Wencke Myhre,NO,35b4a8bd-af9c-473c-97f6-a08ede409133,
Bjørn Lynne,NO,e2ad5171-6209-4052-b0c2-346f69d51571,
Terje Rypdal,NO,6a5e6105-b1c4-4c5c-97ae-5ee4b7f746b4,
