name,country,mbid,youtube_channel
Manose,NP,d4da6f72-1c95-4660-a1e2-5d160c3813f7,
Ani Chöying Drolma,NP,99376f73-700c-4156-a839-f06b2fef0e31,
Rai Ko Ris,NP,e2c0f68e-7945-47fa-b41e-cce70f3f8d47,
Kelsang Chukie Tethong,NP,370efb2c-5096-481c-a452-5514d5e652bc,
Sur Sudha,NP,6aa2deb6-f893-4bb0-a9cb-1e122e780648,
Antim Grahan,NP,318b3e77-aefd-42a6-8b22-f342b3b8f8dc,
1974 AD,NP,fe5a95e9-1d4d-45ac-a6dd-5ca4e2c8d108,
Tibetan Buddhist Nuns of the Kopan Monastery,NP,dda2382a-3c21-46d7-9d0f-6386d00d658b,
Sugam Pokharel,NP,bd10aac0-6aa0-43bd-a38b-f18dba895647,
X-Mantra,NP,6308d723-4632-4e10-9571-f986eb46d2b9,
Narayan Gopal,NP,87f755c2-8f63-4979-b191-65062c003fa2,
Ugra Karma,NP,4addc530-cdfe-4c7c-aba4-74f55ad5a259,
Nepathya,NP,835d905a-bdf4-4923-aa85-03eb15c70b43,
Ayurveda,NP,f2603d43-4979-4a15-89f9-ae0743a227f7,
Inside 2 Stoopid Triangles,NP,9323ece5-6f45-4260-a4a7-f785526dd290,
PranitAcharjuNewar,NP,426004cb-675d-4931-bf8f-d976f56b1031,
Buddhist Monks of Maitri Vihar Monastery,NP,307420dc-c980-4186-9302-ee381445b31d,
Kutumba,NP,4fc1e527-324d-4ae1-9c03-e4e6efa7b5a8,
Jhilke and the Rockers,NP,1bd08aaf-60fa-4334-9c6c-a6e6c04cdd7f,
Underside,NP,3a558340-e3f9-4543-a708-0171497120b3,
Tank Girl,NP,6bc69100-5960-4098-b74e-80af7ec0e879,
Binaash,NP,ab29ca35-c9f9-4a17-a299-aea23ee11b8d,
Sanu Sharma,NP,286f522c-58f9-49b6-8dfb-5e16a094d71f,
Jiwan Rai,NP,ad1345f9-db0f-4c82-b2a6-4a4c6fb06140,
Durga Prasad Khatiwada,NP,a4754c5d-e954-4278-b47a-854a5482d9d2,
Jindabaad,NP,f7ded977-1972-46db-9ae3-16c177d58919,
Bidroha,NP,1e4947e4-316d-4822-a2df-dbeece61b9be,
Kathmandu Music Center,NP,31e8d100-3487-4416-b40b-6d20083391cb,
Tara Bir Singh Tuladhar,NP,e461e89f-32f1-4baf-bc04-a138489bfa1e,
Hari Maharjan,NP,a8088cda-a9b8-4285-994d-e38c93b824cd,
The Edge,NP,21986cd4-f611-4f54-b9eb-daab9ffa7a08,
Bharat Nepali Party,NP,b3e3233e-47eb-4988-8ad8-4fdf214d4abb,
Bikalpa KC,NP,f8dfbf51-7084-4710-be88-e9deeda0b072,
Cobweb,NP,3cb0cbbf-82a7-4678-9f31-25f8f2acb0f2,
Vajra,NP,2c6238ea-2ca1-480f-ab37-0b1593fed313,
Prasanna Dhoj Pradhan,NP,84df9f32-5270-4c49-b325-91ec45651541,
Shannon Scam,NP,cd221879-1068-4bb0-9ea3-1aca1e5ed939,
Atomic Bush,NP,ec370707-9879-4d55-91c4-12312260c527,
Vhumi,NP,9a5d311f-4a1a-41b7-85d4-3ececbb2ef7a,
MC,NP,06c4cee0-50ee-40d2-85c8-b99c8503654c,
Rudra,NP,13ab27d0-0ce7-491d-a257-f01a53bc4a8b,
199nah,NP,cc7bcb74-53e2-4848-b91f-f8706fc6e7a2,
Amokkshan,NP,104b5a6a-e50e-4f3a-91b7-34dded8fe888,
Error,NP,8ca46bb4-0931-4042-977e-1493519b93fe,
The Surmount Nepal,NP,3ade4c35-42d4-40d2-86ea-85b71d555932,
पहेँलो बत्ती मुनी,NP,2258b49b-75f3-47ea-9924-92b3929c31d5,
Narsamhaar,NP,706de4b4-aa00-47d7-83a5-bc3f78673850,
Youngster,NP,92668374-b99a-4f03-bbee-6e2dae71d663,
Aasis Beats,NP,dde18617-5a40-4c9a-928e-dff2042e8276,
Diatribe Devourer,NP,ac6af6d4-b678-462f-8c27-63d392c0cdad,
Kaal,NP,3f05ed9e-41b8-424b-91bb-9efdcc06abc3,
Disorder,NP,da79d4f4-56a8-4004-bf02-7b8f269cc98e,
Shiva Shankar,NP,46ec69a6-6f9a-4412-b60b-eb6d80b19a77,
Wakk Thuu,NP,20f4e910-59b1-44d7-a137-ea105ef154dd,
Aditya Dhungana,NP,40c3e75c-d55e-4f42-ac8f-12b605cae69a,
Kiran Nepali,NP,292b7945-d46c-416e-910c-3f78a068ede8,
Jugaa,NP,3772e9b5-b804-4fc4-b3fa-dc57101c983b,
The Doltish,NP,858e2fbc-30e9-4e63-ad84-4744b445b102,
Metok Lhadon,NP,4e09c467-c778-4804-a22e-eff8df94e16d,
The Sewak,NP,c7f660b2-f540-4784-9c22-bd34d753aa7f,
Suman Pokhrel,NP,2f25a38c-bbec-4f0a-9e51-ac6f306884f5,
Broken Hymen,NP,c5c0a235-b683-4f1c-abd4-00bd95644ce0,
Sushant KC,NP,3f913bcf-9a00-4505-b457-5f4d18476ba3,
NotJocks,NP,476db78c-c0e9-414e-9770-cfb279596d98,
Ishwar Ballav,NP,29df49ba-34b4-480f-a453-0bf94090dee4,
Navaraj Gurung,NP,c50a5739-0ec0-4cf9-9574-3dd5802a212d,
Guy Goru,NP,b9518a23-1620-4e18-9c89-32d07ed7ba3f,
Kuma Sagar,NP,1048732f-0ede-4678-b133-427571468bae,
Subaash Budha Chhetri,NP,1c9aad45-647f-4d8c-9c2c-8789dd1883da,
Praz Khanal,NP,1ea9c516-6404-4eab-96d0-3eda429481aa,
The Crisis,NP,469013c4-6d1d-4d99-98bf-dc869695c2aa,
Pranit Acharju Newar,NP,7445c048-1c28-4368-8244-e84c73af56d4,
Radha Rani,NP,63e54d5e-a156-47d8-9dc7-8de7f418e437,
Laxmi Prasad Devkota,NP,dfc393ee-64dc-4112-a240-9a6344691997,
NEXSOAL,NP,e419963a-dc29-452e-b3f8-893a19a6a1b3,
Sudip Lamichhane,NP,bf5515cd-2288-4607-9e67-c9615051e21c,
Dwarika Lal Joshi,NP,0e7064f2-0870-429b-932d-b39a8ffb17c0,
Cezzane Dahal,NP,e850f569-7ebb-4cfd-b304-ef4f3dd1b093,
Aacs Sharma,NP,185f74a1-7c47-4133-b337-20750533b44f,
Dipesh Dangi,NP,4dc2a7c6-6611-40a1-8428-7a8d61447ee8,
Rupak Sapkota,NP,4b633914-e056-4757-979b-6e3295387a29,
Sanzay Chhetry,NP,6ec29de4-5b23-4861-89e4-def1bce08857,
Zombie X Incest,NP,1e4f05f4-e1f2-41d6-9686-d2f2490a12f4,
Yama Buddha,NP,ee5e283a-9c3b-4e82-be16-971138bd2b2b,
dxnger.,NP,05b67915-019a-4c26-b739-f5f4ec609b74,
Meera Rana,NP,6edef402-015b-4c78-821b-7cd867b23673,
Dil Maya Khati,NP,0632ba07-3d16-4197-af6b-727b231310dc,
Gyanu Rana,NP,838ac3b4-f676-4f34-ba83-89a9d584844e,
Nhyoo Bajracharya,NP,72a333f7-3c37-4799-85b0-43d551cf02a9,
Babu Raja Maharjan,NP,96be10fe-ef81-40cc-aadc-20d53a82cc0d,
भक्तराज आचार्य,NP,4ad6c581-cbae-4b7e-b579-96f29a85c441,
YNZN.P,NP,cbfffdde-7cdb-402d-8f92-399e833aa860,
Takiya Nepal,NP,59d8f61a-53ea-4059-afb3-ebf8792aae5d,
Krish Bishwakarma,NP,20fa3a34-cc11-4c09-b742-5bc0c2188e63,
Kumar Subba,NP,746f843e-f8b2-4166-8241-fcbd5f9ee8e6,
Rajesh Hamal,NP,00e34f0d-c190-44c5-9472-28d18cae29c4,
Indira Joshi,NP,c1b0e2ed-0ae3-4576-9413-f13ce396865e,
Indralal,NP,b9d8b30b-b44c-4167-ab97-db2ca03b2608,
Melina Rai,NP,fa328214-8d4f-4aa7-b133-d76b7d1026b9,
Mr. RJ,NP,44a553d6-106c-4bbd-a008-d5902ff3aa1c,
LIL TEN,NP,3b49b410-7556-4cf0-972a-c32d78d8d4ec,
YNZN.P,NP,cbfffdde-7cdb-402d-8f92-399e833aa860,
Krish Bishwakarma,NP,20fa3a34-cc11-4c09-b742-5bc0c2188e63,
Kumar Subba,NP,746f843e-f8b2-4166-8241-fcbd5f9ee8e6,
