name,country,mbid,youtube_channel
Mark John Petrie,NZ,4cb7f095-eb87-42ad-9213-4b10b279fa06,
Graeme Revell,NZ,80c51cf5-a39c-43d6-a833-da55778d6088,
Split Enz,NZ,2bbdc83c-3d4d-44f4-8e26-6bc748d358dd,
Lorde,NZ,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,
Dragon,NZ,aae96072-e23c-496a-9016-8637be8c67bc,
Kiri Te Kanawa,NZ,1a78bb97-ad86-4f89-b4b4-cc10953103c3,
Hayley Westenra,NZ,4a30a21f-268b-4c2f-a4d8-a2f453032457,
Neil Finn,NZ,3b7c93ab-40a5-4745-ab6b-eaafed2308bb,
The Clean,NZ,d10c7c90-54b1-4855-a9f5-1099a8dd7f54,
Bic Runga,NZ,16063ce0-a93e-41c7-82f9-bdd83066a7fd,
The Upbeats,NZ,63630fb9-5d2b-43a5-8e98-b85bb773b258,
Tall Dwarfs,NZ,a5239c4f-0eb4-42d7-bf39-0fe186a7a81a,
The Naked and Famous,NZ,216a7b44-3846-494c-93f5-f2d4d9b95b36,
Carl Doy,NZ,4ab4cf73-8bed-4364-a4e8-31b4f893bd34,
Flight of the Conchords,NZ,1f574ab1-a46d-4586-9331-f0ded23e0411,
Pitch Black,NZ,3ea8d3c4-103a-4880-b084-e24e10711d59,
Alastair Galbraith,NZ,68043bbb-0a77-44df-a7a1-7412fe6ff0fc,
Truth,NZ,bfad21ad-c2fa-47f2-8d12-d9f9da8bbff1,
Tim Finn,NZ,380221b2-54de-4801-b256-6a0f28e28d6f,
Omit,NZ,1e67ceea-19c2-44e8-87a2-820971367e91,
The Bats,NZ,ab12633b-696e-461a-ac43-f68a26355fa5,
Chris Knox,NZ,77a29700-a307-4568-8063-be553ae062e6,
Fat Freddy’s Drop,NZ,d451395a-f768-432e-bb70-d38c32baf4cb,
Bailterspace,NZ,74e750a2-e662-464c-b657-120f74e17fe6,
Peter Wright,NZ,acf740ce-4198-4a80-ad9d-dd790a3f4459,
Roy Montgomery,NZ,f7017559-4045-4ae7-b819-83e06a415b31,
Ladyhawke,NZ,2e547c75-36c1-49d0-984e-b14498c936f0,
Salmonella Dub,NZ,c8c01789-646c-48fd-a319-946db1d06d4d,
The Dead C,NZ,45fdf967-5a18-417a-be32-7dda5c0ebbb0,
Rhian Sheehan,NZ,2c4ecb84-649b-4e55-aaae-bce404395a50,
David Kilgour,NZ,06234932-e851-4965-a5cf-efc5dc3749e9,
Grayson Gilmour,NZ,41971d52-04e8-457d-b26f-0e90bb4c1456,
State of Mind,NZ,37755676-10c2-4ba7-a08e-96678f712d7f,
New Zealand Symphony Orchestra,NZ,3feca643-6f29-4dea-af8c-b36238cc251e,
Alan Broadbent,NZ,8ce4615c-2788-4d3b-9466-524e1cb5738f,
Adam Tukiri,NZ,17c3aea5-39c7-47c0-a99f-b32664d9d7a6,
Nathan Haines,NZ,1356846a-ebe8-40f0-95ba-3f7c95cd8a8e,
The Datsuns,NZ,7a5bcae1-45e5-495b-9f5b-254987b364bf,
The Mutton Birds,NZ,000ba849-700e-452e-8858-0db591587e4a,
Module,NZ,18a3d248-b26d-480e-9a7a-16f65d693289,
The Black Seeds,NZ,dc76f538-7a10-461e-84ba-aa44888f9f2d,
David Bishop,NZ,aa4eb732-5ac6-4d47-b52c-381f7790872c,
Eleanor Catton,NZ,196a7aa6-1baa-4e5e-a339-f9264df69ff1,
Shona Laing,NZ,cbd6586b-fdd5-4939-a816-2c9cfff7e226,
Delaney Davidson,NZ,5a278d58-3232-4343-907c-1965672cfc6b,
Joanie Bartels,NZ,82b37d51-51fa-4688-aee7-219e1a5556d3,
Colin Bayley,NZ,891b4e45-6741-450e-8bcd-3de14a151d6d,
Dave Dobbyn,NZ,47f67b22-affe-4fe1-9d25-853d69bc0ee3,
The Cakekitchen,NZ,3c126e06-a50b-49a4-b89d-4d980d2cbfc1,
Jet Jaguar,NZ,fec4c5b8-9e1f-4bb0-950d-30697552232d,
Tami Neilson,NZ,ac0d99e4-a534-48fb-a3ff-225dba39f350,
Birchville Cat Motel,NZ,0f2ca443-4a2b-4040-9b90-5c587f6f3bd7,
