name,country,mbid,youtube_channel
Shadowotd,OM,e29e5f5b-05ab-4c56-8bca-632cbde690c2,
Arabia,OM,4503ac50-7c7f-4dd1-b45e-f84dfe9a05b6,
Rashid Mohammad Omani,OM,5a3503f3-5be8-40e8-943a-3b63f9e96f9b,
`Azi,OM,0ca8fde3-565d-43d1-bfbb-adf5350e1994,
Babylon,OM,b64499e5-7237-4f4c-a0ba-7cb0a97a1e59,
Salim Rashid Suri,OM,71e85cf3-5f65-438a-8752-805b922fa341,
سلطان العماني,OM,a99e8558-d3ac-46da-b102-0ddc448b7139,
Belos,OM,bef4c438-8137-40b5-b77b-9809ff4b7fd3,
Sham Maskari,OM,3d1be6e3-0fc9-4356-9c29-f3d317ef8284,
Salim Ali Said,OM,bdc6ab37-7f9a-45b4-8d4c-a6dd3831de0b,
Halaak,OM,864721d3-4122-4adc-871e-bf587f9fa378,
Royal Oman Symphony Orchestra,OM,0990b78a-92e0-4ea0-8656-35dcf5370051,
صلاح الزدجالي,OM,6717ee9f-6492-42c1-b409-b680e1109781,
PULSE 3,OM,fed40070-32fd-448a-8988-8f05ddd327ac,
ماجد المرزوقي,OM,c21aeb89-f3b7-4e34-835a-688fb467fd31,
محمد الوهيبي,OM,241cc102-3676-4c93-b915-509dbe4db657,
زياد الوهيبي,OM,02bf10a3-e350-4a50-a5aa-20fd719654e0,
