name,country,mbid,youtube_channel
Rubén Blades,PA,f050673a-dfb3-4200-b057-bf78213de36c,
Danilo Pérez,PA,8d0e541a-78a2-445f-a2e6-ebf20ee45f41,
El General,PA,64291b1a-94b8-46cd-b1d1-8d2e1f2bffff,
Latin Fresh,PA,359445bf-5907-40ac-87d3-4df8c86d85c1,
Flex,PA,403d9bc8-5b9b-4aa3-a8dd-dca118c43267,
Los Rabanes,PA,49bf0377-c4aa-4e01-a257-1dc382ccf80c,
Joey Montana,PA,f043a667-d0cc-41ec-b242-22068c5cd736,
Dimatis,PA,507c89e0-5a06-4466-bef0-0ae22dd90945,
Son del Solar,PA,cf6bea8f-2087-44b4-b298-bcf2f1483872,
Aldo Ranks,PA,8a398d05-ac52-4ab7-a912-c4572866364a,
Camilo Azuquita,PA,3abaec3e-40aa-45ad-b4c7-92651d45d2c2,
El Roockie,PA,e1463a96-e8c1-4244-99ff-6cedf609761e,
Lorna,PA,a82012e4-bd1b-4eea-9d52-059c36a5049b,
Sech,PA,709f5e96-51cd-49b4-a8e4-0ca0bf808de3,
Gabino Pampini,PA,2e8091ca-26f4-4298-9da6-55ee46fa94d1,
Polyphase,PA,ebd6fdb4-689c-4b2b-9aff-41cfe44175d3,
Makano,PA,7238dfb1-d3ff-4753-bc62-bf42dfbb7178,
Roberto Delgado & Orquesta,PA,d0277098-df31-47ec-be22-4d2512b2cba7,
Demphra,PA,24b43055-ad8d-4dd5-9a6b-4ea2c12586e9,
Jaime Murrell,PA,f28ef6a1-2023-4c9a-b918-ba483ee9af0d,
Carlos Ward,PA,79128a2b-33e9-4800-9a5c-89dfcb218bbc,
Mach & Daddy,PA,c97a409a-a053-4e2a-b02a-e0e8a77f4fa4,
Gaitanes,PA,799f2c53-33da-4b5a-ac33-0d36d07c954f,
Ernesto Schnack,PA,b225aebd-271e-47d8-9a49-1e762630f317,
El Chombo,PA,ba74b590-e83f-4f1d-ba35-b9a3c37d54b1,
La Factoría,PA,8010a1eb-c611-4a8f-8387-36e4a22ab4bf,
Basilio,PA,56145f3d-6b3e-49f2-8b51-d512ce6889ae,
Kafu Banton,PA,c7b76bf8-543b-434b-93c7-f6c0189d66cf,
Eddy Lover,PA,c0edeeec-3b83-4b97-bb62-741539e56743,
Big Fat Hen,PA,ecef3c50-3b3a-4b0b-8345-705f9f486c5d,
Omar Alfanno,PA,a80e8cbe-28f1-4146-9518-2ee7dc1b6460,
Itef,PA,abc0b4d0-20ae-47c2-91fe-4e7ac37458b7,
Alfredo Escudero,PA,933c0e15-ca63-4623-9ec9-433c122f6f98,
MC Zulu,PA,f5fe22f4-7e8e-4b8c-9b55-88a49e05ac94,
Son Miserables,PA,69270ecc-d6c6-4ef4-92ed-568f9d312070,
Orquesta Inmensidad,PA,d91f3b57-b409-4d0e-a7d3-bbca48bfb43a,
Azuquita y su Melao,PA,eb7250d0-63ca-4d6f-b1bb-c944d861f03b,
Almirante,PA,ee0e9049-a0c6-4848-b5ec-48e82c33a0e3,
Jimmy Bad Boy,PA,bfe7abe2-98b0-4f8a-a659-6034e3a7103c,
Junior Ranks,PA,e9c2cc14-bc29-48e5-99fe-f45708b26bfc,
Abatuar,PA,ccea491c-680c-4134-96e0-da9e8723bd46,
Hez,PA,2e7cb7ba-60cd-4a52-93e2-849f178da0ad,
Comando Tiburón,PA,7b5f88c4-00b4-4ede-8990-867a33de3a34,
Bush y sus Magníficos,PA,ad521d55-8f2b-4eee-83b5-67930ec02635,
Cabeza de Martillo,PA,c56597ec-5391-4b33-aa70-9a2f2d6e1054,
Ministros del Santuario,PA,897ed8e3-975c-4459-8e1e-31af74e51845,
Sofía Valdés,PA,0a7b1efe-5023-40a1-aa98-b74c8dea9a1b,
Deathless,PA,81a5b580-f701-42fc-915b-a6b17dd8a40b,
Los Mozambiques,PA,7f5ae413-ec83-4dd3-9fa1-91e317fb0c46,
Gaby,PA,7665770e-5b15-4069-84d3-e187c761ef7c,
Martin Machore,PA,4ad4ade7-4dac-4f05-a5a5-7ca0f7748bcc,
Mista Mach,PA,630be836-5c30-400d-ac01-f899d94cb4c1,
Osvaldo Ayala,PA,ccc5eb4d-2628-4177-a5e1-3e328c7a4804,
Rehumanize,PA,1864c8f5-4e9a-4539-bb74-cd0599efba21,
TMV,PA,2a4ccb23-0d2a-454e-8bd9-3ba79f9f2d9e,
Avelino Muñoz,PA,42ab5d68-7d33-4c61-b6ca-ff3b06fcc147,
Joysi Love,PA,62e502d0-542f-4360-89df-80d631691218,
Lebzul,PA,151a0f33-4e12-419e-b3c9-1f36ee37938d,
Out-Reazon,PA,08eef1e0-d35e-4b08-a627-27312f6b0afc,
Solinka,PA,cb9816c1-fcee-402d-b723-1cef0fd1c4ec,
Manito Johnson y sus Diferentes,PA,0ef62b70-650e-43ef-a695-ee39299d851e,
Filtro Medusa,PA,90ceb998-86ed-42cb-8a37-1887deda8882,
Juventud Podrida,PA,f39c09d3-7215-43be-aad2-55998cf900a4,
Equinox,PA,0988cde8-c906-4bbc-831b-301e7c444dcb,
Factor VIII,PA,6a7944c8-579d-48f1-917f-05e2e17ac0f0,
Boza,PA,46aaed31-3d1b-44c2-a6d7-22949e6c2e4e,
Demacrator,PA,fae7a0e9-6e72-4da2-ac33-792d0288e628,
Christ Snacks,PA,c3bb72ef-079c-4382-8eab-75a3503e5b28,
Estado de sitio,PA,59e33887-8144-422f-9a41-106ead20d108,
Goodfella,PA,8c55c189-d057-4a52-a491-1b029ede4ec1,
Barbero,PA,e225a672-cad5-4a1f-b0d1-5d50f8e29a71,
Alex Meran,PA,afd6a3cb-b116-44d0-a56e-795f111af59c,
MC Joe,PA,fffb45ff-3b52-4c5a-909e-07a72113d6ca,
Akim,PA,e28945b2-05a6-42ea-bd1d-6ac813aa65b2,
Ortegas,PA,aa17fa1c-740b-4704-bc22-8ef82c70f7a3,
Tiburón Amarillo,PA,dbb479c6-a16e-47b9-8312-bb84de856dd4,
Nervial,PA,6636e5aa-caf5-43bc-b9f2-fb016d7b9929,
Burrell,PA,5fb9fcda-37ba-4cd6-8f0a-8f2a8199b55c,
Carlos Malcolm,PA,21ff5ce9-88ca-46b7-9b64-b87676a58b97,
Danger Man,PA,57b5a24d-4ee4-4048-9225-1aa0ed0dff36,
Lolas,PA,6a434715-e06c-46e6-85b0-6088abfcf585,
Jorge Sylvester,PA,ee0b875d-162f-4fd0-9ab1-9242d0d03b5f,
Mr. Saik,PA,9bd861b0-2605-4502-bf4b-9c7d81fb6630,
Meñique,PA,02d5ad88-7a8c-4ab5-8432-679f21689a92,
Nando Boom,PA,11aece07-3557-4aef-a622-d823f59f3330,
Rony Bianco,PA,bc559e40-86a4-47e5-8818-0b4c506dad63,
Enslaver,PA,d4498c97-ce3f-4207-8f8d-16b8474baa7e,
Jam & Suppose,PA,bf43d954-6941-40b2-bd0f-c7cb1a897655,
Bloodshed,PA,ab9ca2a1-51ed-4580-873a-d1da2541b043,
DJ Pablito,PA,fed552ea-ae0a-4841-936f-47fc430d37a3,
Tarik Main Brain,PA,1b0dd307-3414-4597-8ee8-7d4750d3d20c,
Lagrotta,PA,7c1bb0c8-d1a1-4733-aeab-b628a0cb0d8c,
Mauricio Smith,PA,363db84a-2b4d-4f41-b6f8-4124628e3bc0,
Samy y Sandra Sandoval,PA,6719d51f-51e7-44eb-8a9c-c4c7c9c8907b,
Kenny Man,PA,83e33294-3009-40c9-ae0b-04678872b337,
Dicky Ranking,PA,f80dffd0-638d-4107-b470-3c5ed3c2ac79,
Myria,PA,8111612a-ff9b-417c-9f09-ffcb7f4fbe78,
Combo Impacto,PA,11c3c771-af0d-42f9-9d3a-d058e7f2f941,
Sektor3,PA,aebb50b9-1d65-44e1-a398-3afd4c26a7c5,
Quintanar y su Clan Sonero,PA,207033fa-d0d1-4388-b893-bcb6f6e24106,
Holy Death,PA,31a56ee3-f8df-4504-b321-2d82fcb5eab0,
Gian Varela,PA,5593e076-a8b2-49a5-9963-7ffc1bdea569,
Erika Ender,PA,afc59bef-d405-41ff-9161-774cb41b46a2,
Manito Johnson,PA,a016a252-4b2b-4bf0-abd4-0f3d30d78a83,
DJ Andy Van A.,PA,4172dd68-36db-43bf-a7b9-b3ed49971300,
No Ley 55,PA,5e937f90-41bc-4e87-9e33-f6601a458f0d,
Papa Chan,PA,a75e1ed4-b7b7-4e70-99f5-966fed6e0960,
Los Asesinos Del Pentagrama,PA,8f8e4c8b-6987-4297-833c-45bdceea6e44,
Nes y Los Sensacionales,PA,1ce52340-cabd-4563-b8d9-fd4c91dd3c3f,
Fragancia,PA,2a954628-7719-460d-b80c-6d9a77e950f5,
Mr. Fox,PA,fc64bd48-3bfd-4fc1-a16e-d282003c1577,
Blasfemia,PA,a9e63696-aa2e-4ba4-8679-6ab8b22899a7,
Antagonized,PA,ce6be1a5-3ea6-4c51-b083-4cba87df6bac,
Jackie Cardoze y su Orquesta Semuchó,PA,a17c0bcb-b709-4a53-8337-430d120f2956,
Néstor Rodríguez y sus Nuevas Estrellas,PA,aa7e0980-69a7-4703-9efa-2b23df2e6331,
Capitán Ponche,PA,fb25982c-d1d4-4c03-8952-d342793e18ad,
Valkeryon,PA,89b2968f-9cc4-4cef-ad01-9ba7150d44c2,
DJ Tom Sawyer,PA,35280d1f-284a-439d-96d8-d429cd611dc8,
Roque Cordero,PA,7893b91e-0267-4b63-af4a-296481d04836,
Aspirante,PA,d9f9b625-dd19-4e18-afe6-dab0b30728b3,
Crema Latina,PA,2777407f-12e6-4793-83f2-7135d3d7f991,
Freddy y sus Afro Latinos,PA,c0d07feb-f9e1-4e13-9f77-74d5b9115cfb,
Los Autenticos Mozambiques,PA,2e988c8e-3c2b-48a8-a523-50e233f431e5,
Lucyfernandez,PA,ea097549-1530-4f83-8a60-ecda0f4d4d46,
Malo Santo,PA,6d5e76d4-d102-40e7-998c-ae2a2a43c700,
Japanese,PA,1a18ce00-1d2b-466a-9ab2-e4522acf799b,
Scarlet Sun,PA,58897314-e914-43b1-8061-25124f044ad5,
Mr Dutch,PA,aad7cbb8-ccea-42d2-8dbf-4c2820af70e5,
The Soul Fantastics,PA,5e700a59-f543-40c5-a6f1-28a9c5c985e3,
Black Czar,PA,c01ea782-060b-44b8-88e8-792573bbd082,
Linopau,PA,305374a2-a2cd-4a6d-b30a-579ef95e189c,
Predikador,PA,84773585-1740-43e0-a7b8-368bd54c9633,
Little Francisco Greaves,PA,1bafa05e-f701-407f-919e-c5b049e29207,
Gangsta Crack,PA,2677abe1-079f-48b7-bb4a-97ff63374f70,
Kung Fu & Robert Dance,PA,879c3bd3-4f46-4bbe-99be-2447a193621f,
Miguel Ángel,PA,6f098b7e-cab7-49f5-84cf-b7761bf3d205,
Jefe de la Morgue,PA,29f9f8ae-2690-42d9-92a8-8d34dd8a82e6,
Abrinay,PA,42cd73b1-2a11-440c-8edb-cd87b3e58f96,
Toby Muñoz,PA,35ca2320-4806-4cf5-85a0-3a01f49bee74,
Lord Cobra and Pana-Afro Sounds,PA,7970d6fc-bacc-4b9c-8aea-b151192487f4,
Los Silvertones,PA,f4eb14eb-2fa2-43d5-b0b5-3eb39c2b1a2d,
Aberrante,PA,0c17c437-68e4-444d-a223-027344b51564,
Brillante,PA,dd124781-8d09-41b1-9b00-b1fb854403ee,
Joshua,PA,82ea07c7-7b5e-41a5-a39f-fe7f9c6ca953,
Real Phantom,PA,7f1435a9-2a60-4893-b574-a4d19f91e629,
Monthy,PA,4f55ef04-3f9c-417d-b923-9cf3d4c79352,
Dímelo Flow,PA,786ce8c5-cb6c-4667-ad27-f61b6bfc3ed0,
Renato,PA,e7bc86a6-467e-442d-bd4b-a7a4d8a175be,
Csurt,PA,ea705078-947d-4462-947d-c960e2115d33,
Little Phas,PA,d2a9dd16-f6a6-45c0-8db8-d5fb31ecf3af,
Carlos Eleta Almarán,PA,d5394db8-b404-4a47-851d-c19515847991,
Ricardo Gaitán,PA,3445f873-4a59-4822-8789-2e3e7eb9e9d8,
Michael Lawrence,PA,00e293ca-9de1-455a-a1f8-6176dfd22f10,
Dee-Novo,PA,21888bc7-76c0-497d-9f20-481454a95d14,
Sion Jai Jacobo,PA,205b1cd8-700c-4aca-aba9-16cd390f5bb2,
Papi Brandao y sus Ejecutivos,PA,a1edd1c3-6bcf-4cb5-aed6-4b12b4370274,
El Conjunto Inspiracion Santeña,PA,8d86e0f0-e296-4521-aa7e-7029cc6e579a,
Lord Cobra,PA,cee64f83-f839-4c47-ae94-c60c6a029577,
Resense,PA,367ca174-7a69-4287-af43-8d04d9704df0,
Padrino & Rude Boy,PA,9ec7b3b6-5c22-48f0-a68a-7c29bbb07ed8,
Arthur,PA,bd2f6628-9524-4669-9dac-9cadfa523727,
Alex Pro,PA,09d8d441-4ef4-4950-bc90-faee7462337b,
Los Arco Iris,PA,4793c163-c1e2-4e10-8e89-e8bf55edd059,
Los Revolucionarios (Soul Revolution),PA,a7edda3f-3e93-44c0-9744-a61a5f8284da,
Nenito Vargas,PA,0b51b2b7-84da-4a01-a0c2-66b1c1f52b51,
Tille y su Nueva Dimension,PA,03ca23e7-2c24-4a2f-9980-90402dca3b4b,
I Nesta,PA,4625d61b-3350-438b-b6e2-9a2ad80b7713,
Junior Crack,PA,5c85c5a0-93b4-4609-bccd-c2944a2e0004,
Ingrid de Ycaza,PA,b4cbc870-b221-4460-9585-51c5056cc710,
Alberto Gaitán,PA,9f692cfb-754e-4d02-acd0-cb671954aa72,
Niko King,PA,c56880a8-c073-4062-a8ae-9bbcaad0d7ca,
Rolo,PA,d38131df-aef4-4340-8e0d-f79fc7219c89,
Kathy,PA,945a27a6-6bfe-462a-84b2-07256d8e7d49,
Vulcano,PA,f4ddd58b-1120-4469-8d34-0d82e07c129f,
Emilio Regueira,PA,d716a979-2ede-4805-b872-bd603c3cf13b,
El Tachi,PA,e00bd80c-efc4-4f47-8470-c5b81fa46521,
Yemil,PA,fc4eab1a-79e8-4d73-a8e0-789e916efed6,
Caras De Hambre,PA,c4086b99-64b1-4900-ac91-fa88f42e37af,
Oneil,PA,21c68bba-76c8-447a-aac1-435615abee6a,
RD Maravilla,PA,7c146043-43fb-4b5f-84bd-5e4b2cf77d2c,
Víctor Jaramillo,PA,550ec856-228a-4d9c-af02-d8d39e4c1adc,
