name,country,mbid,youtube_channel
Yma Sumac,PE,53d86951-706c-41c8-9053-a713ea972395,
S O A R E R,PE,38c93d7c-6b97-49c2-8922-262e3e301971,
Maykretch,PE,2b4b9a0f-0208-4a5c-89ab-0f3ff6cb0f58,
Agua Marina,PE,0fbbb422-93a0-4c95-a378-6c72546473b7,
Los Destellos,PE,7968034e-117f-4275-a2e6-a88472794cb2,
Gian Marco,PE,e1fb2501-3d1f-4e31-9411-761fe6e3ee4e,
La Sonora de Lucho Macedo,PE,b6e9e5e6-97eb-4101-9497-243d7bd364d0,
Juaneco y su Combo,PE,9106e92a-aad0-4996-ac95-37b21fd70737,
Daniel F,PE,2808ecbf-10ea-4a0b-b12d-6bcc35554966,
Lucha Reyes,PE,340f536d-1583-470f-b301-5188121579c3,
Susana Baca,PE,176af481-a5db-4902-84e0-393e7811b8c4,
Memoria Oculta,PE,9436aca9-50b1-49a6-b417-1a73e8e7f507,
Miki González,PE,4ef6731b-2d1d-4aba-b139-87e9f74c61e0,
Mar de Copas,PE,78754236-a06b-4af0-8a16-1ed72666cf64,
Anal Vomit,PE,9e790c84-2013-4583-b93f-deb688eeb205,
Flor de Loto,PE,b42a1066-a303-421e-a0e8-316db542b3f4,
Pedro Suárez-Vértiz,PE,f21028b0-172e-4dbe-9946-2d603a295e1d,
Libido,PE,9aa529ec-708c-4980-beb8-7eab5e323a9a,
Los Mirlos,PE,967775fc-8997-47ed-8c2e-55a0eb59bfae,
サクラSAKURA-LEE,PE,75f7d118-8eca-41b8-805e-a9d6b927151f,
Hadez,PE,f7bb85de-5f2b-4b39-ad9e-c346286c7a07,
Leusemia,PE,4e650d25-7f9f-4b45-a4d0-0878909ce184,
Novalima,PE,1916112c-7385-4580-bc55-8126d349016c,
Amén,PE,94650e10-32f1-4887-a22c-eede8e90a63e,
Eva Ayllón,PE,57ed5f18-ac09-4870-ad97-c2a410caad6f,
Juan Diego Flórez,PE,c77272a6-7db3-49ec-8cbb-5da16b59966c,
Alborada del Inka,PE,4e2a5c58-83d3-419a-8767-429badf59da3,
Chabuca Granda,PE,ad92ec10-7f8b-4f9a-a0a0-c02982722b6c,
Antonio Cartagena,PE,5af3690d-3d9b-48f2-8aa2-6ed7fd1251b1,
Chopkjas,PE,337b99e4-9d06-4c92-ad63-86c743b9669e,
Charlie Parra del Riego,PE,9c91cfeb-8b50-46b9-b534-6e8e0edef1b0,
Campo de Almas,PE,a7c6ac38-c73c-4d9b-ae51-9fbda94f6545,
Alfredo Linares,PE,a6ea6a70-75aa-4f30-8403-5c7347b4b86f,
Yoshiwaku,PE,f0cc6cf8-b4d5-4b73-8427-838da7e67d84,
Alonso del Río,PE,2de2f792-a9e8-4644-99f9-2cf908a18fe5,
Lost Traveler ロスト,PE,fb1d4652-b448-40e6-aaa3-c7a9c2741da9,
Chacalón y la Nueva Crema,PE,326162e7-0e56-49ba-8aa9-a0b12dbc6526,
Daniel Kirwayo,PE,45c1d28e-1e3f-48d7-91cd-4b296dca3997,
Rio,PE,7c82db2b-1354-415c-989b-a599a3179a18,
