name,country,mbid,youtube_channel
Intrepid Corpse,PF,3464d3a0-4824-4568-9284-9522794d1360,
Tikahiri,PF,f3a1dbb8-70c6-46f2-b06d-bc99b4abdb01,
Te Ava Piti,PF,b9ef9d3b-b48b-4a31-a2e0-d5e6c430af34,
Teiva LC,PF,fb524808-49d7-4674-873f-1c303cf793ae,
The Tahitian Choir,PF,ae2535c9-e9c5-4d2f-b313-9ebe4e157d8c,
Varua Ino,PF,31e8ef06-5ab7-4417-b2a8-6870df00b364,
Vaiteani,PF,f775bcca-3ff8-470d-8517-3393fcfdd786,
Maruia,PF,e6e2e59c-52fd-4456-9f40-cb398c6dd646,
Trio Kikiriri,PF,bbef9d76-f7a8-4acf-8233-27f4c0177473,
Sabrina Laughlin,PF,7348b326-b2ad-41a2-be5c-21966a7cf893,
Esther Tefana,PF,adebc0de-84fb-4312-a39d-52cdd4c3b55d,
Iaorana Tahiti,PF,5b994d05-b615-4f15-abed-b71bbc7f5e36,
Les Popaa du BORY,PF,b0967a76-63fe-49aa-be3c-c56bb10658a8,
Tamure Ute,PF,95765e8a-7962-45c2-98ec-09e8ab95a8ca,
Te Ruki,PF,0c6ff478-8779-447c-9ad6-c40c5166e652,
Michel Porai,PF,8009e440-c4e3-4f5d-9e9a-49c613a099b8,
Rod Danny's Trio,PF,c81f4eca-5b39-434a-ba2b-358eab8c714f,
Huimana,PF,f6c5996d-067d-41f4-a6c7-067a81a7ae7b,
Les Tikis,PF,9de95e87-b345-403a-84bd-fe25133b2063,
Aremistic,PF,8ee31406-15db-4d79-b7af-8cd38e562995,
E. Tetiarahi,PF,aec4be32-a6dd-426c-9fdf-7ee5819b673e,
Adam Castillo,PF,9111d661-c290-4510-a462-1e5c6d19468b,
Tematahi Temarii,PF,3b6acc98-5adb-4498-967e-dcd9ea786242,
Alphonse Perry,PF,88baee1f-7bd4-421b-b6d5-3af46d525a0d,
Groupe Folklorique Joël Maéva Tahiti,PF,a428f2fb-9ecf-4405-a0d6-084284363919,
Himene,PF,f95dde44-096d-4fdb-8a98-bc7fa7bf5cb3,
Matatai Taaroa,PF,6198770b-8ae3-4234-84e0-254217031336,
Tevateua Tetuanui,PF,c45d1ad2-c791-465e-be05-695dd7b75758,
Faana Papa,PF,4f9b86a7-77ee-4c4e-9294-4e268ebcbab8,
Tamarii Punaruu,PF,25b57f69-ca7a-46d5-ba82-c071fe246dab,
Jo Nui,PF,520348a7-3d2c-45d0-8e33-c1be881b327c,
Anna Tauraki,PF,5bace781-4c9e-434e-890c-22e47a78c4b8,
Les Tamaru,PF,ab939b1d-29f4-4959-8890-3c48ce74597d,
Biem,PF,4093e268-cea1-4b2b-a3fd-041c02f7ddcc,
Prince Teriihinoiatua Pomare,PF,d6e9f15c-04fc-48df-b689-101b03904d70,
Rémy Rey,PF,fd5ef349-e6b5-43fd-8e0a-16b8477dc51d,
Groupe de Piiraa'e,PF,8e427293-2d19-40ca-8b14-a9731ed13018,
Angel'Studio,PF,e9adc568-0cfc-4ada-8343-0e5b71d13a26,
F. Delord,PF,40b15068-0b05-425a-8d5e-ed3116be4512,
Miki Tinorua,PF,2dab75ea-36e5-43f8-8b14-125ce90a0822,
Roger Tetuanui,PF,47d4a623-7651-4e0d-b53c-2d4aa95a0dd3,
Patrick Tixier,PF,a1a1ec21-dd0a-4094-8ed0-17077614d1ef,
John Moana Mariassouce,PF,ff30370d-b3b4-4c94-b527-9238c4abf168,
J. Caunes,PF,344f42a5-6b04-403b-9e92-c7d0cf22254e,
Hiro Tekurarere,PF,a3ab100f-1eed-45b9-b943-3ba8de5d517b,
0101 0010,PF,2b78f29a-1bb9-4585-bdfe-98672a8e7bf2,
Léonie Paul,PF,fa3aa36a-1239-467f-b94c-a999d835e86b,
