name,country,mbid,youtube_channel
Telek,PG,caa89c09-0e7e-49ba-a38b-5782c36906a5,
Anslom,PG,63c67b05-32cd-4361-b484-b4f3b08ecab2,
Massive Sound System,PG,b8f5d49d-d879-45cf-a3e6-a7c180f631ea,
Dadiigii,PG,30918057-7be4-4416-a5e0-3b9e9b1e5236,
Barike Band,PG,df20e096-e63e-48fb-a022-4d80896793e0,
Darkends,PG,d967dc96-23b1-4936-a725-a8efb8a2f0f6,
Nokondi Nama,PG,9b4231a1-3c6f-4efd-9c92-ab0d08a266c4,
Moses Tau,PG,c523a3e5-8c14-4b3a-8b16-ce5c149a3303,
Radaaz,PG,b084a03c-91e8-4e20-84a1-50967298ace8,
Painim Wok,PG,c3b6e623-a409-4e2d-94ed-643f3cba4d8f,
Sikal & The Blades,PG,78e8de83-220e-4073-a504-06e0ddb335b9,
Justin Wellington,PG,af0a5691-1af2-4e76-bb58-004a3756bdf7,
AKay47,PG,364b8246-8ea8-4ad6-80a1-8810f5e8fcd2,
Patti 'Potts' Doi,PG,85c1971c-9d73-40d2-9273-8c963225faea,
Reks Band,PG,c890e275-133f-4247-9afa-ab28b0cb3ac2,
Tania,PG,9605d694-1fda-4ecc-b329-576ac2df8c3d,
Straky,PG,e4868777-ae56-43e2-9d5f-75a7fbc7892d,
Lista Serum,PG,528bfa09-7b57-489b-ad92-64b62d3fbc4f,
Azzimbah,PG,94efde73-1f0f-4c85-a16a-4b39e56953ee,
Keni Lucas,PG,29e79dbe-f80a-409a-8c1c-1cda9c6f5d0d,
Basil 'Blitz' Greg,PG,c6bffeb4-de6d-4695-a12b-356e89c725d0,
Ulahi,PG,9951ccbc-78d5-4116-8983-2391d726507f,
Martin Rawali,PG,49a84c24-150e-4cd7-a858-cb7e17ab1612,
Trouble Zone,PG,1885d788-326e-4d6b-90ef-75ad83eee044,
Port 20,PG,5892abd0-d3c7-4c54-8ce0-7f925ba12d4c,
Tatana Village Choir,PG,eb17fbfe-ef3e-460a-9abe-b2bd6b49ea9c,
Riot Squad Band,PG,a2e17c3e-d3ac-411d-921b-801556811ea1,
"The Musicians of Rabaul, Papua New Guinea",PG,115850ef-193e-4ce4-92fd-bf3faf85cef4,
Jnr Vigi,PG,689b84a2-9e33-45aa-b461-60a5e7de04ec,
Gania,PG,963538a6-9bde-405d-b3e2-85146891a16a,
Sasha Laris-Silovo,PG,a7f1d1ad-d219-490a-b3fa-0039903bebd9,
Marcelline Getsi,PG,3fb5fa3c-c090-44a9-bb0c-ab15cb1bf1db,
