name,country,mbid,youtube_channel
Sharon Cuneta,PH,103c4f39-bc41-49ce-a86b-3d5c3ff0eeb8,
Regine Velasquez,PH,b7efc324-d12b-40b5-87a8-b67ffb34a91d,
Nora Aunor,PH,2595c199-46e8-4478-a0a7-69ac51e07e30,
Martin Nievera,PH,64077f54-1c5d-4178-96af-caaeabc09efc,
Gary Valenciano,PH,d712724c-a14c-4713-8f6b-f04e1fa18929,
Lea Salonga,PH,67f4ab30-bfe1-483a-a5ae-c6e6067497b8,
Jed Madela,PH,3e796034-fd27-4744-9b38-db45b34acf7a,
True Faith,PH,46529d01-1004-474b-972a-aaa26687a75f,
Eraserheads,PH,b1640065-cc2f-4f92-ac4f-eb2d9f31d8da,
Ogie Alcasid,PH,04db76c4-d39c-422b-b480-28233fa7e51c,
Freddie Aguilar,PH,f3c65556-9ade-4969-9d41-c1716323ca9f,
Gary Granada,PH,f3e56b56-6bfa-46ba-8843-d432fdfd0f1f,
APO Hiking Society,PH,3df8a7c7-0409-485a-8822-e016f38243ae,
Asin,PH,d6ec8bfa-5d35-4dae-bc73-3f62ac1a49ef,
Sarah Geronimo,PH,d88dfcf8-72e6-4fb5-bf80-6c0e18d7c7ae,
Parokya ni Edgar,PH,f742fac6-9349-4a2b-8c94-ed0515bf2301,
M.Y.M.P.,PH,8492cd5a-43a1-4def-b01c-4c67b1277af9,
Kuh Ledesma,PH,a3981f84-f727-48ce-9c5d-ddbe1113cfbf,
Pops Fernandez,PH,53ef6f73-59e2-4c57-a624-8362b20cb3c3,
Aegis,PH,73c29982-0af3-4051-bbff-8f965368a6b8,
Noel Cabangon,PH,e0f0ccb0-9f6d-4019-9f58-957c5a7abc63,
Sabrina,PH,b576decf-5adc-436c-87e9-640ea4d32ce0,
Sponge Cola,PH,120bd548-1453-4c84-ad93-d89fef873db2,
Aiza Seguerra,PH,bc3110f0-d2ca-4f92-b05f-1a804443cd0a,
Jaya,PH,1ba482c6-5fb4-4395-a913-3954777fce20,
Erik Santos,PH,b48096ef-0ba9-4bcb-a09d-557e388fcb37,
Falsewander,PH,5416cc36-684b-418b-8ac5-bf50f48511f3,
Side A,PH,93017ab5-1525-4da2-98e4-965d83725118,
Rivermaya,PH,915a3ad2-45c7-4a37-90f6-16f57aeddbde,
Nina,PH,3459126a-12cc-43c4-83c6-c4a11551a119,
Francis M,PH,62f4eee4-77f4-4cc7-b4f5-9cbf658f9612,
Basil Valdez,PH,5fcb1ed4-59cf-4094-85f6-f1fb3a6304ff,
Itchyworms,PH,ec9bd98f-2011-4cfa-b541-4ef90b105c34,
Rachel Alejandro,PH,e2caa2bb-1ae4-4507-b067-731ae2e8fe33,
Jay R,PH,7b4ac180-a521-479d-aebd-f17417282913,
Lani Misalucha,PH,c724bd48-0793-49af-aef0-419d0911571c,
Christian Bautista,PH,1835dc39-f957-4649-8479-f7fd1853176b,
Jose Mari Chan,PH,99c41ec3-b5bc-4dac-a7ca-07b3e8fdcb2a,
Zsa Zsa Padilla,PH,d00235d3-2e99-44a0-afa8-63d5014b9fc4,
Kamikazee,PH,b8c77de7-0a76-44ba-a54b-df7ebbddcedd,
Kyla,PH,e77c1703-a46d-4a82-8f33-6cbb81a5c766,
Freestyle,PH,bdf0a58d-15c0-41a0-b901-31ae584f908a,
Eyedress,PH,0b619a94-481c-40ac-abae-85f33f2b1588,
Piolo Pascual,PH,a23a0873-f7de-4502-a4f1-e2d1d3f79acc,
Marco Sison,PH,9bc56866-893d-444b-9ffc-e2e7a174c601,
Janno Gibbs,PH,4a01579b-5a84-4c7d-90a2-9eac8963e5f0,
Rey Valera,PH,5d032105-34cc-4f74-9cd2-adc1dfaa1ffb,
Pathogen,PH,df16bf3e-d5df-4aba-89ba-f72f46b04068,
Slapshock,PH,2d508438-c366-4779-aace-5026a81c9703,
Siakol,PH,8f592405-750a-41d6-b959-9b176eff982a,
Angeline Quinto,PH,43478796-cc52-457b-a527-a8388a0df006,
Jolina Magdangal,PH,a6e0b877-2eb5-497c-963d-ec908aba324f,
Roselle Nava,PH,d982ca0d-092a-49e0-a710-494fb1ac9307,
Jake Zyrus,PH,2defacc1-46d0-432d-a01b-7f7d9c6d1d71,
Richard Reynoso,PH,c46e984b-0a55-4c98-9629-39b7a0d32cf1,
Dpsht,PH,02fe49a8-5aa1-4af6-a198-158db4067d2d,
Black Buster,PH,eccc12e5-0b67-4d01-9190-afa9fc99b5e3,
Yoyoy Villame,PH,18a212d7-4b2f-47ac-b1bf-951ee8fb0dd2,
Gloc‐9,PH,1b4b3173-6d95-446e-b5a2-35983c44703e,
Yeng Constantino,PH,31151103-0548-46d5-9724-cbee6e860f91,
Donna Cruz,PH,f5df758b-ede8-4088-866c-f4051fa17502,
South Border,PH,24730293-5196-47f3-8c9e-83633f9b3faf,
Andrew E.,PH,8c29cd9e-f398-48e1-bbc4-0d9c39121119,
Silent Sanctuary,PH,952b7b05-472d-4726-93d5-fdc520a2b337,
Ruben Tagalog,PH,56bdb1e8-f9dc-4f8a-8157-b14f5d3e503e,
Vina Morales,PH,5579de3b-90fc-45bd-9f60-becfaab59b4d,
VST & Co.,PH,2d1c2062-9cbb-4082-a469-828754a743a4,
Randy Santiago,PH,9bff52ea-41b1-4a0a-89f8-d9ab46647544,
Sandwich,PH,45605bd1-bdb1-459e-b78e-896073e383c0,
The Company,PH,c03249ec-6082-475c-9bf0-44079bdc4a89,
Sam Milby,PH,2bb185fb-3eca-4821-9071-19e301c27137,
Jessa Zaragoza,PH,be4e96d1-2fb2-47a1-9916-30a4e907a559,
Julie Anne San Jose,PH,251ed31f-4f40-422d-ac42-4a230c79cde3,
Rachelle Ann Go,PH,7547c078-8d05-4bd1-bc40-faa16c5b4f42,
Daniel Padilla,PH,117fabad-45b4-44b3-bbae-05ace84588a3,
Karylle,PH,5938ab4f-387c-4b09-bef1-38b5aa01fdb1,
Victory Worship,PH,1f934c62-cfa0-4895-8ec4-d90a9ce2b0e9,
Juan de la Cruz Band,PH,62b5c54b-0e49-4dc9-a0d5-db091b8c8d27,
Paolo Santos,PH,f96dd471-1c8e-4deb-92a9-4bffc1adb352,
Manilyn Reynes,PH,e71d1999-55cf-49a8-99a0-407bcac196d2,
AfterImage,PH,a8bd6c8a-6ecd-45c1-b37f-b030a00549ff,
Pilita Corrales,PH,1118f708-d799-4ca6-8eb2-45d8ad81fc54,
Jamie Rivera,PH,1dffcdd9-9220-459f-80c0-024e1a7a8f15,
emorej,PH,89d1463e-de7a-4b80-b35a-dd71956635cb,
Louie Heredia,PH,8b0bb5b8-58c4-4efa-ab5f-20a5d7e03ff2,
Juris Fernandez,PH,759a742d-ee89-4d45-85e1-2acc763616ae,
Up Dharma Down,PH,c8a64df9-b2f8-4a7b-af38-c6ad876646db,
The Dawn,PH,b5e00271-d3f1-40ab-ae07-f8e16a0b49aa,
Imago,PH,dcf0e174-e124-4ea2-9f80-227a387b0f16,
Rico J. Puno,PH,04b6b627-a43b-42c4-8c07-a7cf222d4022,
Jennylyn Mercado,PH,2531b159-9d6b-49ba-ab75-846f2b25577f,
Shamrock,PH,f6cc7473-57cb-4fe1-882e-79ee8803ceca,
Wolfgang,PH,d2744fa3-5e21-468b-b3ff-8f58d0211b61,
Rico Blanco,PH,b146f17c-6e7a-4616-8baf-ee598e462570,
Moira Dela Torre,PH,3733f306-6080-4c33-bcfa-9e8bb5452e85,
"Ric Manrique, Jr.",PH,2935828d-2fb2-48d9-b0b8-fe9e445a9889,
April Boys,PH,e93efbf3-d77d-4624-be39-fb557e5c4d33,
Smokey Mountain,PH,257d028c-b88a-4ba8-a06c-44afee1da875,
Ella May Saison,PH,5b9d5fe7-9668-402f-bca7-e2133335a3be,
6Cyclemind,PH,1b089047-adb3-4e78-bbbe-958acf0ff654,
Sitti,PH,bf53c2e1-6b82-473b-916d-17443deee560,
Eddie Peregrina,PH,c2a69e40-e289-4fb5-8807-1e5d9e986aad,
Ariel Rivera,PH,8b4b3c33-bbde-4a1e-9f67-4e6d6190b528,
Sugarfree,PH,6a138f93-8559-4a57-a934-92be12f6f7bf,
Max Surban,PH,af98f51b-d899-4852-898e-05336ba52c89,
Chicosci,PH,6e333455-01e5-4b8e-b39b-11fc2ef643b6,
Agot Isidro,PH,f551ca9c-59c8-4dc7-970f-e28eeac30f3c,
Kitchie Nadal,PH,0a7fd2c2-d03b-45d3-bc47-47547f4a91e4,
Sheryn Regis,PH,6130fd89-78d7-4e07-bee9-07430a2022ae,
Moonstar88,PH,f05b85a7-893d-4c2f-bccf-35af6d4bd478,
Mark Bautista,PH,b9264916-b203-4e20-b692-38e34b487a71,
Mayonnaise,PH,5f0d6a79-79e2-4902-bdff-e49db4811cd4,
Darren Espanto,PH,4f7d204d-dcc1-4fe8-913e-0629b530ce2e,
Bamboo,PH,82cb9ad1-71ef-46ff-8924-3f6c36eaa2df,
April Boy Regino,PH,5fe56572-f962-410a-80e4-b4f2f068e8bf,
Wency Cornejo,PH,e99e3fe8-0fc8-4d84-bb0c-f17542577276,
Kyle Patrick Naval,PH,b8fbd838-9c12-49d6-9fc8-a9333ac049bd,
Raymond Lauchengco,PH,0cef8905-050f-4e29-8cf8-1c4760749ef4,
Orange and Lemons,PH,20a43d21-3b78-494f-a333-aee80fc90cb8,
Toni Gonzaga,PH,08bff9b8-132e-4fb4-b739-5b71545d9073,
Neocolours,PH,8be37608-e936-4621-8558-fe15ec2da183,
Joey Albert,PH,a1bac7ba-7c19-49ea-96f9-e8c905b64b56,
Joey Ayala,PH,bd8d20eb-9603-4c8d-8f67-201b06412c1a,
Yano,PH,d60a1884-2fba-4b93-bfa3-60f71fda6ba9,
Barbie Almalbis,PH,8b5137d7-22b7-475b-a342-45330606e3e8,
Color It Red,PH,863b1be0-8b65-4b01-a12c-0ca821662e92,
Cueshé,PH,0f0ab33b-d94c-4390-b758-238853649ddb,
Tanya Markova,PH,3dfa921b-1604-4876-92fb-cc8b88766184,
Chlara,PH,e4d990a7-a1fe-4e86-a2d7-3e709fb7223d,
Hale,PH,71804130-403b-4374-ae2e-a3cc1ca8c45b,
Typecast,PH,5394c0b3-a452-483b-9318-68f5d824258e,
Celeste Legaspi,PH,1b59edb6-230e-469b-ace3-38f48b541458,
Angela Torres,PH,40e5000f-f0b6-4366-9de1-07d8d1336012,
Dingdong Avanzado,PH,a8565b29-a733-49e0-9ad4-acea1f107b9a,
Princess Velasco,PH,2302c0ce-548a-48e0-ae49-4009967ca1a9,
Razorback,PH,912d6e3b-3015-40db-b21d-d2001ddb0c78,
Jimmy Bondoc,PH,655af22b-170f-4a2e-b90c-b3a4bb14277f,
Vice Ganda,PH,2c025d43-8b40-47bc-a2b4-b119c7eb0b87,
グルーヴィー ｇｒｏｏｍ,PH,c5677a8d-5ad0-440d-b595-1e774a372fc0,
Zack Tabudlo,PH,3f5a0c97-54c2-4648-84a7-505908d34865,
Bugoy Drilon,PH,e7fb9297-0671-4bfc-a694-fe40d47eb6bd,
Jeremiah,PH,eccd2c2f-c6eb-4c53-8529-8039782e145a,
Rayan Camus,PH,1188f7e3-9673-43d1-9513-959f9dc0791c,
Ronnie Liang,PH,c9d55e67-c9bc-4bff-b640-5b4143f3ac46,
sessiOnroad,PH,086d167d-8c67-4942-a5b4-9dead66253d6,
Grin Department,PH,2e2cf4c7-930b-4e83-a061-212483f11220,
Jericho Rosales,PH,afddc937-b7a3-4aa2-a26b-2f0d95650f1e,
similarobjects,PH,ef1e70f8-263f-4313-9299-d1e48689c559,
The Juans,PH,c7ac47e7-c0dc-4f6f-a4ea-17bff4d84ebf,
Cécile Licad,PH,7e775bfb-4b4d-4e5a-8dfc-4ee56b9a3542,
Gino Padilla,PH,1650eb9d-9cf0-4e40-958a-50bbe880ff5d,
Victor Serna,PH,9bf8667b-88f8-4fa3-91bb-98de94bb08eb,
Mojofly,PH,c16daa25-5fbe-4dfe-aa01-1332e23c2c84,
The Teeth,PH,bad89eac-1a50-4e27-afcf-e85b78bc00e7,
Kjwan,PH,256c983e-3fa1-4122-b7fe-b7eb031416a8,
