name,country,mbid,youtube_channel
Nusrat Fateh Ali Khan,PK,5968383c-11c1-4c5b-ada0-504a38cec8e7,
Rahat Fateh Ali Khan,PK,014431e3-c5a3-4a57-b86b-fe8f2e3253ff,
Atif Aslam,PK,2c26fddb-3926-4004-ae27-22a3896a4f26,
Adnan Sami,PK,a9cff7fc-ac2b-4d15-95e9-c84ee3d37011,
Ghulam Ali,PK,ea0213e9-de08-4858-8915-c42e890df377,
Abida Parveen,PK,b5f74082-9851-4395-82f1-46bb9ba81d5b,
Junoon,PK,c06c8a2d-6a60-48dd-8c1b-9ca002f5e812,
Sajjad Ali,PK,1b29e1a1-3d4d-43d1-85fe-4310b29ef6e6,
Junaid Jamshed,PK,3f36ca82-81a9-4c84-8592-2cd7b2ae71bd,
The Sabri Brothers,PK,758cdd59-8341-4500-a7b7-37341258dc15,
Mehdi Hassan,PK,bd0a20b2-ad1d-4440-ab22-e6dc71e6e199,
Nazia Hassan,PK,c2110835-2d01-400a-8c66-22b65c6eecbf,
Strings,PK,15ef2fc8-bc67-4ee5-8013-ea16592a8820,
Abrar-ul-Haq,PK,988ff762-d277-4e73-86c1-2b98d59606c6,
Nazia Hassan & Zoheb Hassan,PK,9a978ca8-c3af-483a-a349-94e6ca1f1fb5,
Bohemia,PK,ce390e09-1479-4d50-9b85-81a6e46fc2c0,
Shafqat Amanat Ali,PK,8c5415fd-5653-43b0-a375-9f8062883029,
Ali Zafar,PK,aea7a9d8-0d1f-4dee-bee3-708a37c1bc83,
Hadiqa Kiani,PK,fc804a70-7967-412e-8d1c-539197ab22c9,
Jal,PK,5b1d4609-4b22-44b2-8bef-1f089734c987,
Rizwan‐Muazzam Qawwali,PK,d66f0999-c640-4564-ad86-eb26b3d2bde6,
Falak Shabir,PK,9760e8be-75ec-4938-bb0e-ff5817deb520,
Taarma,PK,0df023cc-06cf-4206-ba70-0e2751564885,
Fuzön,PK,ec465455-34cb-4953-a46c-85fe4949aa96,
Faakhir,PK,5049d458-42bf-43ab-b7d8-c2efcfad5d0e,
Xulfi,PK,fed20948-5d8b-47be-a642-fdf90cb46baf,
Zoheb Hassan,PK,717a1ad7-dd7c-4fdf-aaff-5fc6cbcbf19e,
Attaullah Khan Esakhelvi,PK,b8065afe-f3a8-4303-bf4f-6efa17825c8b,
Jangli Jaggas,PK,98ace00b-26a0-4c16-91e2-55124d979f58,
Nahid Akhtar,PK,d4f65b8d-1842-47e7-ae0c-c4bdb59fde1b,
Vital Signs,PK,b8cdb71e-77ea-45f1-a058-cdfce0472c18,
Ali Azmat,PK,6d8d4da4-9e89-4c3a-a5eb-efb072fb267b,
Noor Jehan,PK,d423ecdc-242d-4fbb-aa04-eb69337e75e7,
Haroon,PK,4a801722-160e-4553-b433-7f5ae7a64249,
Nusrat Fateh Ali Khan & Party,PK,b1a59b61-9cc8-4326-be77-b92a9ccff9ee,
Jawad Ahmad,PK,fa05d230-bc04-4079-841f-85a6a545f2c8,
Noori,PK,92662571-d740-48f2-899a-36f37b943c8a,
Karavan,PK,4a4914f8-b93e-4800-a298-22f5467ab83c,
tabby cat diaries,PK,8c7ada3c-0d2b-4ad0-8215-84a78d69e87f,
Mustafa Zahid,PK,1fbd2208-f908-47d2-8605-8adc1c10ef14,
Awaz,PK,0ecd0f3d-145c-4733-b185-3879b29d2467,
Shafqat Ali Khan,PK,a9ec3111-f93c-454e-a1e3-da8241ac9286,
Shazia Manzoor,PK,1599fa5d-9d30-46e3-8e9e-588d322cdf71,
Dusk,PK,468fabe4-e003-4e65-a444-7d4906bf4a51,
Faiz Ali Faiz,PK,762e2728-f093-4548-8f36-f4580d83e207,
Ahmed Jahanzeb,PK,695864f2-085b-41ea-b224-d70373fed4a0,
Ali Sethi,PK,9da378d4-2a00-46c7-8050-26d51dd522ac,
Mixxtone,PK,12f9ab1d-d214-43eb-a351-b15b64f980fa,
Aly Baig,PK,b1abf6c0-ef42-4520-bb15-2dbf462f1e18,
Hassan Jahangir,PK,531e8417-887a-4ca3-8ff8-3b4ec1d06ae5,
Vilen,PK,13a4546c-9e20-4519-bf12-84483f64ed41,
Sabir Khomar,PK,56ff7aec-8122-4a90-9398-88421e864ca0,
The D/A Method,PK,71f77112-11ee-4850-b4ae-285673fbb47a,
Sachal Studios Orchestra,PK,8cbd076a-eb69-466d-b14c-4b503a076e05,
Alamgir,PK,5c38f28a-a333-4ff6-8e5d-d90e2fe0569b,
Mekaal Hasan Band,PK,1ea29adf-95e3-4041-bf5b-ae8581ce9e55,
Igbal Jogi and Party,PK,7f15ed1a-ed16-4220-afc5-fdda2f24bb53,
Starboy X,PK,03d93b9f-84fd-4d9d-bfcc-a5528132dd61,
M. Ashraf,PK,69016002-fcc8-4175-aec8-6338b5ca863f,
Talha Anjum,PK,2b1b5e9b-3572-42e4-863c-720e2af926ca,
Nayyara Noor,PK,5bb3702f-8225-42ad-be86-9782ad90557b,
Raeth,PK,b947b626-1d89-4847-ad73-d08237891b8e,
Zeb and Haniya,PK,e2caa3c8-2f92-491d-82c6-eb624521d3ab,
Bayaan,PK,217b309b-e9e4-4605-b7d4-a3616f5cbbd4,
Asfandyar Khan,PK,dfbbad6a-9d40-4cea-8763-915c25a864f8,
Overload,PK,a5ee3883-2b88-40f2-b68f-7809dd75c2ea,
ZOH,PK,0ca7b8d7-4cf9-4e87-bac7-c466cef2274e,
Faraz Haider,PK,e87fa454-08a0-41e6-b054-45129b1e3e6c,
Saleem Javed,PK,29d49842-620d-4179-b657-a46ea9b629f4,
Salamat Ali Khan,PK,26467728-4c7e-4c45-8146-9dd7a6b4a137,
Aaroh,PK,03193c73-9d3a-4a72-9c0b-c79de35cba1f,
Shehzad Roy,PK,dc7bccc6-7c41-4acf-b111-6030dcd9130f,
Rahim Shah,PK,6b0de243-26d2-4ab3-82ba-0355034dd7b5,
Call,PK,abb31195-98d8-4c09-bc9f-207aaaec001e,
بڑے فتح علی خان,PK,40ea7e60-3038-4deb-b367-4ff2aa88f7f1,
Black Hour,PK,ccafd28b-7b7f-44c7-bf3f-b93f3e3844ff,
Sangeeta,PK,86bfade5-f2e6-4a66-b791-2c8df20e0bc5,
Multinational Corporations,PK,90a7f48e-52ad-4fb7-a6c9-67f7ed1958d2,
Ustad Amanat Ali Khan,PK,175c936f-ce47-4176-9876-e9bd87065a17,
Badar Ali Khan,PK,d5f7db07-d93f-441d-a167-96a0d0fa4c3a,
Hamid Ali Khan,PK,57b92fdf-d6e1-4e80-81db-a3a03d6c0df9,
JS Music Group,PK,588cb736-fe4b-4607-a0e3-dae4515490bb,
