name,country,mbid,youtube_channel
Fryderyk Chopin,PL,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,
Vader,PL,db859a53-b7ca-4892-bcda-5ef78d2c891f,
Jacek Kaczmarski,PL,654188a5-bbfc-41d8-aa27-86a946dfd757,
Behemoth,PL,69632f9c-31eb-43d5-a864-e73ac72efc66,
Arthur Rubinstein,PL,7cc89d05-3db5-4d08-bea0-9c328aa56c39,
Karol Szymanowski,PL,e04ef24e-b64e-4ca5-a479-b6bc79042ff5,
SBB,PL,a431e28b-cc49-48c0-81f5-c9d4dd487023,
Zbigniew Preisner,PL,d229ee11-fc4e-4a1c-8e0a-1e8f84950532,
Czerwone Gitary,PL,629a0273-2527-4a4b-83f2-0c52a6d8da4d,
Anna Jantar,PL,8aa0657c-72f8-4631-8486-c31a4e3008d6,
O.S.T.R.,PL,99acd557-c4e2-4086-9be9-85f57184dadc,
Marek Grechuta,PL,17d126de-97b6-458b-8b19-7615c19a0a79,
Krzysztof Komeda,PL,85e45b31-ec89-4afc-8b21-2aaa82594478,
Czesław Niemen,PL,021810b3-8775-4939-bc99-e97efdfadd6c,
Witold Lutosławski,PL,af4c43d3-c0e0-421e-ac64-000329af0435,
Kult,PL,5e857ebe-88f3-4aab-9534-6728c305e427,
Krzysztof Penderecki,PL,c3395434-dfdd-4de8-a8c2-0a3b110ef3ef,
Stare Dobre Małżeństwo,PL,14276ded-5138-4006-9f4b-fcb91fa208ad,
Leopold Godowsky,PL,f5b8d14c-3adb-4cd3-aa97-140a557c7302,
Skaldowie,PL,706e123f-f9fa-404d-bce5-372f22e4c7df,
KSU,PL,14eb556f-3398-4810-bf82-a168254fa35b,
Turbo,PL,e38ce076-1856-4352-818c-b807dc7420a9,
Edyta Górniak,PL,ca59a38e-cf39-4d95-ac03-b6ca4f43fd8f,
Maryla Rodowicz,PL,c565f7c5-a8d0-4fd1-855d-7dffb2ffbad7,
Paweł Błaszczak,PL,c99c4be3-b183-4226-925c-b9b7ea2b0dd3,
Dezerter,PL,2c9a8e87-aee9-4ad8-9065-34f176f9b860,
Lady Pank,PL,922ddcf6-2b69-4bc4-9b40-153cb9fad712,
2 plus 1,PL,5b537592-1c00-46ac-941d-db4ac2babf98,
Dżem,PL,732bb732-4334-4128-b76a-e130b369c996,
Budka Suflera,PL,1c40511d-7a1a-446a-b258-ad4940cb3214,
Tede,PL,603f67c5-d85f-46a3-943e-3b04ac8f2e77,
Andrzej Sapkowski,PL,1f48ed9d-e933-4f8d-80fc-d19ae21e8821,
Farben Lehre,PL,4fa321a1-b3cf-468a-b302-f360ecc31924,
T.Love,PL,dd3f655b-7bf6-4fe1-9360-3de5d842e9d2,
Armia,PL,69443da0-1ee0-4624-a837-c3f9e252dac8,
Maanam,PL,8ba628d6-bbc1-4831-8bf1-9f7e51a0576c,
Jan A.P. Kaczmarek,PL,aa6ce2f7-7350-4104-9952-5b29c3549b41,
Voo Voo,PL,5bfbc038-223a-4ff2-80ae-982fb06bf673,
Michał Lorenc,PL,399b2862-5df6-4ce3-9038-2a4a593ac062,
Marcin Przybyłowicz,PL,9ce4f0c8-8ce4-461a-ba1e-10460d2399a2,
Krzysztof Słowikowski,PL,708c5c72-dbc4-4d33-9b69-d112f7ade154,
Anna Maria Jopek,PL,83234f8f-44d3-4047-8d56-28c9e4966f21,
Acid Drinkers,PL,3e103047-217b-496b-b54e-1e2db4dd58b3,
Wojciech Kilar,PL,c8c021ad-6397-4990-b3b7-23d027c5931a,
Anna German,PL,579ef111-19dd-4ae8-ad50-d5fa435472b9,
Slums Attack,PL,0697d4c7-30ed-40c8-a9bc-7ad72b3f6e27,
Hey,PL,d24c555c-318d-4fa3-bcf9-a250475cf0af,
Marek Janowski,PL,ebe0666c-6d24-4866-afaa-fc20f2768adf,
Perfect,PL,d6366198-de1d-4adf-811c-e8a2ac118aa8,
Adam Skorupa,PL,15959905-a235-4701-9991-79921bc2851e,
Kazik Staszewski,PL,e7e88ab3-5818-49c3-a8d6-61018237ddbd,
Hate,PL,37c5b173-9a5c-4dc5-b636-4c4844a53a95,
Grzegorz Turnau,PL,a855f632-8bba-4c58-bb91-d9d304955096,
+TEK,PL,41f759ab-aca4-44f0-aece-ab248e798938,
Abel Korzeniowski,PL,9c258098-28e4-4dfb-92b7-44ce7d37c167,
Arkadiusz Reikowski,PL,ab44f17d-dcb9-474d-ab6d-9865f658a74d,
Przemysław Gintrowski,PL,22487388-2158-4592-ae2e-ed639560cec1,
Krzysztof Krawczyk,PL,6f9bc2d7-7a87-4795-b5a8-ea681774d9c8,
Zbigniew Łapiński,PL,524507ef-5fd4-4414-8215-90d08d72119c,
Violetta Villas,PL,fba243b2-728f-46f1-9212-dd188c1561ef,
Millenium,PL,0954dbbf-56bb-47f6-89f3-139b209083cd,
Graveland,PL,bee4943f-f762-4ae1-a27a-a3c15069b616,
Henryk Wieniawski,PL,a65d57ec-36a7-49ad-b99d-79f01cd45478,
Leszek Możdżer,PL,cf1f7aee-f413-45b9-be90-ae94f29ff6f4,
Moskwa,PL,11053bc1-7760-401f-b6a2-1481d1e29769,
Henryk Mikołaj Górecki,PL,7a837d63-a434-47e8-8b48-1d50e54ebb74,
Myslovitz,PL,fccef2c8-22a7-419e-bd6b-c40fc8f46068,
Stachursky,PL,2ff4c025-448d-43c4-b040-38f40bdfe58a,
Tomasz Stańko,PL,f5d729a4-66c0-4500-bd43-10de200372a3,
Big Cyc,PL,8fb30a98-95db-4117-ac7c-cba05b945450,
Republika,PL,116a9ec8-148e-4b3d-8fb9-3d995cc4159e,
Jacek Kowalski,PL,f9284e79-fc2e-4126-ab80-bccc8866e0bb,
Closterkeller,PL,796cca66-9121-491e-80d2-0acbde0d4600,
Honor,PL,b605527f-b6d9-489f-8200-dd1f22f21b72,
Stanisław Lem,PL,7302fd79-fb9a-452e-b404-220fa94e6196,
Throneum,PL,0e85f04c-f6f2-43dd-8d4b-25b7b5ca6e97,
Michał Urbaniak,PL,c9bda94f-d379-4405-a20e-7de6a3ee9b77,
donGURALesko,PL,164ed128-525d-4798-883f-be13502de86b,
Wilki,PL,0b0f4c28-479d-4145-b3f5-1dd7f5bc21f0,
Wojciech Młynarski,PL,13345566-4b5f-4308-b361-14ea6e1f7b5b,
Cztery Refy,PL,fe113efe-1092-43be-b01e-a94de733da1e,
Elektryczne Gitary,PL,cdba86ac-8246-4520-b2c3-1df36431c8e0,
Michał Bajor,PL,e1ed3ba8-f656-428f-a1ff-ba08b0ee6fbe,
Wojciech Golczewski,PL,e80709fe-dede-47cc-a0e4-f51a541a2550,
CETI,PL,cf170e23-89a1-45b7-a312-029d827a6796,
Darzamat,PL,22a6c14f-baa4-4459-b1c0-89da990485ef,
Luxtorpeda,PL,09c321a5-a021-4a29-81e5-094495228bf2,
Decapitated,PL,bfef61c6-53c0-4a12-9a42-1411111e7402,
Besatt,PL,aed5cbb5-10dc-4df9-ace0-f65756686e75,
Nagły Atak Spawacza,PL,19ab7022-a472-483d-b1b9-9be54d015c28,
I:gor,PL,23b4a86b-7be7-439e-99b2-836f289d3a92,
Arka Noego,PL,99d7fba9-8d93-4b83-b463-1fe74e22f3b3,
sanah,PL,a560f6f9-b7a7-451d-9644-71244f557bdf,
KAT,PL,d03c6e2a-24b9-4607-bddd-120f27ff5c9d,
Łona,PL,1c25cfa7-037e-4d82-a7b9-1df62fb6d9c7,
Dead Raven Choir,PL,0ef7834f-4012-4b47-9c6d-cf65dfc90347,
Pidżama Porno,PL,2645702c-97a3-45dd-b408-707362116101,
Kapela ze Wsi Warszawa,PL,ddc7e73b-2872-45fe-81e3-4f643607a42c,
Pięć Dwa Dębiec,PL,efc90d41-51b3-4c8c-9bfc-11540bfd00fc,
ELEKTR0BATH,PL,d5cd47b9-d4f5-4cdf-bbb2-892f9d91a982,
Dead Infection,PL,3718f5fe-d238-48a3-8bca-464fd0888fbc,
Crystal Viper,PL,9041bc5e-7238-4824-9152-87cfd9af574b,
Andrzej Korzyński,PL,241b98cd-5871-4af1-a968-ee60dc7859a8,
mhzesent,PL,4076b887-c4cc-4d3a-a0ae-0d6af67f3423,
Piotr Musiał,PL,8bcb4a54-2cf7-467e-9f04-dc7d9750c645,
Stanisław Soyka,PL,6b202720-260c-4a1b-a19f-f3e4ba3da91d,
De Mono,PL,2673c461-2443-4177-b24b-204b8111312d,
Antigama,PL,f4d04491-7677-4235-a9e3-6f1ac981a00c,
How to Disappear Completely,PL,41237b4e-3e74-4a18-9173-cfa01da9c928,
Big Dance,PL,ad8c41f3-5549-499f-adfb-55a6e007bf08,
The Magic Carpathians Project,PL,ac582f58-cf2a-4a7a-8d94-f539518c56a6,
Maciej Maleńczuk,PL,d58411fb-2043-4cee-ae0c-855b8e5272e4,
