name,country,mbid,youtube_channel
Orphée,PM,d1102863-a188-4e1c-acce-5f7646dc570b,
Henri Lafitte,PM,77bb5b0d-16cc-4f9a-9131-445971d0f10f,
Avolition,PM,4e001ca2-36c4-42c1-ae98-2ea20a2e2029,
G,PM,77975284-920e-46e1-a33d-dc67cfdbfb62,
D,PM,8a81ba92-6df5-4b3e-8153-7cacbf9053ee,
Alain Lafitte,PM,63796d71-2d8c-4aea-9b26-e7715ba5373a,
Claude Gagné,PM,3cb5118f-1362-4445-bb93-b8bffef9b038,
Jean Jacques Busnot,PM,72769879-2294-47f7-b2b3-05ed4fa3779e,
Marie-Josée Sabarotz,PM,faa595eb-eb4b-4771-b33b-e08e35c72e83,
Guy Lafitte,PM,291eb349-f7fb-48ac-b4da-67b19c58ec9d,
