name,country,mbid,youtube_channel
Ricky Martin,PR,70ea63ea-70dc-4b63-951a-2c249d2b3b0a,
El Gran Combo de Puerto Rico,PR,a34ab81e-a7e0-4d0c-b5f8-2438f104733d,
Don Omar,PR,afbdfac9-2955-4404-ae22-c08bf1c1b51e,
Daddy Yankee,PR,2f522f5c-111c-4ce8-8bd0-d82e97c227ad,
Chayanne,PR,327e24c0-95b4-4754-b509-108dc7f8abfa,
Wisin & Yandel,PR,3deeb747-c228-4d33-9892-f0aa081783c3,
Gilberto Santa Rosa,PR,de13522c-692e-4755-955e-dc931fea4e2b,
Héctor Lavoe,PR,2cf18512-c129-482b-aff1-7430a1a7850b,
Luis Fonsi,PR,d68fda90-ab8d-4799-be56-317ba4ae700f,
Cheo Feliciano,PR,44401c2f-3e53-43a7-ab51-bfd32c676b9a,
Ismael Rivera,PR,769e41cb-78ca-4252-b8c2-376169b83051,
J Álvarez,PR,75b8a771-52a3-49a0-b2b6-993ed1250dfa,
India,PR,fb842eee-c5c8-4748-8da8-e33e17e5041d,
Tito Nieves,PR,49f8d785-d170-4743-b020-7a624f45d45e,
Menudo,PR,96bfe83a-ef0c-4447-a473-451523f7d4bf,
Ricardo Ray & Bobby Cruz,PR,91890f15-56b7-42cd-8149-3ef631c9257a,
Sonora Ponceña,PR,c7c9ce08-020e-40a6-a213-e6eddf7855c8,
Elvis Crespo,PR,776b2c10-31fe-4c4b-9982-f408279b80a9,
Bobby Valentín,PR,abee4037-b4ce-4121-b524-662c0fee5349,
Cortijo y su Combo,PR,0a86bda0-0718-446f-bf36-beeecd360b67,
Víctor Manuelle,PR,cdee2787-9d93-4ae6-b60d-322e0db15ddb,
Olga Tañón,PR,368e6707-d17c-4f06-97e2-cca841afd52f,
Jerry Rivera,PR,d53d5b18-eb28-4b2d-a2e0-3fe2891a385f,
Nicky Jam,PR,c458e9dc-e0d5-45ea-9e83-f9d0395f030d,
Ednita Nazario,PR,0cb38216-4daf-452a-ab93-9a943f807de0,
Andy Montañez,PR,6bc17c45-0c18-4665-aa5a-87b201ff0a17,
Ivy Queen,PR,ff06ecc0-72a5-4a81-a253-d840d9aefb32,
Eddie Santiago,PR,315fc6d3-4e92-42bd-95b0-49557473adad,
Eddie Gomez,PR,3203d20c-9e96-4e8b-a51e-c2c10eb1981c,
Bad Bunny,PR,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,
The Lebron Brothers,PR,3c587ca5-a91a-4b16-b063-21f9c1e7135a,
Farruko,PR,d2b3524f-67e8-45ef-bfc1-693cac525135,
Manny Manuel,PR,70f14f72-0e65-4b39-914d-07b1103ef44a,
Tito Rojas,PR,22bab6e2-1332-4eca-b07d-f12b9b038051,
Vico C,PR,2138488d-fc78-45eb-8759-f325c1f2b400,
Tito Rodríguez,PR,2b6504f7-85e8-4f85-a818-e96ee165b9a2,
Ismael Miranda,PR,08111ced-84f9-49bd-a6b4-0d920348f723,
Arcángel,PR,47e7833f-f1a7-4703-942d-9acf12f39a1d,
Willie Rosario,PR,6d1d1fca-3f97-4919-970d-9089aa830aa3,
Tego Calderón,PR,6efb297a-d135-4b1b-8c6f-097c9670e647,
José Alberto “El Canario”,PR,96edece9-9bc3-43e1-848b-3f08809381cc,
Carlos Ponce,PR,92d025f8-1a34-4b7a-b741-df6840f9232e,
Zion & Lennox,PR,a06afacd-7894-442e-95ba-49366b2b3e02,
Tito “El Bambino”,PR,ebe02d36-410d-4a85-a67e-36e2462e3e44,
Alex Zurdo,PR,134dcb99-2fb6-4f7c-b40c-59b7febe3fd1,
Ironmouse,PR,86581355-8cc4-4cd6-99c0-9b7f768d1977,
Alexis & Fido,PR,37e20412-fd3b-43b2-9fd7-313cb92673ee,
Tony Vega,PR,40e5511f-2bc2-4d96-93a7-b3c1028a529f,
Ozuna,PR,f2651b63-a44d-4d1d-ba64-d981d971ecd1,
Grupo Manía,PR,7b04f34f-f6a6-49e9-821c-bcb4e95099b0,
Puerto Rican Power,PR,6c6755b2-627d-4e9c-b4b4-ab96603cf916,
Jowell & Randy,PR,06ce3b27-f371-4a77-9b4b-1f0e71f59e61,
Manny Montes,PR,f1abb956-6775-463f-ba16-107260f8300f,
Maelo Ruiz,PR,06fbc72f-4294-405e-8901-93e88bedbd1c,
Yandel,PR,3d291f48-a8be-4113-baad-c73618a7897d,
Kany García,PR,b73433e9-24bd-4446-bf0c-40826bd48b44,
RKM & Ken‐Y,PR,262d255a-6374-41c5-9ce8-2a4586dd3051,
Fiel a la Vega,PR,649d39d8-97c4-4bb4-9dae-c0d4bf29d431,
Calle 13,PR,5be7d200-5499-4bba-b29b-1ac554199d23,
Pete “El Conde” Rodríguez,PR,0b41a57f-7d02-405a-acb8-1e9af9c3ae8d,
Myke Towers,PR,d2945137-b01d-4195-9f82-64d20f8ba657,
Yaga & Mackie,PR,4e57ce22-bfe9-4653-b781-2fb8c261fac2,
Trébol Clan,PR,5cc919d1-b62a-4090-9a5f-d422b6a29c01,
Baby Rasta & Gringo,PR,379ec45a-d863-44b0-96be-47d19dd224c0,
MC Ceja,PR,d21f6dea-6dff-4022-9faa-29fbab3561d8,
David Sánchez,PR,4888776a-6866-4cb0-82cd-01ceb28437f5,
Cultura Profética,PR,6633c2a5-2f74-4164-9d88-b8f458399adf,
Tommy Olivencia,PR,d74f32ab-3155-45b7-bfda-7109326f6132,
Héctor & Tito,PR,8c139256-e60d-4142-9a8b-90916c6428c2,
Rauw Alejandro,PR,197b70c7-8910-4030-ad03-632d82aa40e3,
