name,country,mbid,youtube_channel
ريم بنا,PS,1b803671-18dd-4ce9-b527-75872ca880a0,
Faraj Suleiman,PS,f73a7467-6a3f-4cf7-adbd-12eb7435cb4f,
Le Trio Joubran,PS,a205ab49-6884-4233-bc71-7e6df54512bf,
DAM,PS,45ddd10c-a6f3-4b2d-a583-12d149c54292,
سهيل خوري,PS,ec277844-2cd1-409b-9e20-b178376c8925,
Mahmoud Darwish,PS,ddefe734-0aee-4986-85f8-52c3425a0edd,
محمد عساف,PS,c58791df-ebeb-4d9e-bfc4-1dc1fb2832db,
Sabreen,PS,bdadce04-f83c-4b53-8179-9b0d2a3f33f7,
The Synaptik,PS,d6e440d1-6c22-45b2-9a02-52e9c42b6e72,
Elyanna,PS,bc563821-40ec-48e9-b0a0-4f41dc46a1f2,
Ramzi Aburedwan,PS,d5dd2045-d06f-4f65-a89d-690831e79210,
مفر,PS,07462468-d284-4059-af96-a3e1f737e9da,
TootArd,PS,f991e662-1ed9-45e9-9cd1-84eee4529146,
Apo & the Apostles,PS,21294b38-f113-4704-a816-8db3030ad15b,
Michel Sajrawy,PS,21262174-b2bf-40a2-9db2-37f4a4b85195,
Bashar Murad,PS,5a289a16-e872-4058-ba3d-4e108e46ff5c,
The Chehade Brothers,PS,3b1e2d66-9b24-4139-9f72-3334708b98f9,
Sista Khalifa,PS,063225f0-b84d-4a63-8932-1af64d2af54c,
ضرار كلش,PS,933b4f30-4f98-4873-bd66-ad4aea38e803,
ناي برغوثي,PS,325dd58f-093a-4472-90d3-ad2950cc40a3,
Patriarch,PS,e4b777c7-4347-494f-8cc2-a8e0dbc1b7d1,
Khalas,PS,45c72c99-1772-4631-9bb0-cc38a897c7c4,
JABid,PS,b40ded91-76e4-4e4d-b075-0e90db5c57fb,
Mustafa Dahleh,PS,49e7d9fc-e659-462f-a09e-d0692dbd9fdc,
Faris Ishaq,PS,75940e7f-a2f6-4ad8-b389-b550dc58759e,
لينا مخول,PS,de3f02da-25ed-478f-96c4-23bb3aec6285,
Sama’ Abdulhadi,PS,eb24c8ab-fe70-4d75-9a17-f22ee39c8d12,
Noel Kharman,PS,04231e0b-c040-427d-be1e-455008fe23e4,
Ahmad Al Khatib,PS,d210c441-be96-4919-970f-eebaef114487,
Zalaam,PS,9f2a55a0-5529-445e-bccc-18f07e3a7a51,
Sanaa Moussa,PS,ede83f65-8fdd-4b14-8bc8-cebe8b4a089b,
Qasem Al Najjar,PS,4661203f-21d5-4c92-b9ba-3706ad1ceea2,
zeyne,PS,25757af0-943e-41ac-a903-9d336c900d1a,
The Palestine National Ensemble of Arabic Music,PS,9de76968-589e-4508-a177-a3616f7b726d,
Shafeq Kabaha,PS,4a02f4b9-d2ac-4e6a-a03c-62b146235e4f,
رلى عازر,PS,f9ea5e65-4bcb-4f2a-ac42-e0ca57627dca,
Hosam Hayek,PS,f79e46ef-6fb9-420a-a3d8-a20c91744207,
Fadi Ammous,PS,f7ccdf81-cd0c-4ae6-997a-ddf4a50accd0,
Dal’Ouna,PS,b8b9f279-6bc3-44ab-a772-e25a2e998c39,
اياد تنوس,PS,b701cc04-165a-4ae2-8686-55ba86c05947,
Sabîl,PS,25c75e2f-d48a-4ce9-9572-5abc47e8e99d,
تامر النفار,PS,48a14e85-1587-417c-ad7d-a709789431f6,
Maysa Daw,PS,0feabf0d-9f10-4eba-a283-ac9c9df66cd1,
Stormtrap Asifeh,PS,bd42385d-b1ff-45b2-8d29-468b4c95900a,
Khaled Jubran,PS,968d5ec5-ef20-4b34-bbd4-19c067b6f690,
Watar Band,PS,252f1010-6430-4416-bc06-0dd6bef166af,
Shadia Mansour,PS,39d9d048-a39c-4e7c-93d2-d827cc2c3782,
Mustafa al-Kurd,PS,bcac9837-a0e4-4a54-9f38-77caec70dbb5,
Al-Bara’em,PS,98edbc9e-e584-4e7a-8e80-fabe10d19733,
Reem Talhami,PS,eda08292-255b-426f-88aa-7184a4bd05d2,
Ahmed Hawwash,PS,5b03111c-858b-429d-9bbc-273f0bfa83f2,
فريق غرباء للفن الاسلامي,PS,bffbc5bd-7b78-4980-807f-3d938f20ef1d,
Rana Elayan,PS,9a20c795-8409-47d5-a2c0-fbcbb012b79b,
Reem Handal,PS,6681bc22-a25d-4df5-9686-6f9f68b3a28a,
مراد السويطي,PS,09126dab-ec29-4d05-9c03-e7540868a94e,
Lethal Skillz,PS,96c1f9a6-db31-427c-8b84-578cc47c4363,
Jowan Safadi,PS,f8302c7e-275e-45c1-bdfd-bb28aa24fdc7,
Haykal,PS,98e66cb6-1a30-43ec-8389-64b7209d6a5b,
P.R - The Palestinian Rapperz,PS,cdeeb199-aaaf-4416-877b-3da7c697efeb,
هيا زعاترة,PS,e0e28a5e-7d63-4bba-9b39-9feefe92edf9,
Fawzi,PS,bdaa2b8c-5797-4db8-8c23-7cf55a3e9336,
