name,country,mbid,youtube_channel
Amália Rodrigues,PT,6b605219-90fa-465e-82ae-60d2347bd030,
Moonspell,PT,386b19c6-a3d2-414a-bef2-c178572b1cbe,
Shiryu,PT,59c2d48a-ad0f-465c-b108-c6bb43b15d8f,
Xutos & Pontapés,PT,12f2de9e-83d0-48ee-902b-c73d7a7cb6c9,
Sérgio Godinho,PT,208ec32e-f776-4b94-af14-ae97515d7863,
José Afonso,PT,d06e7e71-0178-4e66-8150-044ff6047d64,
Carlos do Carmo,PT,d69e14f1-4276-4935-a5d0-495bb11a109c,
Madredeus,PT,8e74d54f-42f3-463c-8fa9-16f4fb0ec0a4,
Maria João Pires,PT,64cf3646-fde3-4f5e-8741-8b4d21917785,
The Gift,PT,f326ff88-98f7-472e-96c6-42b31f97bcb6,
Tony Carreira,PT,5ae3ee8e-2bfd-4ffe-8551-e571f25f24a2,
Rodrigo Leão,PT,f3df0b46-d21a-4230-9a94-4082e8d6860b,
Jorge Palma,PT,386c9f8f-31d8-4815-b4c5-7c875f96c2b0,
Decayed,PT,33d581f5-13e2-4c0b-b9a0-6ab6583c4f30,
GNR,PT,fcc14977-e172-4613-95d7-8e9943c462fe,
Quim Barreiros,PT,e44ec8ae-ea2b-49b3-ad8e-b545796789bf,
Cristina Branco,PT,01e75bf4-d967-4036-877e-c6a817e4325f,
José Cid,PT,61999b78-db51-4331-b8d3-7fff1bc8bf70,
Fernando Lopes-Graça,PT,49f12981-cdbe-490a-87a7-1bcb20fbb9fc,
Ana Moura,PT,b5954bc9-bd18-4064-a17a-1ad719e617a5,
Carlos Paredes,PT,278e5176-b4f2-4a77-8ab3-5da847765b9e,
UHF,PT,3a8e7df6-c871-4715-9afb-1b9d8f864888,
Mariza,PT,8cbb4d57-f44d-433a-90bf-a0892af886e1,
dgty,PT,e9390855-9aa3-4a13-ba97-dcd1b0c4aa87,
Maria João,PT,a9fd4d49-cffc-40d5-bd17-0ba6dc0f811a,
António Zambujo,PT,fb196c7b-9eaf-471f-b392-cfc9d4b61a9a,
Fausto,PT,b5e11a13-9358-4fbf-8eb6-a90e55c520ab,
Dulce Pontes,PT,69c045f9-2887-4400-a880-924e361b2e97,
Rui Veloso,PT,758416ad-4871-472a-ab82-fd6e1b7b6c67,
ātman,PT,be4aed5d-28d5-423a-a229-cb812cbe0167,
