name,country,mbid,youtube_channel
Agustín Barrios Mangoré,PY,bc1ce4cf-374e-4b0f-93d2-53871e681e6f,
Luis Alberto del Paraná y Los Paraguayos,PY,328e6421-233d-48c9-bc22-b9507c288fdd,
Nocturno,PY,c34902db-1c94-4365-9d0e-704a814b0830,
Berta Rojas,PY,7f41b109-4556-4c5f-b72e-39bc2e369cc4,
Eternal Abyss,PY,c643c2c9-ba62-47dd-96af-0c8fb07ca1da,
D.L.50,PY,bbaaa80c-5680-41aa-9c6a-f1d9be779dd5,
Caligula,PY,6a198ad0-8b86-4fb4-88e2-80d37e5479af,
Qetsy,PY,78acea69-9a96-4287-8f70-eef1b6040ff5,
Violent Attack,PY,550d28d5-5349-4dd5-a42d-638a4664d584,
Luis Bordón,PY,cb500dd4-3c66-4d55-9a8c-f967debd17a8,
Reynaldo Meza y Los Paraguayos,PY,ab381603-4107-4a80-b953-2fc693cff9c9,
Los Buenos Paraguayos,PY,ddd39df3-63d5-4756-8b58-24c442f2169d,
Garage 21,PY,c22b9ed6-a140-47d1-916b-90bff98d3f1f,
Los 3 Sudamericanos,PY,5dcf2761-a94f-4f6b-83c7-bb3cd3fc6f32,
Los Reyes Paraguayos,PY,4de6d476-d9e8-4498-bf10-6e6305cef2eb,
Mimados de Paraguay,PY,f19e3129-0241-4cba-996f-d8899025b70b,
Jorge Castro,PY,90c4d7de-8171-482e-8415-45e40a2a6a09,
Digno García,PY,e28648fb-d8fd-416b-a206-19baeeb1cff0,
Félix Pérez Cardozo,PY,70455f13-614b-49d2-9930-1fe8f0737e9a,
Carcinosis,PY,928c2f27-89b7-4a6b-a2dd-5646286f4ce9,
Oscar Benito,PY,cf93375f-43ce-457a-a09d-4ac05a35b0bf,
Alienated Entity,PY,df03b69e-84e8-4298-815f-67bb4867419b,
Verthebral,PY,f94c75b3-c89e-4f40-9b86-84d4bc3b66cc,
The Force,PY,b882b9dc-541d-4e65-844a-13addef64bb0,
Mythika,PY,7d3e9916-20f6-4d3d-a9ea-656f3cec11cb,
Lucifer's Children,PY,548050c4-0d2a-4dc0-abd4-7dfddcf24636,
Los Fabulosos 3 Paraguayos,PY,b58d9e77-9ba3-4ec0-b3bf-cfb4c02147f2,
Los Chiriguanos,PY,f9c143aa-45d9-4c64-bce2-4b607d5316d8,
jjjamelo,PY,7473264f-0e1f-47de-8da6-2c09f571ee34,
Ekron Cult,PY,1e1b44b3-337f-461a-8c10-8e64468f0256,
Elenco Ko'eti,PY,6831641f-a331-4947-9cec-ede71a768c20,
Danicide,PY,bd33bb9b-cda8-4b4e-80c4-6d24d7e3b1cb,
Jagua Hû,PY,6b50c4e2-8b3b-4c14-b4ba-293bb236a155,
Los Indianos,PY,10619fb4-ad47-41c8-b011-6bfec0d09ede,
Changoz!,PY,474455f5-a422-4dfb-8363-66825907dd20,
Sarcoma de Kaposi,PY,e48d133d-c6a2-4bbb-a012-5a22694d8fd4,
Paiko,PY,d82ff0b7-1af3-4c5c-87e0-6ac615a64a9d,
Fabián Ojeda,PY,7f7b95cc-e60c-4804-be7e-6353f84969cb,
Kike Pedersen,PY,4e2d5077-6950-43db-b23d-98f2ad0b59e0,
Familia Duarte,PY,c8a05583-54ff-43c0-88e9-df2e897583ed,
The Aftermad's,PY,e6f362f1-3f41-44bc-aaab-54de0dc8f21b,
Francisco Yglesia,PY,665cf2a1-d756-4dbc-ba82-600ce3afe369,
Domingo Rey y Los Brillantes Paraguayos,PY,499754e6-4cf0-4464-8eea-6d14bd54dce5,
Taú,PY,9195baea-504c-4ff0-af45-86457917e340,
NOD,PY,03724091-2813-47ad-8e74-234a86cfcc88,
Toxic Avenger,PY,875ce94f-bb73-436e-b99e-229094b87971,
Kiko del Paraguay,PY,72635326-257d-45a1-acfe-612c32d79c3a,
Los Ases Paraguayos,PY,13d0eec9-8cde-470c-bfeb-489bc6987d2b,
Villagran Bolaños,PY,fb29e36f-7e6c-401b-b59e-676fbeff1bc8,
Los Team agers,PY,5d10925b-4e5d-4a81-b969-b48800afd96f,
Ismael Ledesma,PY,b7be6f97-041d-4840-b265-fbcc47bccc25,
Nicolás Cóppola,PY,ccd613c2-eb39-4140-9257-3768e4b900a0,
Eruptive,PY,99d5fdd2-3bb3-400c-a553-86ca6767125b,
ODIØ,PY,408c8f67-e89a-4807-9ef8-2a35c38290d2,
Patriarca,PY,07b29264-0b68-4ab8-9f61-4ce275c21512,
Luz María Bobadilla,PY,e73247c4-73a5-4de2-a539-a5be14dff37f,
Celso Duarte González,PY,f906018c-f820-40f9-bc65-df628d20e334,
