name,country,mbid,youtube_channel
A.M.R,QA,fd82a65f-a503-4cc8-a023-ae6962d7296e,
فهد الكبيسي,QA,85dca364-7698-4829-badf-4785ccc3a87a,
Dana al-Fardan,QA,147ee421-c92f-4dad-8002-e71925259c1d,
Abanoch,QA,bd3800e2-954d-4777-8776-d2949cf32d31,
Hassan Moataz El Molla,QA,eea2fc04-334b-42da-9244-d684d3578fcc,
Moe Takla,QA,c281beae-8abc-4378-82a7-8034f4e58cae,
Quantumono,QA,2d8fe043-061e-4588-af60-bb694cfb3c96,
Qatar Philharmonic Orchestra,QA,335ca043-de27-4331-aca2-6f1fe6217a3f,
Qatar Armed Forces Band Regiment,QA,6e6f1d01-dc82-49ec-bcfd-4cc701bd2616,
Emoción,QA,d4fc9112-cb4b-4e13-a0dd-1689d2a06715,
Asgard Legionnaires,QA,ea657bfa-8b53-4e6c-8da0-ca5a38e57f55,
October Grey,QA,3bb626fc-6a32-45af-927f-b4767bc25ce8,
Khaled Dalwan,QA,e5e61ac2-f9ff-446e-9147-45292058871a,
Folk Moon Wind,QA,cea1e286-7e62-44a4-b13f-5da6a13f1d1a,
Bittersteel,QA,97a92646-83af-48d2-ac0d-a5a7a7636c58,
Detonation Theory,QA,56daafb0-369c-4caf-8ef1-b49768d13ed6,
Ali Abdul Sattar,QA,b4bc6bbf-48d2-42d6-9c9b-6d4aeaab8203,
فهد الحجاجي,QA,35fbb53d-1f0d-48da-9e0a-6b92432675d7,
منصور المهندي,QA,abfaa5f5-bb40-49ed-b78d-cebbb293fd4c,
سعد الفهد,QA,48b7782d-0344-416d-870c-3a312f08f5a9,
