name,country,mbid,youtube_channel
Baster,RE,9adf3f49-9681-41b4-a890-7d2823c00a60,
René Lacaille,RE,6c0886eb-0f9f-429b-80c1-cd8261814d87,
Danyèl Waro,RE,ae354cb8-cdea-4d14-8457-ac2b9bfbb001,
Ziskakan,RE,6dd8da13-c809-4e51-bacf-e4133204d06a,
Lindigo,RE,aeb117dd-80a4-4f10-8473-5c08690e2184,
Ousa nousava,RE,d12f015e-5be3-4b5e-8207-c2903cccf047,
Agrume,RE,79070880-f01a-414a-9598-e344de2e4b83,
Christine Salem,RE,19948fb5-2d08-41ba-aff8-c74706d19964,
Labelle,RE,b6096f38-e69b-441c-b696-4734b0508166,
Maxime Laope,RE,492a6bc2-3aa4-44e5-96db-059ee4c88e16,
Alain Péters,RE,9753911d-4838-467f-b016-e9826f556a2f,
Davy Sicard,RE,1d97fab8-9cab-4834-902d-86fcf3c40b89,
Luc Donat,RE,dad22152-3759-419a-a151-04815e958d77,
Pat'Jaune,RE,6a6ccd7f-b8e4-467d-ac35-2942b1d76350,
Granmoun Lélé,RE,eb9af825-7b04-489e-a6c5-143d932de265,
Rolland Raëlison,RE,b6981c81-e893-495e-8a97-31ccf9434aee,
Benoîte Boulard,RE,4234fcf1-80e9-4ba1-b263-9767a8e3ef2a,
Loulou Pitou,RE,db1bb368-7066-48d3-9704-ad4ce372755f,
Ann O'aro,RE,b85bd565-ad7b-46b3-833a-153ddf66a610,
Firmin Viry,RE,07fb6aa7-5ad8-4b91-88f6-5305b28af41f,
Jako Maron,RE,17c257eb-c455-48c9-956f-7dc7dc347901,
Elzé ML,RE,63889ee5-9363-45b0-bf27-7c815b6f9904,
Benjam,RE,9d7157db-57bf-4366-80d2-b3725373e893,
Groupe folklorique de la Réunion,RE,344c97a5-f046-40b6-9bbb-589662dfc32a,
Saï T,RE,c659cdc6-125e-478a-9f99-8c2245e67f95,
Dominique Barret,RE,6d21c2bf-cc6f-4d14-b0be-2183f7f9c557,
Zanmari Baré,RE,08c3659c-4002-4ca3-bd9f-4d28ce032e41,
Michael,RE,b2e940df-6794-430c-a9e6-77acf7634b6f,
DJ Dan,RE,bdd5f1dc-4da4-4892-82ce-81bf8f459d30,
Kayambé,RE,11fa1c6b-a8e2-4cb1-a83f-2c32cf8f42d8,
Max Lauret,RE,26f09135-cb4f-46d1-b6c3-7cb9b904cadd,
Daniel Vaxelaire,RE,6c1f0931-89ef-4901-8938-20eab0249b26,
François Dal’s,RE,fc7e3e42-6c39-4bd6-af78-134c2ae1d7ca,
Les Chrysanthèmes Des Adieux,RE,f69e420a-6f24-4620-b862-381a2cb1360c,
Kiltir,RE,6a4b89b4-445d-4268-8289-d1119e5d0314,
Ti Sours,RE,b617b5a5-4757-4c69-9552-16970f632cd1,
Georges Fourcade,RE,15839ad5-ed0c-46de-9909-833ab561fd22,
Saodaj',RE,035e8bd8-dd21-4dfd-ad2f-9ca7bbe6d7a8,
Claude Vinh San,RE,81da9978-fe1f-49a3-9ef2-809f60ce53a0,
Loïc Païnaye,RE,e14d7be0-54a1-43ff-b76b-f07b553104d3,
Naéssayé,RE,9ec63975-c648-4e27-bc6d-26f7989b2783,
le Jazz Tropical,RE,a58b9b56-4b37-4e38-b8bf-2d871f07127b,
Thierry Jardinot,RE,bbc04aae-ba92-4b25-805a-8886fc5c62fd,
Fenoamby,RE,c8c3b04b-94c0-4b58-a1a0-84744465342b,
Claire Fontaine,RE,b84cc836-cd40-409f-a513-c48a5ff28b53,
Lo Rwa Kaf,RE,e1c54c3a-599a-40fd-8cf3-4e502b8814cf,
Progression,RE,a11e12a0-d2b4-433b-aa4e-6832b2444be7,
PANGAR,RE,1e1a41b8-7072-4b41-973a-8960d83c0121,
Frédéric Joron,RE,43c6f459-d56f-47b1-b8f9-13febba94918,
Simangavole,RE,60ed4e7c-3fb3-4577-9536-a53a4e7242a6,
Gramoun Bébé,RE,08cd3c5d-3cdb-4505-8cc0-53f306d2b494,
Pierre Roselli,RE,a338de67-2324-4ab5-8078-9e515c1d998a,
Canasuc,RE,ebed9025-8240-4fad-899d-8e7b06a4c0a2,
Oriane Lacaille,RE,e0eee410-9398-4b9f-987f-91897a01235c,
Le Club Rythmique,RE,af74499f-addd-4080-8810-58f2f015804c,
David Saman,RE,041cee9f-41b0-49a6-8475-141be98f3ac2,
Yela,RE,3d0910c1-8dce-4538-89c3-fdbc890ebc5c,
Zoukovery,RE,fbc459fb-d01e-4a20-bb40-ea38ccd8a964,
Aim' a nou,RE,c3f875cd-d292-441a-99bb-cfb827768655,
Cyril Bénard,RE,2f831863-6432-473e-aa5c-3db308bfb4c6,
Défoul la mêm,RE,408e6c50-6f97-42e4-a014-277d0d3505ca,
Isabelle Hoareau,RE,28aa2183-7335-4c17-b5e3-f47692f8f413,
Ti Fred,RE,7020e50c-aff6-414f-b62f-225280b9a46c,
Pix'L,RE,82e21195-2f28-407b-b7b7-d918e2bd4e32,
L’Orchestre Folklorique des Mascareignes,RE,66ae3ca5-2dc0-4388-8646-3bacc3c2adf5,
La famille Gado,RE,684cac1f-3999-45cd-8d2c-a505024f00d9,
Ignace,RE,ecc86d82-726d-4bc5-b3d7-a114cb926059,
Prophétie,RE,6aabbd9d-983f-4ffc-a527-7cf9bea1093d,
Compères Grat'Fils,RE,bedd64a8-d0bf-4748-8fba-67ec9b86552e,
P.L.L,RE,a472f194-96a5-44ca-ae4b-d46870b06287,
Guibert Lebon,RE,e6a8ed61-74df-4aa6-9159-323642e0e38b,
Emilie Minatchy,RE,3e465183-059c-4f77-897c-118099b7e259,
Les Jokarys,RE,64d6eedb-6f12-4ad4-9902-c3e6546255d5,
Carrousel,RE,3b5b04fc-2815-4c49-9164-35ce9e4d8819,
Bèf Séga,RE,2b35264e-797b-4af0-8530-fd14a28bb807,
Aeon Patronist,RE,c9d6add9-a6ee-4c34-820e-690b3960b5c2,
Audrey Dardenne,RE,392648b6-2c06-4521-b6f4-929ef4517fa5,
Soukouss',RE,6be923c9-f704-4a9d-bc46-cbcc686578b0,
Mars tou sel,RE,89aa4a74-ef84-4555-885e-be35c40f4110,
Vynketi,RE,e3194248-d62f-43e7-bc5d-dc919947cc2d,
Mascareignas,RE,70f444d9-e68f-4ecd-9e0b-5e91ee16cfe4,
Tricodpo,RE,be2b64a9-fe4c-4e73-8c7e-bd40c7934723,
Lo Griyo,RE,45fac75c-2106-4709-ad78-2efde02eefca,
Pop Experience,RE,73a23acf-3887-456f-8b5f-e340695bae2e,
Les Pythons de la Fournaise,RE,9ad5d401-49b7-4c1d-a553-545d2f9accb4,
Alpha Oméga,RE,117b29b1-3edf-4824-accd-8a7e5e15e5e3,
Ti Fock,RE,1610423c-6e2a-4eff-adf9-0a0fe90a841f,
Lone Survivors,RE,1f182771-511b-485d-bd69-9c02728118ba,
Analyse,RE,0c9cef2c-323d-483f-aa27-54dc1c0be0a5,
Jacky Lechat,RE,44040150-ce34-4f98-a030-5bf212d50b3b,
