name,country,mbid,youtube_channel
Gheorghe Zamfir,RO,4024e553-6dd7-426c-9ff4-323b17a01063,
INNA,RO,99efca32-eea1-45fb-92cb-8798976a9769,
Alexandru Andrieș,RO,6387ec0b-8b1d-46df-8685-6c66f6681cc4,
George Enescu,RO,30f53666-aa3b-44c1-80c1-4d09929e28e8,
Alexandra Stan,RO,70e6fee5-36b1-4cdb-b573-2132f9566dad,
Edward Maya,RO,257891db-1f69-4660-894d-075e355431a8,
Sergiu Celibidache,RO,b143a19b-7161-4d93-a522-cd6771fd5a46,
Tudor Gheorghe,RO,e3357997-7407-4db6-b756-9eea8478b100,
E‐Mantra,RO,55f3eec5-cd4e-4344-80b1-0da9cd768c4c,
Indra,RO,db82936a-4287-4181-8c4c-6758c56be4c8,
Eugen Cicero,RO,86e2f349-3a2d-42ef-9511-5abf76b7a785,
Bob Taylor,RO,cf39d071-545f-412f-b832-8146ca2a5202,
Phoenix,RO,708cad63-631f-4a77-92fe-c046bb02d0c3,
Vali Vijelie,RO,4381a7e7-165f-41a7-b01b-79dde01f1413,
Nicolae Guță,RO,299143b8-6eff-473b-94e4-74e41a6f2da1,
Nicu Alifantis,RO,38a9488b-4e30-4380-b236-5dc3add96196,
Ada Milea,RO,47655358-9402-4d9b-abdd-213c04568256,
Direcția 5,RO,289c41a1-b0f3-41a9-a584-1921661683f3,
IRIS,RO,749d093d-b2f7-4e59-81bc-a47218914d9a,
Akcent,RO,8a9dde70-e1a5-4905-a188-56daf95ea690,
Paraziții,RO,b468b27e-91d2-410f-b0f4-0d885de7b3a5,
Taraf de Haïdouks,RO,41f0dc28-8482-41b8-b28c-05ac31af0928,
Fly Project,RO,6886e4ad-a55b-4b1e-a9c4-98bad7a43473,
Fanfare Ciocărlia,RO,a98da524-e565-4d89-b729-17d5a5fe75e0,
Angela Gheorghiu,RO,875705c2-152d-4ead-bfb2-16982ab419c3,
Maria Tănase,RO,5932319d-53f0-49f7-8436-f0466a76b362,
Negură Bunget,RO,aeeeaab0-7262-4eef-aa80-198c98b2ba95,
Holograf,RO,956856b1-6e6b-4bb8-89a2-c4cb708e138a,
Gică Petrescu,RO,ce14f76a-2647-4847-b875-88ad55e8bce9,
Voltaj,RO,9f2da0ae-e499-4912-9baa-3ea6ef9e0f20,
Mircea Baniciu,RO,c3a6d4c7-60eb-4b94-9f42-909ebf54595f,
Vika Jigulina,RO,2cb3ebf3-09fb-45fe-8267-9a45d15796df,
Cosmin TRG,RO,4b030116-c96d-4947-be0f-9565b4cc02ec,
Silent Strike,RO,e1842f5d-9db2-4cc7-80f9-96d8fdce30c4,
Loredana,RO,8e6972eb-0221-4803-b823-066f0d0737ca,
La Familia,RO,a2a35cac-3fe6-4abb-a2d4-eb6465dbb0b7,
Trooper,RO,c1436968-fee3-454d-a356-e4ea4d25b016,
byron,RO,d921784e-7fdd-47f2-8ddf-b8254355230d,
Пётр Лещенко,RO,6255b6b6-2798-440e-969f-048ec20c04c8,
Paula Seling,RO,1e1f8c04-fe49-41da-8e1f-78d8e122ea11,
Dinu Lipatti,RO,dff7bf31-661a-4c7e-962b-4b75eea6fdeb,
Radu Lupu,RO,bec02ec4-34be-43db-9be1-006606174fd2,
Magica,RO,6531c8b1-76ea-4141-b270-eb1ac5b41375,
Compact,RO,8fb29587-460e-4e56-adf4-cc7317f4c9fc,
Corul Madrigal,RO,3ee1233f-9db4-4f13-8c64-efccb45a8a5f,
Marcel Pavel,RO,4ebe75e3-0baa-454c-b2b7-594e7aac141f,
Florin Salam,RO,1ddb579b-e2b7-479a-a3cb-0c79c572d9d8,
Simion Stanciu,RO,f4877fb0-13d9-44e2-bc76-596d241a5d26,
Dumitru Fărcaș,RO,d6736fbd-8729-44e7-8921-bfb2c1690300,
Clara Haskil,RO,1537563a-8c38-492c-aafd-54b4b6271327,
Dan Spătaru,RO,45151ada-1382-4130-8904-3d58673e2bad,
DJ Project,RO,0d40ebed-5045-47df-b26e-a84bb714e2f2,
Sandu Ciorbă,RO,d21669ad-164b-4b1b-81af-8b2b59dba064,
Puya,RO,3a1e82fc-32fd-434d-90f5-e64284973053,
Mircea Tiberian,RO,9e8ace7e-e136-445b-9e19-fd1949195091,
Romica Puceanu,RO,24f24325-00b8-4290-8de2-50559a2981f3,
Johnny Răducanu,RO,7c630a33-b556-4d2c-a1b2-955f74820ade,
Alone in the Hollow Garden,RO,1d05f604-506c-4d8c-b7b1-ddb555aeaebe,
Adrian Enescu,RO,8177b1fe-27da-462b-b789-cf95c09a230f,
Celelalte Cuvinte,RO,e5f902f1-4ee4-4594-9cbc-92ee0669b17b,
Orchestra Electrecord,RO,d14ab45a-b10b-4337-a4f8-1d520aa926c9,
Luna amară,RO,2f3297a0-8f6e-40ff-a46a-0bbdb62ecd24,
Mircea Vintilă,RO,6ea4e7ac-bca4-4e1f-897f-03a1c2144b76,
Vița de Vie,RO,04484ae8-4c1c-4c97-bdc2-44206d8c676b,
Ioana Radu,RO,32d93280-b860-4b2b-b3a6-268382ee112a,
El Nino,RO,b9597012-ad01-4295-b4a0-d4ace5abcbd4,
Ion Albeşteanu,RO,af657004-7764-46e1-921a-3738ff2c1a89,
Elena,RO,a0d3f28b-3f9c-4a75-a9a4-a47c317182ab,
Andra,RO,aa42b6f3-7a32-4f7e-9183-f7f6cb39f9fe,
Hi-Q,RO,e2394c43-a47f-4035-86b7-689bf1abc972,
Haiducii,RO,f345a1b1-80dc-433d-a2e5-5422782e3147,
Taxi,RO,40de1c05-2a3b-4fab-a7c6-82776c37edfa,
3 Sud Est,RO,8329bd12-2094-40e8-a5b3-ba3dacdfe289,
Cargo,RO,f3ea2315-12c4-45cf-b276-7eb1aa8f9a86,
Adrian Copilul Minune,RO,7c6afe3d-ecc6-48e4-b85c-b8853ba62aeb,
Metropol,RO,7cde7248-f6cc-4372-84c9-28dd2dddc569,
DYL,RO,ea237f37-9a67-4026-babc-c7366f7df0b4,
Semnal M,RO,c61f8331-33f2-45b8-87fe-8bffa2cbc64e,
Kumm,RO,9c1e63a7-daa8-4a05-85e6-bc8389d7d551,
Geo da Silva,RO,9e0c4267-b27b-49aa-8620-bffa146f362d,
Șuie Paparude,RO,6ff9f79b-e813-4ee2-8cd5-b46e8e1dad96,
Sișu,RO,2adbae29-0f05-447f-a952-2a9a4a5d6123,
Siculicidium,RO,54a7bccb-6fcd-49d4-9d3d-e014987ac704,
Oscar,RO,5891c405-ba96-4ad9-9c57-d906a76bb137,
Ólverius' Modus Vivendi,RO,3be09823-0812-4607-8ec4-e3580742b1d9,
Clouds,RO,ef0117f9-a023-405d-a3a4-d3701b17b8fb,
Bălănescu Quartet,RO,5065d088-66a5-48a5-98c2-dc8b70fe6361,
Krypton,RO,efb68860-36e7-4194-922e-b7970e327042,
Chemars,RO,e2acdf56-4938-44d3-a6af-546cd5ad2922,
Constantin Silvestri,RO,d68754e2-b1d1-4c27-9b66-eafe92e460bf,
DOC,RO,b05c2a2a-53b6-4042-b64d-266a56906ad1,
A.S.I.A.,RO,677a8ff7-69cc-4a38-a80f-220b45a1966d,
"Ștefan Bănică, Jr.",RO,1f0d9c7e-8567-4bf0-8e07-d1e50ebc78b3,
FIBRE,RO,bd2367cf-b07c-4227-8c43-9aec6b41bf70,
Țapinarii,RO,ad597e41-58ed-4846-b236-1d05e379bf26,
Sarmalele reci,RO,a0076bb6-c4cc-4669-bfba-3e18f75f8f1e,
Alex de la Orăștie,RO,dd72fc59-5a97-47b2-a2fb-48b8a53b2a4f,
Grigoraș Dinicu,RO,5f04ff82-51fc-4c21-8615-eefd4378de36,
Stepan Project,RO,5b7b1c4b-3b9c-46b0-ab23-bafa3a179f4d,
Morandi,RO,490db27e-d941-425a-abbd-2c2b3e03f5d1,
E‐an‐na,RO,8f5b6dfa-e2ce-4804-b083-f66cc1f00b26,
Codu’ penal,RO,bb946d0c-c928-46c2-a80a-ae4ef8a16362,
Shobby,RO,760976f6-c0ee-4f05-a3fd-c2d176f66532,
Theodor Grigoriu,RO,0728a3d3-20ef-4285-8d3d-08e34759dafe,
Pasărea Colibri,RO,40095deb-8d01-44c1-93d9-c08f89f2b444,
Valeria Peter Predescu,RO,05fdfe76-2b27-42b0-9c44-368f8a36c8fd,
Alexander Bălănescu,RO,0e0cfa9a-4adf-4b35-a76b-8cd55c3980aa,
Ionuț Silaghi de Oaș,RO,cc697814-eb8f-48b7-8ebe-ee538f37f581,
Vasile Șeicaru,RO,af012979-9d50-4007-9fdc-180c9c72f044,
Lucian Ban,RO,11e20d6c-b88b-4075-9af7-bf360a061d5d,
Adrian Berinde,RO,2f2c6ed1-f018-4fa2-a47d-1074caa97ef5,
Savoy,RO,7bfa4a1d-b30f-4378-a26b-10dca2a5f7a8,
Thy Veils,RO,df51a46d-7827-4d4a-8c12-6e3bf793ce65,
Khidja,RO,3057499a-67f8-4578-8301-ec733c6ac371,
Subcarpați,RO,b115f23e-c1f3-4cbe-95b5-615276ade5f9,
Mahala Rai Banda,RO,21cc597f-1ed6-4a00-b728-4ec0d3b811e3,
Timpuri Noi,RO,026ad510-eef8-477b-9d7a-62ae43f52c04,
Riff,RO,3d7e518e-ac3a-452a-a25b-73a5f9e696b9,
Delia,RO,e57d702b-5c1d-48fe-8c65-ab2be04e5c2c,
Ducu Bertzi,RO,c7029fb6-caa7-4812-b83a-a66ccc6c1027,
Dirty Shirt,RO,acc451d7-bd3c-4b09-8508-eb52133772c4,
Jonel Perlea,RO,73e3558f-3d2a-43f2-9915-3a33926c280c,
Cedry2k,RO,4db03cb1-20c5-4c02-9783-1018c408be1e,
Ioan Gyuri Pascu,RO,6b342a50-7588-4d07-bd86-2c8c9f400586,
Antract,RO,15f066f0-a2a1-4955-85d4-c1ddffa8858d,
Luca_under_limit,RO,d6ffeca3-3795-48ef-8461-8a5a625c1fc7,
Nicolas Simion,RO,1bf27c06-110d-4a2d-8eae-4ca22d8f3464,
Alternativ Quartet,RO,a5539a66-f0ab-425a-bed0-2bea9c188bfc,
Simplu,RO,6ea0fccb-d493-4ff1-9016-35ec4a33982b,
Bitză,RO,0075ed25-a797-4ba4-a3fe-e19ca86fab62,
Cristian Vasile,RO,79c6ccfc-b61a-4b13-b13a-fa05c05d910b,
Corina Chiriac,RO,aca78ed4-9609-4c79-bb57-756aad636fb8,
Nicolae Furdui-Iancu,RO,bcaae07a-d5da-4f80-abc8-aecbe3a0f119,
Fără Zahăr,RO,04eec1fd-8b2f-4461-a248-2ceb2b7b3b98,
Grigore Leșe,RO,92ada5f1-9b66-4402-9f2d-b81751710b31,
Vunk,RO,bfeab051-0661-4784-a02e-d6ecc36b3e18,
E. O. Chirovici,RO,9af85d75-eb43-4f43-b695-84b6d22ce0a9,
Călin Pop,RO,5a1df268-048f-449f-b424-ba01701b6b60,
Vama Veche,RO,7083851d-e086-4489-8009-3b11a7b6b39c,
Class,RO,eccec889-1966-4406-ad42-855218a27bfd,
Daniel Dorobantu,RO,97f48d0f-4203-4c37-824e-98fc0037a7c5,
Cătălin Tîrcolea,RO,c2627ce8-1a82-469a-a745-03fecd14f8d5,
Proconsul,RO,f38309dd-3a85-4ed9-b64c-88c09456da91,
Damian Drăghici,RO,6005fb1b-4f18-4941-8c8d-a33a30f9a2d5,
Anca Parghel,RO,a713dc95-5d6e-4dff-b6cd-130a87bcd7b7,
Ion Dolănescu,RO,c3c6d33a-c8a9-487c-8848-382a82b7dff8,
Iancu Dumitrescu,RO,42d86d89-5a40-41f2-a2f0-57f92b3a06fc,
Emil Klein,RO,70ff47b1-3ec3-41f7-bd45-a48d19fb3a31,
Dida Drăgan,RO,c7660f63-f39d-4c23-86c0-d9f1493f74f0,
Dordeduh,RO,85aa38a8-139b-47a8-93ff-cb70f82bfac3,
Bagossy Brothers Company,RO,dcccafa9-e691-4425-bdfa-278e2f8bd4f4,
Radio Killer,RO,3955d078-f44f-4797-8bcb-54d000674443,
Stana Izbașa,RO,475b7510-dbae-4a2e-96cb-dbb54eecd2f2,
Rodion G.A.,RO,e3395560-d565-49ba-953b-a1a137707ab0,
Sergiu Comissiona,RO,7b235527-fdbb-4520-806d-22b4cfd104b4,
Valeriu Sterian,RO,df059eef-fa7d-47ae-803e-713c9ba09ea4,
Bere Gratis,RO,22acca02-ddc0-49d3-b323-4ee2da28253c,
Morometzii,RO,361c15ac-94b0-4ded-8ee5-66cd0dacb76d,
ROA (Rise Of Artificial),RO,6568f487-1e68-431e-a12c-3be21dc64bf8,
Sistem,RO,950ec253-4e6b-4c5b-9086-8cc9ab14c6fa,
János Kőrössy,RO,a58231ea-39e7-4c0c-b374-38996f342519,
Sfinx,RO,0c0aee1c-2b89-47a8-a1bc-4e45d480692b,
Ronnie Romero,RO,d2d4a192-cb47-4033-8847-83ab7935e18c,
Barak Maor,RO,d6676da7-8ce8-455d-9ba7-5bebf08d64f7,
Claudia Cream,RO,cc8cb59b-ef90-41f4-a915-098ad3399c7c,
Impact,RO,190415de-6147-4b6b-af5f-63e62b221510,
