name,country,mbid,youtube_channel
Riblja Čorba,RS,23fd98d0-3e81-4184-a7da-79536cdba55b,
Bata Illic,RS,619c55ae-7266-4622-ac02-58a4354b4c4a,
Električni orgazam,RS,ad223b1c-c09c-478e-bbc2-d9f77ee502db,
Đorđe Balašević,RS,7e411606-59b6-4214-a12f-2798d2e4c683,
dreDDup,RS,1dadddb7-f1a9-49b2-a647-f0f7d7927ce1,
Boban Marković Orkestar,RS,17b3b9ac-50d2-45a8-9319-1a7ffba14a14,
Aca Lukas,RS,3882603c-b135-4b80-b896-ec8548ddf3f9,
Ana Popović,RS,c736d2e3-b1d2-4ae7-8f83-63af4e1c1de1,
Zdravko Čolić,RS,15aa7034-fe61-4e07-8a4f-213d1d34f477,
Bajaga i Instruktori,RS,cd6f12ec-22da-43e1-93c3-894107576d48,
Smak,RS,41d8a241-d1f2-4f9e-acd5-7c23e3a3bbc9,
Ceca,RS,95e97643-3195-4d8f-b3e8-baeaeabcb79a,
Ekatarina Velika,RS,ed39bf01-1f7e-4fd1-afbe-a58bd47b44e6,
Željko Joksimović,RS,380b799f-4aca-44e9-aade-5b0714cadb6c,
Dead Body Collection,RS,d86d8546-589e-4e69-bd89-0bd609835f53,
Zyce,RS,130351cc-17a2-4cc9-8264-3a7e78d60e94,
Merima Njegomir,RS,9c04f145-6096-4429-8530-584f1758bcf5,
Jana,RS,a10783cc-c418-402a-b3d8-cd511c313728,
Ascent,RS,fa46a9c7-ae73-4b6c-8721-1767829c7d8c,
Ana Bekuta,RS,36542e8f-0abf-45ce-96d2-f18c75e646ae,
Amadeus Band,RS,c58bf037-21f3-40c7-86be-d4bc21d35f05,
YU Grupa,RS,f09ef8fe-a6e5-4354-b5f2-7d9ff3361109,
Šaban Bajramović,RS,3b15c384-7b26-4876-be4a-72b37f23cd82,
Van Gogh,RS,0b76f2b6-5a05-425d-970a-54417a76c204,
Emir Kusturica & The No Smoking Orchestra,RS,76dc461d-2503-4b24-a187-930cfd139243,
Ritam nereda,RS,38f9065e-38e5-410c-a7e7-734dad015f6e,
Nataša Bekvalac,RS,ef2c6587-db95-4b6b-bea0-e0521c82ff13,
Figurative Theatre,RS,cda56d54-a65e-4ec2-bcd9-786199d80b43,
The Stone,RS,ddffd7e5-bea4-4071-ba4c-d02343010676,
Lyktum,RS,9700ab97-c8e7-4a6d-b24d-88cb59e13311,
Toma Zdravković,RS,7be44ab6-8265-42a9-81b4-f7cf7e9fa1e6,
Aleksandra Radović,RS,c6bb959d-c33d-4a42-9635-f1475b4db714,
Disciplin A Kitschme,RS,0f3a5ed6-03d1-4647-9783-db44cb6817fe,
Obojeni program,RS,2ef517f0-0e90-41af-b95c-2cda9e28e1a5,
Ana Nikolić,RS,96f33501-908d-4a15-9d2e-a288d7c93077,
Miroslav Tadić,RS,6ded7603-9c8f-425c-8e01-340f233ee8cc,
Argus,RS,2baae0e9-3bf4-428d-b976-017db82aaff9,
Sonic Entity,RS,2a6ee314-287f-42f1-bf79-b7ea30d33863,
Vintage & Morelli,RS,1acbbab5-5059-4d13-b4f8-e20e4887c1c0,
Man Machine,RS,3cccf6b4-1343-4ebd-aae8-87f096ba2e44,
Boki Milošević,RS,6251e1f2-1d77-47ac-9616-6ee9ddd81e36,
Talpa,RS,5a67151d-3c1f-43bb-8f17-24ecfd1dd357,
Darkwood Dub,RS,e246d7c2-f42a-4e17-9488-b7b065d641bc,
Eva Braun,RS,bd2d100b-aecd-4639-8c9a-5581a63ec64f,
Mile Kitić,RS,f109f251-0c8c-48b6-b4bc-0af21f46d692,
Tanja Savić,RS,a42a1788-27bf-4e7e-959d-91053126928e,
Goblini,RS,e3dd3a42-bde8-4235-8c15-fd692cab15fd,
Kerber,RS,dddbb5a2-b6f7-435b-a039-9ccf97933418,
Númenor,RS,5e25eb99-bdc4-42e3-9f1d-42db5f187817,
Aco Pejović,RS,0f6346dc-7b04-4fcd-874a-5152da89420f,
Oliver Mandić,RS,b1db810e-e47a-4444-8623-fd3323b258df,
Love Hunters,RS,cc38ded3-c607-4869-a7e1-d0eb7f6091d1,
Eyesburn,RS,f8e2eff8-59e6-48e8-b868-0949eb73e569,
Claymorean,RS,fc9a31e8-e93f-4e34-bb36-868472760f72,
Luna,RS,5ddeeffe-6de4-4fe1-89ab-9de86f5a508e,
Aleksandra Slađana Milošević,RS,f73c898a-b843-4cbc-a9b4-31fe73bc9095,
Atheist Rap,RS,c5e5ca78-cdf4-4c12-9458-7e4b8d63d59d,
Miroslav Ilić,RS,c6f4909d-3024-44f9-a875-8299b2d0d150,
Fourth Dimension,RS,09ee97a8-9e59-4c56-ac34-026f6d2d3bd9,
Dosis Letalis,RS,67024b4b-9bc0-41d7-a78c-bec570f32aa2,
Flegma,RS,8e6e175f-9c66-46d8-9097-20e1d474e4b1,
Bojan Z,RS,33e534de-d097-4349-a8e3-1f2c795e7b55,
Gordana Stojićević,RS,5d102e4c-7ddc-4dcd-9955-89649a102e3f,
Boban Zdravković,RS,c8c9b586-8381-4e77-bea5-e795b1a92bcc,
Zorana,RS,6174e522-3956-4872-a191-2f6a32888867,
Bilja Krstić & Bistrik Orchestra,RS,e44942b2-d387-4094-93dd-99ea9849416f,
Liquid Sound,RS,8a950d8d-ee22-4868-bacf-3826cc7eb121,
Kanda Kodža i Nebojša,RS,66e12198-55c0-4fc5-980b-d4f1fbccdbb5,
KBO!,RS,29e94c07-ad24-4a27-9889-6fb08f2c0683,
Juice,RS,abe4bb39-c4b0-44ba-b91d-f8c95dbe5494,
Marčelo,RS,d30a17ad-379a-4f33-a2ad-07e9018789f2,
Gramophonedzie,RS,3f0ca327-69b4-4018-acda-ad1e22d43bb7,
Indira Radić,RS,f9e1126e-c869-465e-845f-707c348f149c,
Zbogom Brus Li,RS,b0ea13d8-ab9f-4399-af5c-08c206b3a463,
Milica Pavlović,RS,c7375022-5085-4c71-8310-e1b5dec248b2,
Piloti,RS,42f95169-874b-42ff-ae2c-2225b4ef86f5,
Jelena Tomašević,RS,9c3e320e-0f8e-48e6-ae53-4fa12375362e,
Neverne bebe,RS,5015302c-f17f-4e3a-8fe0-836fb6cd4270,
The Beat Shakers,RS,f45b7222-5af6-4819-856d-10566f92b3f2,
Bajaga,RS,92d8973c-eb9b-459d-8ab1-30f47bfad9e0,
tvnalad,RS,1982c4a3-a04d-4145-8069-4767a62a82be,
Monasterium Imperi,RS,1f3e8870-6e5a-47f2-83fd-fee16b47173d,
Dža ili Bu,RS,28dd840c-8929-42c3-8de8-e2a2f283b6c6,
Hornsman Coyote,RS,e5725ea2-c8f9-4278-8f61-95ecc9f72574,
Middle Mode,RS,f77ae570-2981-484b-9e80-519af263b620,
Mrt,RS,2048e80d-56dc-4644-bd5d-d2e25a991b2c,
Sixth June,RS,aa86a6be-2ab5-4c7c-a430-1e9c9df49332,
Ajs Nigrutin,RS,a89f5ac2-a515-41dd-9fbb-204237e900ea,
Olivera Katarina,RS,1f0411e5-66c4-40c7-aae5-b48f5e659632,
ShazaLaKazoo,RS,6228d780-663a-4626-a645-57a5c9aab2f6,
"Ansambl ""Narakord""",RS,f7a7acbf-3bba-418a-aacf-6f1d5f57f9b2,
Cvija,RS,dcec9528-f3d0-4fad-8a5d-305b69ab04f8,
Goribor,RS,026c4200-f5da-468b-9dd6-25b186c67179,
Jarboli,RS,428f8c7c-c03e-42d9-975a-82fd948ea12f,
