name,country,mbid,youtube_channel
Пётр Ильич Чайковский,RU,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,
Игорь Фёдорович Стравинский,RU,c278de2c-9696-4fdf-a919-0781cd945e2c,
Сергей Васильевич Рахманинов,RU,44b16e44-da77-4580-b851-0d765904573e,
Сергей Сергеевич Прокофьев,RU,0e43fe9d-c472-4b62-be9e-55f971a023e1,
sonnov,RU,5fde3528-8641-4578-a031-37748a7c20ca,
Дмитрий Дмитриевич Шостакович,RU,519dd32e-8f30-4380-8826-7aa99169e1bb,
Модест Петрович Мусоргский,RU,c1380b12-3909-47d8-a5fd-d20e76123310,
Александр Николаевич Скрябин,RU,a4eba7b5-aceb-4acf-b297-3c0a3cd42757,
Николай Андреевич Римский‐Корсаков,RU,4cfe7051-f649-4d07-83b3-7a732abe7249,
Лев Толстой,RU,8a2f71c8-ccbe-42de-a2fa-2490fc015374,
Igor Dvorkin,RU,89084697-50d3-450e-8805-9163532dcaf1,
Святослав Рихтер,RU,2014bfbb-c65d-45dc-9973-35bead3833fa,
Senmuth,RU,ea53eb97-27aa-43cc-a140-5587db769e50,
Аквариум,RU,8d741103-d319-4cc8-9f4f-9926b5bf112a,
Академический ансамбль песни и пляски Российской Армии имени А. В. Александрова,RU,4f6654b3-0ae3-44bc-9bed-e9477446beab,
Blank Embrace,RU,9afea39c-0b45-40a0-87dc-bafb180b6fd3,
Гражданская оборона,RU,16d837ab-208f-4588-89bb-c036b5c5a0a6,
Фёдор Достоевский,RU,08dd4a10-f7c8-4da8-a724-8d261ebbd9e4,
Алиса,RU,a1f0bd3b-6977-4ab2-8d5c-2464bada895d,
Александр Порфирьевич Бородин,RU,560b5e65-8d53-41b4-9913-83368f4721a0,
Александр Константинович Глазунов,RU,5a0988a4-695c-4bff-bc68-4f312427495e,
Машина времени,RU,1b67ca7b-3da9-4607-a5aa-93ed56034924,
Алла Пугачёва,RU,2f745f25-7681-4c44-b713-34d37a307575,
Сергей Лукьяненко,RU,b618dff4-dafd-4fea-be54-680046f1c281,
Би-2,RU,5ca35ace-4006-4d4a-af04-5cd91dafab14,
Ария,RU,1f36a3a2-9687-4819-ac55-54d7ff0b8b88,
Эдуард Артемьев,RU,0d512eb7-93b7-4cda-8e97-dcd9a80ebfad,
t.A.T.u.,RU,7c20f558-d664-42bd-b6f1-81acf9dbb72d,
Мумий Тролль,RU,f91b9b28-25b7-4064-81d1-f43163085770,
Филипп Киркоров,RU,3e6ed59b-2a9d-4957-92f5-e2fd453f8e1b,
Крематорий,RU,9b135e33-2fbc-4155-b351-cc2a39997975,
Ленинград,RU,2bf704b3-4c05-441f-ad54-52722c1bdba9,
ДДТ,RU,f7456b5b-e5a5-454e-b5db-047308210c8e,
Виктор Цой,RU,7da030e4-3b08-4e29-b497-344d809589fd,
Вилли Токарев,RU,8e92f56d-08e0-4e4e-8cc4-8835cd569e7f,
Александр Розенбаум,RU,f519baa1-deda-4c56-bbce-5c05966c0355,
Noize MC,RU,a0c5737e-da6d-468f-a78e-19146494f1db,
Король и Шут,RU,0944e98f-0b9f-4574-babc-7badf4cd0f74,
from tokyo to honolulu,RU,10ad0340-9288-4705-a5a7-97d5e8931f05,
Пикник,RU,eabd8df4-03cd-4644-8ad1-f50fb952c567,
Валерий Гергиев,RU,87b4252d-314b-4252-9cd3-44c08f3087b6,
Государственный академический симфонический оркестр России,RU,67e5938c-3953-4dfe-9d63-860bef0d8475,
Nautilus Pompilius,RU,247efe0f-80f1-477c-a4a0-b5cb1b8c832e,
Слот,RU,036b6660-ff83-4d6b-ac43-78ab79ab2833,
Чайф,RU,46c83515-6df3-4afa-b597-cffd21aab719,
Тараканы!,RU,6e2f63bf-c1eb-473f-a2aa-cd2daf08f5ec,
Григорий Лепс,RU,cb42445b-f8d8-4eb1-9806-d70c45725fc8,
Ночные Снайперы,RU,01e10b31-ae0f-49a6-b4f4-5c3dcff9788a,
Николай Карлович Метнер,RU,8c806f4e-850e-4bdc-bc80-82d86dd3227d,
Евгений Фёдорович Светланов,RU,cd673bce-4d0b-4272-b331-39772bb4995f,
Калинов мост,RU,98c74230-3a02-4f96-8b09-805958663527,
Сплин,RU,0783b768-6719-450b-a7e1-7e891da17af3,
Messer Chups,RU,050c59c3-12d7-4d7e-b890-9ebcf0caa85d,
Михаил Булгаков,RU,91cdafca-3005-409c-bcc5-ef977000cbbc,
Борис Гребенщиков,RU,2fccd72c-a3ba-4ca6-a89b-4024358c4f78,
Симфонический оркестр Мариинского театра,RU,6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,
Иеродиакон Герман (Рябцев),RU,14170e98-7d0c-4f14-b35e-4bcbc47a508d,
Михаил Щербаков,RU,946c6379-66eb-43f1-9e13-d79d9a04935b,
Руки вверх!,RU,01726f9b-6e54-48e5-af05-871678ce7d1c,
ARTY,RU,52491cf4-55df-4d0f-b4d4-c3652f7e122d,
Замай,RU,0f976a31-68cc-4e3b-9682-3dcd6f9b85b9,
Михаил Иванович Глинка,RU,e539699a-5cb3-4f73-b60f-691b1499d0af,
Любэ,RU,3d224f8b-692d-4e7e-9cd1-8e2aa90aa2ad,
Витас,RU,f01f7cbd-7ac7-4f9f-81c9-71c231f1cc61,
Валерия,RU,b4313680-2f57-4ec6-87a7-24873133ba4c,
Валерий Леонтьев,RU,0d1e04f4-ddb6-4b66-8b0b-7f3b66f34d6e,
Кристина Орбакайте,RU,e71738bd-39d4-4699-b6c2-688f95b31732,
Andrey Sitkov,RU,90b91fcc-7ac2-4447-81fe-a2674fb5b92a,
Сектор Газа,RU,2abdd525-55ca-4263-b3b0-d5cdd8edbd02,
Земфира,RU,cec59910-2d12-46ec-8e39-85ca06acb0ed,
Мстислав Ростропович,RU,e2b294b7-f705-4317-a96b-fd94da3719e5,
Eguana,RU,1400f9b3-96a9-4017-9590-961180ee3934,
Шмели,RU,2c0ebaf9-74ee-4805-9ed4-07bd2cafb6df,
Геннадий Николаевич Рождественский,RU,90595f34-e23e-4d0c-97cd-7d69b66e0727,
Дельфин,RU,927dcbc3-9c46-4833-8173-b76e785a4b75,
Сурганова и оркестр,RU,844b4265-47dc-4867-ad9b-3f83f889681c,
Булат Окуджава,RU,b63b2ac8-4df4-4038-97a0-c79969b5e29b,
АукцЫон,RU,b3c32ceb-1628-43d2-9fb4-447eb9f7296a,
