name,country,mbid,youtube_channel
The Good Ones,RW,16b074b3-5efa-4f93-9b03-d3b53e525910,
Cloud Tissa,RW,e3c65c06-ce77-4100-a75d-531e855e4739,
Dorothee Munyaneza,RW,9d1a9e08-0e34-4535-b87d-b5f05ee02f4c,
Ambassadors of Christ Choir,RW,6cecfa30-4593-40c5-8890-4571af0fa7a7,
Meddy,RW,7b402414-a4aa-46de-be8f-3f72d666c8c4,
Israel Mbonyi,RW,defcf573-138f-4af3-8747-a4e570fb3530,
Dukurire Muri Yesu Choir,RW,93f76bdf-b42e-49a7-8afd-5e67a95850cd,
Christopher Muneza,RW,568c3178-5fb2-4b07-bcfa-0d808e220800,
Cécile Kayirebwa,RW,9f6b69f9-6d6c-4508-8099-5cf39b442168,
Dany Beats,RW,2fe14d3b-442a-42c1-a7e3-2d2ef1f2e7d8,
Juno Kizigenza,RW,3a324e14-919a-4040-bc7c-315f20ca0d46,
Sauti Band,RW,6ada6b2b-5e7e-48e8-9a22-12ccbb84c412,
Placide Irad,RW,a7017fd7-b7f2-4117-a299-a266212a8af8,
Médard Ntamaganya,RW,8f0209cf-f842-4c6c-bdec-1b9e2781d7e3,
Astrida,RW,655802cb-d4f1-48fe-ba18-7e24f95984cb,
ELEMENT ELeéeH,RW,5797bbda-83df-42ee-b725-28cf32a761b4,
Bruce Melodie,RW,fc59551c-7998-4790-a7eb-1deacd2b2567,
Clapton Kibonge,RW,db1c0b59-2a8b-428f-b3f4-ab600417bf3b,
TK Davis,RW,ce23dee2-a1ed-459d-96da-de97edf0c3a8,
Chriss Eazy,RW,5c348519-d218-4410-ba10-af435978abea,
DJ Miller 250,RW,f0c464f3-1d93-4185-8028-df0ab6283452,
2saint,RW,cc1c169a-cade-4d5f-a8cd-25f139ac79c4,
Jah Doves,RW,53079f8c-a269-4758-b75b-9a485fa018af,
Muyunzwe,RW,af5eb74d-d0d7-4fbb-82be-4d35e06de4ef,
Tutsi,RW,29e5c066-f393-4881-bfb2-d02d5b4f20fb,
Rurambo,RW,d29f4513-b54f-4ecd-b1c2-0c82283168dc,
Cyinkanga,RW,37257b9b-70b1-488c-8acc-1eb2def803be,
Dizo Last,RW,f367a319-5333-411b-a76d-249ef9223384,
Tom Close,RW,fa3d0ed3-6f63-43ec-81af-33e17f487fbf,
Joseph Sebatunzi,RW,291b2fca-a25e-4974-90a0-877f2f0c7920,
James & Daniella,RW,e26a6fdc-b7e3-4db9-914c-5ca67c130488,
Gapson,RW,5fbeb5b4-0128-4d6b-a46f-aa3015d34f2e,
Young Mill,RW,f9dbcbb6-c772-4770-bed4-ed4906f6c109,
Flyest Music,RW,5a223404-f4e9-431d-b396-ebbd5ac6df51,
Ruhenzi,RW,b1e4e6b8-ab16-4abc-b220-c02b76b7c266,
Nyanza,RW,7c03030e-6936-4e40-8155-e9268acc211c,
Keya-Nyundo,RW,47df5fb8-c794-4ad1-829a-82f467b3ef42,
Musha,RW,376f366b-bab7-45b3-ae64-e41d68248df2,
Peace Jolis,RW,3186fc23-4d93-4205-b256-1b61578e5d40,
DJ Pius,RW,ebd3bc06-e4f3-46bd-ba3d-22dbcb452cba,
Safi Madiba,RW,dc9f57e1-1561-4907-8f47-dcec959559da,
OG,RW,1c86f5c8-75c7-4f94-be93-a2df5bf9ad73,
Saxon,RW,88646e5d-bde6-468b-acb9-ad18836ce4be,
Riderman,RW,579c2bfc-4b0e-44d8-9198-d95d883c9e26,
Rita Ange Kagaju,RW,0b1fe39a-5f15-4416-95a3-6766f3087889,
Passy Kizito,RW,52deff58-0511-46f6-b949-c6c7990ee110,
Bernard Rujindiri,RW,8d183178-d1df-45f6-b44f-a6483ef066fe,
Dj Marnaud,RW,61d0b211-f66f-42ac-9c7b-5cbaf318ee6f,
Ariel Wayz,RW,dc209713-c19c-4c03-8432-f13d348797b9,
Dj Toxxyk,RW,bfdfa233-ed0e-4a56-9854-5df0d4617004,
Kivumbi K1ng,RW,85c619ec-366d-4772-a64f-73edb87d18f5,
Jasmine,RW,028b29c1-68ae-4440-91fd-4d1ba0322a33,
Uncle Austin,RW,e6900c89-99e4-4e80-8c4f-f42e497e3edb,
Amalon,RW,92bca224-7c67-4f9a-aa7e-8cae744da467,
G Bruce,RW,c615184f-5b7b-44d5-8b89-05a301650559,
Patrick Nyamatali,RW,ec2e7a5b-acd6-4b00-a0db-180e0ed1d8e8,
Sentoré,RW,ef92cfd8-ba8e-469b-ba67-b856b33adaa5,
Rusendezagekwe,RW,c7604c72-25e6-4a64-8ad0-492b7f7ec7b7,
Murunganwa,RW,b3c5002b-fbcb-4d06-ab9a-d5d67da53025,
Rwandoka,RW,467c9fcf-dc2e-440d-afae-19a2340c5266,
Naho,RW,f203a396-ac5e-469e-9fbd-a8a6e213213e,
Ruhumiliza,RW,2f3830e4-05e4-4b16-9c12-57dd00cdb75a,
Cyubahiro Gadi,RW,d0e84899-0bef-432c-951a-fed2abc8685b,
Dj pyfo,RW,0b632b02-293b-4da7-ad31-ef6a7eb8509a,
TyZik The Rapper,RW,1dad638e-9896-4767-85ce-ca2af452cb52,
James Rugarama,RW,26f97a16-c395-4200-8e53-66adbdcf358a,
Albert Nabonibo,RW,a3ef74e6-0d24-41e8-b7ad-8eba51d7990a,
Inono Star,RW,8f05df13-a108-4e65-a1c9-ffe3add9dc1c,
Nyirakaratwa Felicite,RW,33534928-cc1e-49f5-a4b0-6fa2438e3239,
Jean-Baptiste Nkulikiyinka,RW,b9c6f408-d681-4f88-8d1f-0e0d2b1d57cb,
Urban Boyz,RW,fbb6e695-fc44-49da-a785-7d797211b529,
Trezzor,RW,01905779-ae35-4648-ac89-0bc64969733a,
Daniella Rugarama,RW,a608697d-f444-481c-ba2e-1e22b392c9ee,
Hope Nigihozo,RW,4f9b9a7a-ecc0-420b-8b27-3fee82680f83,
Kate Bashabe,RW,e58c5679-edf8-4e3e-9f08-62e5fb038c41,
Jean-Bosco Hashakaimana,RW,d01b4f03-3a08-4320-9f4f-0b457ca5b0f4,
Faustin Murigo,RW,6e05bedb-bfb6-41ae-a49e-4ed080e0a28b,
Kizito Mihigo,RW,b9af982a-75b3-4db4-a5ae-40cf06509e73,
Alexis Kagame,RW,09f6f395-c186-4714-8479-e4b421c599ac,
Shani Karuranga,RW,b3dbc002-d06a-4d74-bd13-7909e7d37bb9,
Dj Phil Peter,RW,70239b66-07db-4d82-989b-e9870ad8c08b,
Kevin Kade,RW,dc6aa0ed-842a-4e17-b226-1f988ad40910,
Simon Bikindi,RW,1d97aca0-d68c-4d35-abf7-87178061c468,
Rwanda Defence Forces Army Band,RW,f4479805-5fd2-43d0-b85f-ca81f4a42124,
charlekwizera,RW,1f838c0e-416d-496e-8cc6-e777af853351,
