name,country,mbid,youtube_channel
عبدالمجيد عبدالله,SA,df48c616-9f71-4e0d-85af-daf848beda2d,
RAWCATS,SA,87a83e20-5025-4a21-838d-4267173f7af5,
Sound of Ruby,SA,9f36db33-f411-49c3-9e36-c95416b20d71,
Al-Namrood,SA,e030b393-ca81-4230-9fd8-fb7d9850afe9,
Muhammad Al Muqit,SA,280de915-10e5-4fb1-8d60-64e768d662d7,
راشد الماجد,SA,4aaaa92b-e094-4317-b42a-eea1dd34f602,
Saad Al Ghamdi,SA,6b5e81bf-46a4-4544-9911-12d0fdc5a605,
Mohamed Mood,SA,1618bd2e-459a-4556-9a8d-b394e692e139,
Sheikh Maher Al-Mu'aiqly,SA,30f10161-c407-4658-8eb0-62541584d160,
Abdel Rahman Al Sudaes,SA,11878b2b-31ff-44fa-8f47-6766ac6c3685,
Ahmed Ben Aly Al Ajamy,SA,fbb5275f-e93e-498a-be73-8364e236ca31,
عبادي الجوهر,SA,a6822b25-0f9c-4525-936f-dbcf18c0e315,
محمد عبده,SA,f0867abd-c959-495b-9774-f1966076027b,
Creative Waste,SA,abdbad99-4ff6-44da-ac5f-80d3482bd2f2,
Abbas Ibrahim,SA,f365237c-c479-4e24-b7dd-b14088e89263,
عايض,SA,5628d4f0-7283-4651-9979-24e511e32b16,
Dragon Fire,SA,4b3639e9-0f7b-44b5-985e-2d4efbcec280,
طلال مداح,SA,ccc6a969-b0d9-48d0-8bfd-6360bbcef02d,
Mishaal,SA,9e9c3750-1f90-4abb-a363-2907e728f2ae,
عباس إبراهيم,SA,622b6e34-905b-4cc4-8006-bfd4c261a84c,
عبد الرب إدريس,SA,35101cbd-09dd-4abb-b283-49f1bc5afd26,
Shiboba,SA,5928db90-d1e8-45d4-a420-5cbc31d7a622,
Vinyl Disciples,SA,785b06b7-27b2-47ec-b94e-b1e1693107b9,
Breeze of the Dying,SA,d0bf7289-28ba-485b-9e0b-7abf93858e1d,
تركي,SA,56710efd-bb71-4e43-9d73-1a9540bc9de5,
جواد العلي,SA,42b03a84-b9b4-42b5-86b0-10ab51a51ef5,
Seera,SA,da0f3010-be26-4d35-abe1-d19711f78655,
Wasted Land,SA,df47784c-8145-42fc-bb1b-fad14bdd5372,
هاشم باروم,SA,ae6e0b2b-9f27-446b-a173-8a2c2142051e,
Kylie Green,SA,9541ee5f-4da1-4dde-bd3b-6016724fc63e,
Grieving Age,SA,a6e920a7-3ad3-48de-8e53-05c29b66192b,
Entropia,SA,09975bba-9a32-4580-a000-c3173c82c99d,
Saleh Faraj Al-Faraj,SA,4279c98f-692e-4f91-8d26-9d2a3ad8006c,
Hajaj,SA,529e913e-d3a4-4047-ac93-01e857868565,
Solianic Paradisiacal Mundanity,SA,dcee74b9-0f01-4bba-8a8e-e8e710acfdda,
EMAD,SA,8711ff0d-2470-4b2b-ab98-afa8432ee707,
VICTORMAXX,SA,2c6a9f88-2b91-4952-bc7b-b70d4eb1c8de,
فادي حدوب,SA,bb849900-ba5d-4c64-9d3b-7d407ffed8dc,
Alyoung,SA,233361b7-5825-4717-8b9e-52fea6ecb6dd,
TAMTAM,SA,84e0cc9b-790b-4f86-92d5-20e071e9d54e,
Kids of SA,SA,0293535f-7282-4701-874d-3c6b18e09858,
HGM Moe Ji One,SA,df573834-660c-463d-81c0-7cebe9b500a9,
Majed Al-Esa,SA,17dc50bd-7e05-4d50-90d4-53411a5d2ac1,
عمر العيسى,SA,f064e14c-4866-44f5-a3ea-d61b72af5fd4,
بدر مغربي,SA,39e1f3e3-be12-46a3-bcab-8422f766b20a,
Warchieff,SA,9a34b863-2ee9-41e1-9d95-57fcf22a3765,
محمد سعود,SA,be310043-729d-4221-9545-62e4846e280c,
DZEEZ,SA,4bfff47d-5714-469f-8e2e-866776eca4e7,
فهد بن فصلا,SA,b9654c19-d561-4999-9b8d-05306bfd2d6e,
أحمد علوي,SA,1dcfe514-e966-45bb-9b79-6fa8de64073b,
Mohammed Al Abdullah,SA,1bc12862-a26d-416a-aa6b-36a0b3736545,
