name,country,mbid,youtube_channel
Onetox,SB,2dac8fae-44d2-4510-86c6-8d5c753a9021,
Narasirato,SB,45eb2526-6f20-4327-a3ba-c2cd01e2688b,
The Melanesian Brotherhood,SB,f99ead50-a359-4989-9f16-85722032f7d2,
Small Jam,SB,eda6e865-1f0f-4101-b42c-2b1b3d96ec85,
The Choir of All Saints,SB,e28ee313-08c8-4cd9-a527-8d7e07fef511,
Samson Saeni,SB,b7c8023e-f32e-48fe-8401-55ecaa058ca6,
Ensemble 'au Paina,SB,a173cca7-cbf3-41aa-9dbe-9569c62a0372,
Kaumaakonga,SB,9b81bc72-04c3-43f5-86a3-70ca8b6e6c06,
Rosie Delmah,SB,60f1c9dc-f39d-4a65-bf77-c439bc43ef80,
Islands,SB,f11f9258-fdef-42c5-af3f-955df5323db8,
DMP,SB,ce0d5f25-2ba0-4674-974b-18f9d641ef26,
Sisiva,SB,1f4356a8-6fa7-48e7-9270-38e5c8ad5e69,
Sean Rii,SB,cd2c71cd-c1f4-42c9-8d2d-30c6ab9eb829,
Ronny Williams,SB,d0275545-949a-45e7-a15c-c78efbface66,
Peter Ofa,SB,68b8b62b-0b22-4e31-82ef-71bcb2c14718,
Rineta,SB,ef36913c-f431-4559-b367-72d490a07b36,
Wenona,SB,79aa8dad-6239-4ca8-a712-ec665ff2cb1e,
Funky & Rushee,SB,a0beea5f-f64e-4453-a1eb-375de833f31e,
Edwin Nanau Sitori,SB,a0a79af2-ff6d-4cae-ab89-cbd1ca3ba3f4,
Natty Dolaiasi,SB,31debe9b-e2c2-4e6d-8b0e-f14d0ac235e9,
