name,country,mbid,youtube_channel
Waves,SC,efab379e-f592-4853-8ff5-dea7a53b4a3e,
Dezil',SC,1b8d2443-7d85-4131-8b52-6a016516972c,
Patrick Victor,SC,931a9fd1-1461-4e65-a5a4-a485e5c7c8fe,
Bwa Gayac,SC,dd9f293e-2c41-4176-958f-46fc4270f991,
Thomas Knowles,SC,6523e63b-29c4-4013-bf8a-1cb5e6fb4adc,
Roddy Labontè,SC,ee519531-5a3c-48d0-b4bd-8a968d8eda92,
Jean-Marc Volcy,SC,6c423802-d410-4165-a176-cba405bec43a,
May-Cécile Lajoie,SC,853aec55-1d55-4857-abbf-3beeb5bd2f66,
Angie Arnephy,SC,e9fe014a-26e8-4f28-96a4-d5857931fd17,
Sandra Esparon,SC,316c770c-6c46-420f-8f8b-100d2e2c7685,
