name,country,mbid,youtube_channel
فيفيان السودانية,SD,7fc11854-e634-4bc9-988f-0ffded5b7641,
حسين الصادق,SD,cbaf3e1c-cae3-48a8-ba33-80b64132889c,
Setona,SD,2d73d021-8440-4acc-aaac-a72ac6a60bed,
Alsarah & the Nubatones,SD,3e6c62cf-6163-48f1-b493-e8633563e3b4,
Rasha,SD,52572675-f7e6-435f-9dff-65c5e51d61da,
Abdel Gadir Salim,SD,7681f1f0-39cd-4030-a9b0-77d86639a67f,
Sufyvn,SD,5bb43eaa-7d2a-4a81-a447-13b249f1bda0,
عبد العزيز المبارك,SD,159f9a29-893d-433f-887a-b3948d850b08,
Amira Kheir,SD,1f4c077e-2f60-45e0-9943-9b26ed41b0ab,
شرحبيل أحمد,SD,49b238ef-97ba-4184-8451-903e164ccb48,
مازن حامد,SD,a994b678-adfd-48d4-bf40-7d7976183c95,
سيف أبو بكر,SD,a6a53cbc-0e98-47d6-8dc6-575efc733dcf,
فرقة العقارب,SD,6f2d5585-53cd-4315-9f6a-22c9c9c5cca8,
أحمد عبد الكريم,SD,ef6467e4-3a0a-4241-bbb1-53fcb6044b22,
Lil Meek DC,SD,13302839-aa5e-456b-bdc1-1ce6e3a8ed1d,
Nyaruach,SD,dd1494b4-8b2d-4242-a779-ddb01edbfadb,
ReXus,SD,c97f7cbe-33df-49d6-bf1c-35738135a43e,
عبد الكريم الكابلي,SD,acfc9260-281d-4a20-882a-f4178deee8f6,
Kamal Keila,SD,97554bed-b9ad-4f03-9f99-2ce916158ac6,
Abu Obaida Hassan,SD,ceafae03-fb6a-4e51-a88f-603a4150a451,
محمد وردي,SD,4275edc9-cc9e-4210-aa9e-5d7f03f3af8a,
محمد جبارة,SD,bc53747e-d32c-4e64-b5ff-e848459fbfa7,
Noori & His Dorpa Band,SD,f5d8cb29-78ec-49bb-b093-eb98d8764b32,
African Crossroads,SD,58a1459c-e52a-4069-85b9-b62dcb508e10,
Mshakil,SD,31e53d26-0304-422d-b8be-77604d711c2b,
MoTo & Pablo,SD,3b971bb6-909a-4b85-b511-fa49dda85b6b,
محمد الأمين,SD,b540f994-6385-47f9-bf12-c3ca7cd03a85,
حنان بلوبلو,SD,222a2db5-ddc4-4739-8f7b-2d90507a8079,
Sheikh Altreega,SD,bf3fba3b-7c0e-45bb-9dc1-7ef8722a4acb,
Dsoogi,SD,460e5343-565c-44bc-bdfb-a60ca923fca9,
MoTo,SD,75ce695d-4d64-4ec1-b2dd-5a8e42b44c49,
سيد خليفة,SD,0aac167e-f9b9-424d-a3a0-06a4399e9457,
Hateim Atiya Khalil Sayed,SD,519489a7-70c4-4a03-954f-47c114670736,
Mazen Abdo Mohamed Saleem,SD,28ccc454-8f03-4f6e-a4e8-c3947dd1ac9d,
Hleem Taj Alser,SD,de2c0ed0-8ef8-49af-885b-9e8e8e477b97,
Syco,SD,66f4e361-5d9d-4814-a804-3cfe0565bbf6,
Dafaalla Elhag Ali,SD,47b27a75-58e3-460c-9f2c-a28cb2468360,
Mohammed Werdi,SD,3d18db46-831c-4c8a-a6d3-45eba5c5e30e,
سماح ابراهيم,SD,98e8d16d-d8c8-4302-9c50-0bfca2360a61,
سير عابدين,SD,210dcf08-68bb-4837-8481-f4451d19ed10,
Suna'i Alasima,SD,76ce62c8-83af-4c36-b6f4-028962d827fa,
Halima Ibrahim Awad,SD,86a76951-b8db-4a58-8ae6-c2bfd383212b,
Al Belabil,SD,b8e4aad8-6a84-4239-b93d-a63cf33b149f,
رؤى محمد نعيم,SD,e9a78706-b568-4398-bf69-b0270117930b,
BRONZz,SD,8e84c8f0-6c02-4744-9c1e-c9968b49d94d,
Flippter,SD,15cf2f5f-e65b-4962-a655-a6446c53ca11,
Rabso,SD,377a059c-5b0e-49bf-975a-3169d110eea2,
صلاح بن البادية,SD,222a4d28-dd9b-4144-81cf-70ab9b67808d,
حمد الريح,SD,240341b9-6df0-4b70-bfdb-6909649d5c35,
عماد يوسف,SD,da382fc5-8a6e-428c-a207-8902b252773d,
كمال ترباس,SD,8fa44a35-e4d3-490a-aad5-aa257e28de81,
مجذوب أونسة,SD,45cc36a1-2b9d-446c-9227-6d7e41fe597b,
التاج مكي,SD,81bb0d12-8c3c-4654-8d87-030a4f68bff2,
Abdelmoniem Ekhaldi,SD,ba838bd9-d791-4c85-a514-ab0ba2c6a560,
Samira Dunia,SD,f8fc0bd7-383d-49c8-9627-4a3297f57296,
Abdullah Abdelkader,SD,c001920c-1680-4773-a33f-317507b4df22,
إبراهيم الكاشف,SD,3f00f477-95bf-4947-9e4a-863dad07b336,
مصطفى مضوي,SD,39878e3b-21ab-46fb-a8e3-95a1d271875e,
إبراهيم محمد الحسن,SD,4cb9ffd2-24a2-4228-a8d9-b74cc87ed5a7,
Khojali Osman,SD,850bd864-cae2-458e-8152-73c44b997087,
زيدان إبراهيم,SD,c598896c-241b-4a02-b8ee-b849723c56d9,
Pablo,SD,723cee58-14b5-412f-8691-e8eec83f2757,
Ali Osman,SD,6bfa3b00-e771-44bc-9f89-7221d84296e7,
Ali Muhammadi,SD,76590f74-9456-4d5a-b583-de8fe18ec468,
Abazar Hamid,SD,ae26294d-6032-46ec-bad0-9c4ba6efee1a,
الاء سيف الدين,SD,0862c3c7-b5d4-47c4-901b-b8b353f27ad9,
محمد ميرغني,SD,859a8a82-0ecf-4c86-bfac-98a98b9691fd,
البلابل,SD,d12460da-64d4-4b2f-a57d-14d60c51cdb6,
Nawawe,SD,1323b1c1-27b1-4313-9eaf-7faa20e91bc6,
Ras Colombi,SD,3cf204fb-c3c0-46a2-b5f8-c47c61123a1d,
Noureddine Atta Al-Mawla Jabar,SD,624109e7-890e-43de-91b9-cf6fe3ffa92a,
Muja Siyam,SD,871dc79f-f076-4f15-9292-3896519acb59,
Abdul Hafiz,SD,83b9bbcb-8a31-4952-bf53-7088c167449c,
Tumax Afro,SD,a594c151-ec74-42e6-81d4-882df8f62b7d,
أحمد سعيد أبو آمنة,SD,1a3c8d34-530c-4426-918c-9d6d0c2dc73b,
جمعة إسماعيل آدم,SD,53b94abe-76c5-44a9-9b25-c38991b200d7,
Hamid Osman Abdalla,SD,06a406b2-1ce2-492d-a351-59cd48c2504b,
Mahammed Abdalla Mohomidia,SD,f91e8455-6d26-4633-8d6f-2f33ee960a1e,
Ahmed El Mubarak Ahmed,SD,b7237098-1ab3-4fac-859f-c6c87040b2ce,
Adil Awab Hassab Seido,SD,4ea328b5-d58b-4125-835a-25e65762bf11,
Rmdadan Al Bashir,SD,5667ea4f-3873-4f30-ab6c-14b224f0d24c,
Khmal Muhamed Ahmed,SD,56b0a3fd-ec47-4be0-adb8-c534f4c339e2,
Mustapha El Mohamend,SD,73f9db7e-4124-47d3-b2ec-63c418e73acf,
Sulafa Elyas,SD,6ecdbe05-7026-42b3-b022-0a5d6e4b22a5,
prodbyabdo,SD,4dba17cc-c2d8-4560-a3cc-ff8d21222fae,
HAVOC,SD,86b887e8-fd3c-4a36-826b-fd3664fc491e,
All-moony,SD,f8b90a84-bfc0-4409-94c8-7fc7c17da3a9,
Spestian MG,SD,f6e4169d-0a6d-49bc-aa0e-0e8f877c047c,
Sudo,SD,a7cf9c43-2e6d-4edb-9776-4f6d5f523562,
TooDope,SD,4b203d64-2d45-499a-8bae-53e56968cf86,
