name,country,mbid,youtube_channel
ABBA,SE,d87e52c5-bb8d-4da8-b941-9f4928627dc8,
Roxette,SE,d3b2711f-2baa-441a-be95-14945ca7e6ea,
Henning Mankell,SE,9c5fa1fc-f9d8-491a-87cb-507972a0ad43,
Astrid Lindgren,SE,07604f0c-218b-4233-94d9-57c4a5432c3a,
Zarah Leander,SE,d3353e72-41cf-40df-a61a-ba7982557c2b,
Ace of Base,SE,d4a1404d-e00c-4bac-b3ba-e3557f6468d6,
In Flames,SE,31745282-b1ea-4d62-939f-226b14d68e7c,
Jan Arnald,SE,b0500d9e-bd80-48f2-bd5c-523961e6cbfc,
Europe,SE,ccfe7a3c-1a45-4984-a8d0-644549cefe61,
Avicii,SE,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,
Opeth,SE,c14b4180-dc87-481e-b17a-64e4150f90f6,
Siw Malmkvist,SE,a5be578c-864a-4de8-be45-c2cb6891c051,
Arch Enemy,SE,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,
Vindsvept,SE,1b04885e-5940-4cfd-b369-08a778a2b34d,
Eddie Meduza,SE,e1eff221-4e60-4104-a30b-11949b782337,
Dark Tranquillity,SE,9d30e408-1559-448b-b491-2f8de1583ccf,
Håkan Nesser,SE,dd15fbd2-6947-429e-af21-f4f7001ff91c,
The Cardigans,SE,3e55d51d-687f-4a9d-af96-2fabccf802e5,
Lars Kepler,SE,63059375-4207-459e-b174-97b122790e69,
Sabaton,SE,39a31de6-763d-48b6-a45c-f7cfad58ffd8,
Marduk,SE,b7dc7c76-53f1-49ac-8dc2-d469ed7f8e65,
Therion,SE,c6b0db5a-d750-4ed8-9caa-ddcfb75dcb0a,
Robyn,SE,5a8e07d5-d932-4484-a7f7-e700793a9c94,
HammerFall,SE,abf5f674-dbad-4219-b3ad-dbd6fb163c8e,
Cornelis Vreeswijk,SE,ca264abf-3eb6-4d53-827b-6ab16988a4a3,
Katatonia,SE,61ed9c9c-79eb-4e8f-8015-bd599ac0ab49,
Per Gessle,SE,843238f1-ecfa-4a26-9e47-ce52e4ea1e31,
Stieg Larsson,SE,a25661f3-9576-48df-8b2a-74d0717abda1,
Amon Amarth,SE,5b687684-ad34-4a9f-b425-0e7aa81fbd38,
Dr. Alban,SE,85a3072a-08eb-43a4-a57d-f7084503ee4c,
Lasse Stefanz,SE,433e715e-1eac-47e6-815f-93797cfab7aa,
Thorleifs,SE,047a76c0-8e6e-4825-8dea-9cb257d691ab,
Vikingarna,SE,a1a92a82-1577-43fb-aa58-84c14789feec,
Candlemass,SE,7dba6614-d0bd-4950-8b7b-841b31c413c2,
The Flower Kings,SE,0a389268-6fd8-4f8c-ab6e-0dba5ecec66b,
Ulf Lundell,SE,8612924d-2946-49e1-970f-ef1c36517428,
The Spotnicks,SE,d976e2c9-31cc-4d34-82d6-4b3641692026,
Eric Prydz,SE,35dac7d2-0b1f-470f-9a5a-c53c8821f6d6,
Mando Diao,SE,ea854cc1-13fc-4fd0-86a5-d2c7dba06764,
Soilwork,SE,d8d1b067-78bb-4db7-8f91-db2ff9a83ee5,
Povel Ramel,SE,f3ccf44c-a4b0-4cbd-83c9-2653f47df060,
