name,country,mbid,youtube_channel
林俊傑,SG,e5d8c705-8ea4-4820-b11d-fbf580d85ce4,
陳潔儀,SG,fe50b533-fb75-4eec-9392-38efbd032c0f,
孙燕姿,SG,ff0ecbbe-34b0-49c7-a36d-81a47700ac13,
Wormrot,SG,143fd9a0-28a4-42fb-911e-e5c00baf06f9,
蔡健雅,SG,03a265bd-30be-4929-a220-0f583cc5160a,
Jacintha,SG,629cb55e-9e5f-40d1-8fa9-97675ce9b253,
Olivia Ong,SG,cd9a4ede-ff79-4a16-bead-f5b772913e64,
Singapore Symphony Orchestra,SG,1d7e8248-f728-41ce-b3a3-396dc6c65f47,
Impiety,SG,dd40f031-23fa-4bd3-8f16-ebfc4bb978fb,
Reinaeiry,SG,249c9f32-2b08-4741-b745-16e1dc5f2e22,
許美靜,SG,a92ec581-ecf5-4a31-a23f-bf09ba8ef2a6,
阿杜,SG,d75f612d-9783-4d7e-8c96-8885bbfdf6de,
By2,SG,1059208e-b08d-40b9-943a-353f94f532d4,
Rudra,SG,83b414a6-32c6-4656-8533-e23913beb05b,
dante,SG,6abd1600-4324-40d4-97bd-77d8cf9d1847,
Dick Lee,SG,0648647d-36de-4ad6-a37e-cc820895ef5b,
Kevin Kwan,SG,27a006ef-1e5a-4d79-8de9-f54a44fff0ba,
Iliya Zaki Bin Aziz,SG,afe20a0f-38cb-4038-9942-cd2034a4216d,
Eric Chiryoku,SG,8b2769fa-4c45-4ef6-81a2-842f12fb2347,
Sofia,SG,fca58317-8a82-4749-ad4c-1e9adf9f78a1,
蔡淳佳,SG,8e7d9444-76ac-424e-a0ee-3f97b9f144e3,
Joshua Hoe,SG,1137dffd-9062-439c-bdff-3e172f24777e,
Dozethrone,SG,ffe4bef6-1493-4375-b8c7-95c4bc5dbbaf,
Gregory Wei Zhe Tan,SG,cbc702cc-881c-473d-8916-a29012340456,
文慧如,SG,eef05392-e374-4bf7-aa8a-76111a6bd53a,
Linying,SG,9041c630-cd7d-4e46-bdbf-c9f5e5fcbbd7,
Corrinne May,SG,0072a106-7710-41b0-b948-e9ea97601b44,
Rafeah Buang,SG,0c49779c-eb65-405d-9415-fd28aef8c4c8,
Xhin,SG,1475281e-12dc-46be-9ba5-bc408c94fe08,
MUON,SG,a84c0750-3cce-4fad-a6cb-ac473fde18e9,
