name,country,mbid,youtube_channel
Laibach,SI,c779e090-909f-4403-a90e-c1d08cdbb719,
Umek,SI,a03affe5-47af-48c4-9b8e-67654fa318ec,
Slavko Avsenik und seine Original Oberkrainer,SI,f17746cb-aa9e-4c1f-a048-860a33866bd7,
Vlado Kreslin,SI,6e7508ac-b3f3-4fb0-9c36-ba9fa155cf58,
Andrej Šifrer,SI,d1488e66-8d0c-4941-9cc7-dcc5f17f77bb,
Siddharta,SI,22516469-fc32-4849-bdda-7d7cadf5e2b8,
Adi Smolar,SI,4bebf6da-7736-4d45-8e79-93c85e31cca1,
Simfonični orkester RTV Slovenija,SI,cf366c1a-cf2a-4755-b676-92700a880730,
Aleksander Mežek,SI,a85bbe3a-07c7-41fb-a52c-0f531ad4dbe7,
Lačni Franz,SI,fdf80e37-c6a6-475e-8cd9-920180b98579,
Torul,SI,9183e69d-e47a-48bf-a5bd-798391b20a8a,
Šank Rock,SI,dca39c65-dfbc-448b-aca5-70da9d8cbe64,
Borghesia,SI,bcccad06-b16b-4643-93aa-8c148de59868,
Helena Blagne,SI,ec9e0ff0-eb9e-4c61-ab3d-fa59a0861cac,
Čuki,SI,aae77153-f5f3-48e2-8c53-39d85adb14fb,
Zmelkoow,SI,260978f8-e83f-4645-9467-5cbb29964d0f,
Neca Falk,SI,b0491721-9fca-4bc6-aa3c-ed6fe0d407c9,
Pop Design,SI,c3b91bdb-deaf-4844-bcd4-405b45c4f610,
Alpenoberkrainer,SI,3f91e089-fef1-4ffa-8c7d-e1012b94dbe9,
Anton Nanut,SI,657e4026-0649-4b6c-b7de-1955da0db5ea,
Zoran Predin,SI,c8ec07e2-fedb-4692-825b-7b58d7c86042,
Avtomobili,SI,67b23190-8267-456f-bd38-0ad5c5c16e4c,
Tinkara Kovač,SI,b3ac298c-253a-4300-bfae-a83e68d56c7d,
Magnifico,SI,85af933d-6de6-4d2a-aa1e-ba58b6d670d9,
Jani Kovačič,SI,333d00a8-684a-4762-acfd-bc237f99c6ce,
Peter Lovšin,SI,25408a31-7775-4d38-9fe4-642661c41fff,
Slund,SI,ec9cc215-9010-468e-9a0d-4b9d62e3f0b8,
Orlek,SI,edf14d33-0093-4395-a1ea-26a761e16d20,
Mi2,SI,3015bad3-0cc6-4a47-a1c1-de4ea29cd134,
Buldožer,SI,e5208f66-8ce8-4725-b109-76047570e48d,
Center za dehumanizacijo,SI,636b0b6f-9f0f-4775-878f-531535e61870,
Tomaž Domicelj,SI,3e45d76f-b46c-4e9a-ade1-387dbd8dd85d,
Agropop,SI,4b68bffd-535f-4baa-be43-07d62054d622,
Marjana Lipovšek,SI,49f767d7-8d51-4b69-bcbf-ad511336442a,
Dubravka Tomšič,SI,d4bd3e3e-c662-4d01-b068-4826809cc8cb,
Tabu,SI,f3c28d22-1e7d-4a6a-8162-6a3f4420082c,
Demolition Group,SI,3cabc031-5439-4521-9296-67369df1f158,
Društvo mrtvih pesnikov,SI,cbbd5530-10cb-488d-a220-e16e453107fd,
Juice Connection,SI,860b96ea-536c-4ff6-bb64-e50077e561b6,
SUR,SI,ec0af9fb-154e-475c-bc7b-36cb1e0f982d,
Slon in Sadež,SI,bd1cab00-86e2-4cba-918d-3e7394a1ba82,
Perpetuum Jazzile,SI,478e34fc-23ea-4073-b50c-97b3596a4ccf,
Platana,SI,b754903e-94c1-493f-ae75-834315b6eaa7,
Janez Bitenc,SI,fe1edc94-4323-46f0-be4a-54bbf27105f8,
Katalena,SI,d08c828c-ac61-412b-b47e-1bde703204fa,
Dan D,SI,dece9d37-a0dd-4c6d-9f76-00b10eda3a86,
Čudežna polja,SI,0d68bb1d-4860-4cfe-ba64-7c26cfcba333,
Niet,SI,1970477e-acbf-4088-8702-0184ab7e89e8,
Anika Horvat,SI,71af50ab-59ac-47d2-b575-1728f9ae0d97,
Bojan Gorišek,SI,77e79b50-12f2-46f6-8d49-774bfce72262,
Big Band RTV Slovenija,SI,c4d8aead-7d2d-4d99-ae75-13305c59c855,
