name,country,mbid,youtube_channel
Peter Breiner,SK,4a8005fa-b151-43a1-8ca4-3dfbbec086e0,
Elán,SK,70eed604-1fff-49eb-882e-fd34eaad9ceb,
Miroslav Žbirka,SK,7f59885a-d458-4f6e-bbd4-8d98705a0360,
Capella Istropolitana,SK,2e7119b5-a3a0-4d78-b8c8-55778f8b618c,
Richard Müller,SK,a07862b6-b8a1-4ed0-b536-6d02bb29dbc9,
Pavol Hammel,SK,5d53464d-3226-46b5-8618-d96ad193bf64,
Slovenský komorný orchester Bohdana Warchala,SK,4cfa3ebc-eb6c-4647-bd02-d1475e6de877,
Bohdan Warchal,SK,d7d50deb-5932-4121-baea-d7b6bf2afbf0,
Lucia Popp,SK,78fb5470-e2e6-4c56-9d0d-692152c351d4,
Štátna filharmónia Košice,SK,4b9ee0a5-f045-4939-a4da-da3ed6380234,
Marika Gombitová,SK,0acffd3d-340b-401a-86b8-2c8c1a0d1ced,
Peter Nagy,SK,41a591a5-5ab3-45e4-ae2e-4bd24bb3a69c,
Horkýže Slíže,SK,e17335ff-4be6-425c-b8b2-fcbd4fee5776,
Vašo Patejdl,SK,7581f930-49dd-4dce-87b8-17e84c4a6f1c,
Abortion,SK,3821aa5e-5b12-478a-a211-935c6843e206,
IMT Smile,SK,1fc39807-871c-4c86-a5a5-ed3688c397e1,
Tublatanka,SK,1d3fdc1c-f80b-4f2e-878c-b2224d71c037,
Team,SK,c7bbba11-690d-4ef8-974c-1e725ed72ef2,
Ondrej Lenárd,SK,c5b2c7dc-bb98-4e77-b1bf-fc61e77f0637,
Robo Grigorov,SK,0d577283-3496-4e55-ba5b-a5c1f0757ee9,
No Name,SK,f353b91a-2d13-4254-97d1-17ab9599e6e2,
Peter Lipa,SK,6342ef50-dc7a-43d8-bb70-c81fc93a389f,
Iné kafe,SK,b8fb18e5-0f16-4901-8e4c-26e83227c083,
Gladiator,SK,03537ac9-1781-4bdb-8cde-0f6beefccdbe,
Jana Kirschner,SK,d4b490b7-6761-4954-9b0f-3cfbfd9aa470,
Andrej Šeban,SK,352841b5-ad6c-4c52-9e92-2b7acb4e7e65,
Desmod,SK,733b051e-082a-4748-8a23-93e6fc80c65b,
Modus,SK,d7bfb5f8-de7d-4ead-87ad-7b3492623a03,
Zóna A,SK,461a7fdc-3e9c-4132-82c6-ebf8b8b45915,
