name,country,mbid,youtube_channel
Sierra Leone’s Refugee All Stars,SL,9dd40fc0-d29a-4168-84e3-36357e9159ac,
S. E. Rogie,SL,b4b747f3-6248-4ac0-92f2-3ee0b37e1ab3,
Sia Tolno,SL,9a9f4017-6f46-45f1-befe-b4850c6f7b6b,
Emmerson,SL,64c4a1f6-400a-4d99-a8af-ee4a0ec23946,
Geraldo Pino & The Heartbeats,SL,f1bc5c00-c01e-4c6f-a271-ee6f0f94b941,
African Bush Doctor,SL,160e017d-fd8a-4b24-9df0-29a6fa9b4aaa,
Abdul Tee-Jay's Rokoto,SL,3e759af2-231d-4f73-a05e-c8310ebcde15,
Ahmed Janka Nabay,SL,c87e01c1-f6cf-466b-bbd7-7dcecf600865,
Chief Boima,SL,084e2391-d8e6-4db9-b88a-e6842cb38922,
Afro National,SL,6c2171f2-8c86-4bc5-a559-0b27e44a6629,
Minish Swaray,SL,ec864a67-5bad-4f90-a039-2c3388c066a7,
Salia Koroma and His Accordion,SL,735f375b-a543-4d82-9f36-6c87dc7d316c,
Velma Richards,SL,cd56dc39-8035-4ef0-9b71-6a97783969d5,
Bajah,SL,d24a6044-4e6d-4d3f-93aa-e73bf5b0a7c8,
Abdul Tee-Jay,SL,75565814-871d-4a7f-a51c-2b84e9aab161,
DJ Lion,SL,ad8e311b-c373-4712-86ef-29fe21141f9c,
The Freetown Darkies,SL,9c5b3f3e-e567-425a-bbae-10efc45b3031,
Frank Caulker,SL,318a02b9-5ebe-4d70-8382-9595e6faf4d4,
The Nugatone Band,SL,26653e9b-a082-413c-84f3-6097b2ae7413,
The Sierra Leone Police Dance Band,SL,24be14a0-8fea-4cbc-87a3-0ff812adb77e,
Cherry And His Maringa Band,SL,d429ca08-ce9c-416d-ac57-13a21378edda,
Jeli Bokary,SL,c336267c-a4d3-4c3a-8e8e-0c813bd19b20,
Sankoh and his Kono Boys,SL,598413c4-84b2-4d93-8ace-356adba61259,
Hachimo Jalloh,SL,523156b8-fe80-4e91-93f9-7d4ae88fdd2e,
James Fayia,SL,e7805ca4-4063-4a7b-81fc-e0163a0221e2,
Sokhona Kouyate,SL,098600c3-a5e7-490c-90a6-1177e274ed7a,
Freetown's Leading Sextet,SL,72a4aae0-ba58-4034-b754-18804346635a,
Ebenezer Church Choir Freetown,SL,90304880-e5c3-4abf-9fb3-d7b837ea598e,
Tity Kamara,SL,a86979f3-1c4a-405c-96ec-48f09831282a,
Lokko Tribal Union,SL,f3a9dc4d-fdf0-4bdd-acea-8f8e9b10dfc4,
Kamara,SL,da95f3d9-3774-4863-bc9c-5d1146eb1057,
Koleya,SL,63490b8c-7a4e-409f-ae96-abd5a70a1271,
Ali Ganda Carnival Star Orchestra,SL,2c6a6b35-11e9-46bf-b7ee-ea4fe2580b8e,
Sorie Kondi,SL,753a42bb-2376-42d9-b690-04f8837c77b8,
Alonzo,SL,90d27fea-a127-4be2-956b-53e88ec22897,
Hope Orphanage Choir,SL,b3292f1f-be8e-43fd-b9ea-1a005bce8957,
Daddy Saj,SL,613bc8ba-f860-4472-9815-b1e1c218a3d9,
Abdul Tee-Jay and Rokoto,SL,c7e2d769-e82e-4fc2-ac5a-2ed758ee3ee4,
Ebenezer Calendar,SL,9550e729-d587-41bc-9cb9-eb054732516a,
Sami Kamara,SL,78688dfb-0d5e-4205-ad0a-82dda3d29f42,
Bobby,SL,977f2b40-0c44-4f57-a1d7-5e4b97ed868b,
Tony Kamara,SL,a314f672-4c61-4be5-bcc9-de0c10f3f681,
Twice Ice,SL,3cee71b2-de1c-4450-8d7a-b64250326169,
Mohammed ''Makengo'' Kamara,SL,3b8c13fc-c5d6-4d43-9df3-4c6378bcccdc,
Augustine Kobina Valcarcel,SL,3b7e1ac8-1a02-4250-a7f3-67fcfb98e9eb,
Sami Kamara and His Black Diamonds,SL,dcdb473f-1a91-418c-a719-201f04241a8d,
Nicholas G. J. Ballanta,SL,76e7c486-7304-431d-ba80-802290ad1173,
