name,country,mbid,youtube_channel
Little Tony,SM,76e742df-5bab-4ded-b76b-c1bc7c9ff352,
Valentina Monetta,SM,be1c85df-33ee-4694-acea-400517384be2,
Helia,SM,e4b40a5a-757e-4276-bdb3-e91c81723ab2,
Alessandro Arzilli,SM,a656c917-a3f0-4fc4-90db-ff70ba6ed11b,
Erȳdesh,SM,70800981-6e20-4d43-b407-d9c3557ec7b8,
Necrofilia,SM,c2cb7dc3-da90-4683-a8ed-72ed04d45701,
Monica Hill,SM,1411aaf4-bee5-4dd9-938b-ec036acee0e5,
The Peppermints,SM,591c918e-dbf2-40fb-8f64-12cd5b60c273,
Anita Simoncini,SM,7e184556-e216-4957-afc7-422d33bf3eae,
Idols SM,SM,270d6728-2943-45bc-891c-8ccddfc12b19,
Hybrid Practice,SM,6484a290-5b94-443a-be4d-e4ee9ac4485a,
Turbetto,SM,970df63c-d79b-4ec2-8e18-e110ea6255f6,
Alchimia 2012,SM,132aab5f-0536-4a13-b7da-e724379fbafd,
Nothing Inside Eyes,SM,d0570306-3b9f-489b-8268-b688ec54dba2,
