name,country,mbid,youtube_channel
Akon,SN,1138a764-2212-4d0a-b02d-0dc14df91e08,
Youssou N’Dour,SN,af081ea2-7a2c-4fbd-8200-92d62056b5f5,
Touré Kunda,SN,50cd3334-1bad-483a-a059-b297e06ec65a,
Baaba Maal,SN,cec7447d-a39c-41c5-ba74-5d7057e5c731,
Orchestra Baobab,SN,30331c85-26d4-4daa-9f66-3075cac4c20b,
Ismaël Lô,SN,3a4de95b-22f9-4325-afd6-c4d648befcba,
Africando,SN,5cdff2f4-7220-492f-b443-11d8ab8f20ea,
Youssou N’Dour & Le Super Étoile,SN,7add9a91-fa46-49de-870d-0a7c7b04c1db,
Keur Moussa,SN,e05ed14a-a32b-4c23-b4be-31c9e0c545aa,
Ablaye Cissoko,SN,f68e6eda-bbc7-41f6-82dd-03d7d72b5389,
Cheikh Lô,SN,0b1e097a-4afa-4e82-b5ef-b49cfcb54927,
Lamine Konté,SN,addc0c15-3213-4608-b0a8-9de59e02577b,
Seckou Keita,SN,3101d905-ba10-4088-af15-8160b12e65e1,
Omar Pène,SN,07ef5f42-0efb-4fc1-bdc9-eb3bf4ed4b49,
Daara J,SN,98058d07-363a-421b-a102-21ee2303f3d3,
Doudou N’diaye Rose,SN,6db0aa2f-7d59-4c9e-a3cb-730f3a127a9a,
Mansour Seck,SN,18b781ae-2e41-4ffd-a9be-d924ee67dde1,
Nuru Kane,SN,8dcf0402-819d-4029-983d-dc910ea87f0a,
Thierno Koite,SN,77fdcd10-ced3-461b-8f38-ecd7434d3569,
Med Mouha,SN,547bb51b-a016-402e-8120-50c3e8def75b,
Hervé Samb,SN,55e6d988-c94b-4e51-8990-dca2c27810dc,
Kadialy Kouyate,SN,04aa930f-81f1-47ec-a4d6-9bf93163fe49,
Thione Seck,SN,f4298cb3-d6c4-4904-a76d-fa21e2ce0f34,
Positive Black Soul,SN,3527dbee-3b6f-4998-b4dd-4c9c367f8da1,
El Hadj N'Diaye,SN,bcad5373-32a3-41b9-9f63-ebb692e79ab6,
Coumba Gawlo,SN,e8e3cf54-3dde-40c6-8a5e-c80d43a5c6d3,
Didier Awadi,SN,8025e021-756d-4723-84a4-92f48366b356,
Sourakata Koité,SN,b2eb95ec-8d0c-4adc-9aec-c077b3b06f28,
Soriba Kouyaté,SN,2cdfecc2-08a5-41af-8b93-7798ca3be0cd,
Aïyb Dieng,SN,3ce38b1a-0586-4dd4-8c3f-7159e8461793,
Natty Jean,SN,3eefa028-ac6f-40dc-aba3-6493ec00808d,
Julia Sarr,SN,e24d106a-0fe3-49a8-9f2f-e87777b683f9,
Les Frères Guissé,SN,2709008f-b0ef-4d03-a48d-d4a5614003c4,
Daby Balde,SN,489f2bd0-5ada-4902-8820-1be617438067,
Julien Jouga,SN,283a369a-c865-4512-9f7b-f5dce971fdb3,
Vieux Diop,SN,bcfeea85-9f73-44d8-851a-8d23aead9727,
Viviane N'Dour,SN,954973dc-97db-4dc0-b812-3cc917f02adf,
Ibaaku,SN,1d987c35-86ad-4a74-abca-bb772e629d94,
Paradise Cinema,SN,892362ca-e8a9-417f-ba74-193bfbfc4744,
Fania,SN,8202fc9c-575b-456f-8366-fbd11d186417,
Yandé Codou Sène,SN,55e236f3-79a1-4d32-9ce8-f89801b7f851,
Abdoulaye Diakité,SN,d3a1b758-4442-4fe5-bdad-aba2bcaede86,
Pape Fall,SN,b96daa78-2373-4370-8b2d-ee23d9e4b651,
Dieuf‐Dieul de Thiès,SN,2be6ba3a-33cb-492b-915d-f2b1f181fdd1,
Tidiane Thiam,SN,d1ccc60e-45d5-4176-a328-47cd5984e55b,
Xalam,SN,4cc7d357-1937-4226-a465-e2104030e74a,
Amadou Diagne,SN,d4c788fc-b5d7-46ca-93b0-a40d2fb144d7,
KotomambaH,SN,5f844f00-cc66-4f48-8665-846547e2966d,
Wau Wau Collectif,SN,3831f697-6302-4b52-b722-c681d27347f5,
Marcel Salem,SN,cc9aba20-c179-4d61-85af-0b7c6b389082,
Sonar Senghor,SN,16661255-2155-46d5-8089-0a57c431a7ff,
Gëstu de Dakar,SN,af959fae-291e-4705-9faf-ad606d0943d2,
Le Sahel,SN,8404b5c7-2a30-4c33-8daa-c12cac3ddb23,
Raam Daan,SN,733ef84f-c883-4911-afc2-dcea632d292b,
Massamba Diop,SN,9747d911-d34a-4b91-80e5-698d45712212,
Jeri-Jeri,SN,06c17314-ce83-46c0-80b3-6a946c609b80,
