name,country,mbid,youtube_channel
Dur‐Dur Band,SO,9b77d40a-c7cb-4d5f-9da8-9ef1df1cc745,
Saba Anglana,SO,c2311581-df24-451e-8232-a9dcee3bfa62,
Waaberi,SO,42a50d56-5c14-4b41-98b5-5e82306b87db,
Iftin Band,SO,f587b9a6-31c1-46aa-8bfa-bae486ea4605,
Iftin,SO,2abb8675-be66-498b-8e28-6b7933d41579,
Iman Mohamed Abdulmajid,SO,1fc78551-2ddf-47c2-af90-91fcc48ec3a8,
Abdullah Kershi & Ahmed Sherif,SO,31b77e0b-084d-49e5-8855-7afb6c4d0923,
Radio Mogadisco Swahili Singers,SO,7b1b072d-51b2-444e-b6ab-12da189b5fcb,
Haussein Shiekh,SO,832207a4-7d46-4d6b-9db0-983c13c449fa,
King Khalid,SO,72472c55-ec1b-4cd9-adf3-6e3353a9984b,
Salaad Darbi,SO,f305f634-ff6b-48bc-b4a2-44b5bceb6fa5,
Bakaka Band,SO,29fadc3b-72dd-4b16-afcf-b59302828321,
Cabdulashi Iman Zamir,SO,2620d691-6a20-47d7-962f-5dbaba19f8b1,
Xaaji Cusmaan,SO,afeb511d-709d-43a5-8be7-8bd71c7cbf5a,
شريحة من الفظائع,SO,ca15a559-0a93-4931-a95c-eedcf3df87a0,
Kuusow Kurtunwaarey,SO,f54b392c-26a1-4f17-8e53-9e8b50e913cd,
Sharero Band,SO,6007d16a-062a-4725-9983-ab8ca4333030,
Faadumo Qaasim,SO,9f347305-9479-4f0a-9237-d67c884ae518,
ADDE JAMA,SO,7707703a-2562-4af5-bab8-43250ded5c55,
BUNBUN ALI,SO,8f7667ad-b535-412a-b8d3-5c108a6967cc,
Xasan Xaaji Maxamed,SO,73e9f1a3-8a0f-44a0-87d4-5ff304678b0f,
Ali Nuur,SO,c96e55c8-55a9-4d06-997e-1e96166e4147,
Hibo Nuura,SO,008e7507-e09f-4b84-8bf2-fa5b3e2d1690,
Gacaltooyo Band,SO,f71dcdd3-b879-419b-8df8-4cde46069e33,
Xasan Diiriye,SO,f935593b-b57c-465c-a55c-970f78b93ac0,
Faduumina Hilowle,SO,8d871673-410d-4fb9-9834-58bf5300ae84,
Mahmud Abdalla “Jerry” Hussen,SO,57993171-3f67-4ae8-8386-f0cc930136f6,
Sahra Dawo,SO,e4a10638-8dcf-48fc-8883-138f2aeccb09,
Mohamed “Huro” Abdihashi,SO,18414a4a-b8a3-4fac-9919-2df7d5a55fae,
Aamina Camaari,SO,5465e5c3-93ff-47bf-9605-bdaab3f4d74e,
Omar Shooli,SO,d5bd20af-dd72-4bbb-9566-22d3a2990302,
Mukhtar Ramadan Iidi,SO,03f040be-e07f-437e-99fd-14f0f6e1d51e,
Luul Jeylaani,SO,fd0b895e-ba10-4b4e-bcd1-b105299a78d6,
Killer,SO,19068306-fc84-44e6-9060-eca4ec3e90dd,
Nuur Maxamed Curuba,SO,1e57c3da-005c-4a25-809c-8573941f7f4c,
Students,SO,e42c374d-91c3-4876-884f-1977d63d727a,
Abu Mansoor Al-Amriki,SO,2f094b3e-9541-49ad-8bb7-cdf4cdd79994,
Ahmed Ismail Hussein Hudeidi,SO,b8e210c9-2795-46a2-a39f-70d36f4bf9e0,
BUNBUN ALI,SO,6587f1ad-8f4a-4913-bc6b-6a256a9bfedc,
Abdi Sinimo,SO,9e287af8-d5ca-4b59-a4b3-5669c284a013,
Cumar Cabdulle Cismaan,SO,cd0acd11-70eb-404e-bd7d-788c7b0ee379,
Nimco Happy,SO,7b244a61-b7fe-4476-93ff-d0cdadea51d0,
Leyla Hussein,SO,5a755191-cbfe-4814-9101-3c8eeecd1ace,
