name,country,mbid,youtube_channel
La Rouge,SR,58bbcfba-1829-4787-81da-aae218f3c17b,
Max Woiski,SR,8f2b2bd7-d652-417f-b215-b007e640238f,
Jairzinho,SR,3a849861-dc2c-4468-828a-35eda9c17174,
Cross My Blessed Hands,SR,f4a55c07-a4b2-4939-853b-79934cc577f0,
Max Nijman,SR,8326fad7-b766-4844-bbf6-f1653384cb48,
The Kay LC,SR,6e3d8e52-9870-430e-b134-6df868db8a63,
Big John Russell,SR,4c0705a9-5c14-4e55-b5dc-9c8bd847b735,
Johnny Miranda,SR,c05a9d63-85b6-40b1-a855-346f0b2a2b54,
Saramaccan Sound (Suriname),SR,59e03d33-0739-47fd-8fea-63a426ea07f5,
Surinam Rhythm‐Makers,SR,203ff207-6ffc-4501-8876-ae56c559a212,
Aptijt,SR,747c9929-c45e-47a8-9554-a1ed7f0e05e7,
Morrighon,SR,6f3f3a04-4516-4d2f-a85d-24435ce2ddbb,
Yakki Famirie,SR,f0359030-96e6-4c32-8e04-f33171244c16,
Xillan,SR,537428b2-f1e6-4814-89c4-e5755b5b8402,
South South West,SR,9e301057-99f2-4bfe-8ec6-d1caf64ac67d,
Sonora Paramarera,SR,74413fea-7773-4fc9-a721-5c645a3e8f43,
STRÉ,SR,10bafc6a-7ebc-4ee6-a00f-b726e01a3a5c,
Roetoe,SR,e3d539a2-bc4c-4520-8a9f-345a5ea5c07b,
Eddy Assan,SR,a0e7fa8c-2516-469d-a522-0ce3d81a5881,
Asgar Koster,SR,01f8149d-386f-43e0-ba94-acbc877b4100,
Raff Chanco,SR,b2392569-b3e7-4594-b930-768588b3700b,
Kater Karma,SR,059fee52-1dad-41cb-988c-444b89e9ee73,
Lieve Hugo,SR,81b769cc-95be-4b6b-a963-c50aeb99fdce,
Ragga Menno,SR,c9b3d228-41f5-4090-9dda-e2d5e7a4a051,
Asa,SR,098f57f8-e41a-4634-83c5-ae99966643ec,
James Francis,SR,17167bcb-317d-4097-a10a-83e8f7948d5b,
Combinación Suriname,SR,9d20b543-96e1-472b-9bf1-bf2fe99f8d87,
Clarence Breeveld,SR,363e9822-a1a4-46ed-be8c-5119d17ead3b,
Harto Soemodihardjo,SR,40241f88-fe53-49b2-b1af-430a69e6005c,
Iwan Esseboom,SR,d93bd2a0-1b37-44ef-93c5-cdfc751a0a98,
Arubian Brass Band,SR,d398cc6d-fc3c-4a13-b9a0-00ef2f815ead,
Shahied Wagid Hosain,SR,3a31647a-e2c2-4a63-a570-2b80e92d219f,
Eddy Gaddum,SR,7a64243a-7940-4f7d-a292-ec0ec1c630ef,
Kid Dynamite,SR,12ad3293-3b49-4efa-8c49-b59c55c84b4b,
Armand Geola Baag,SR,98ee440c-2306-4d21-b0ab-de219d159775,
Johannes Helstone,SR,5bbef047-4af9-42c0-aa1e-47e33d1fded0,
Carlo Jones,SR,b994cb33-abd1-4767-b375-75ec82e97aa0,
Ramdew Chaitoe,SR,bb167428-f1f1-40f1-8090-5269d4d38a19,
Ewald Krolis,SR,ee34dd19-db23-4bbe-a4db-2f710392a222,
Eddy Snijders,SR,2723cd9e-c264-4f8c-80d7-2e39b920fafb,
Herman Snijders,SR,f9ea1be1-e802-4067-bb99-3c63727343d9,
Dropati,SR,969f60e5-4b89-44fd-b5d1-bc35ff5caedf,
De Rotte Appels,SR,f7694390-675d-4441-b3ec-831a792276dc,
Luguber,SR,28fedbb0-4eef-4851-8d5a-e92ca0996e8a,
JunglEX5,SR,55fa40a1-b3d3-48a7-ae2a-9575495eebdd,
Baas Mal & the Surinam Boys,SR,ca8dd84e-b38a-425d-91fc-4c1cd9967e04,
The Surinam Kaseko Troubadours,SR,a54e3e54-52e3-45b6-8f52-4e745e12a58a,
