name,country,mbid,youtube_channel
Emmanuel Jal,SS,0ca5108c-fd3b-4de7-93a0-da7666a39c3e,
Gordon Koang,SS,cea8ee3c-06d8-4eee-bb55-cea258ac44da,
Barnabas Samuel,SS,275773f9-4462-4ccc-b829-c43430176c7a,
Wayo,SS,8a9bb238-46fe-4782-8f07-279ddf6d8027,
Jaiksana,SS,8816400d-37ad-4526-a50b-60f706589242,
King Black Shine,SS,b8db0473-037f-43d5-a2e1-38b0d0a96874,
Lapsanova,SS,b7d03849-5897-494d-8c0c-9bdd02a41a5c,
Nyaruach Jal,SS,437b68d7-8ad1-449f-83cc-d956b6b70ff8,
Mary Boyoi,SS,5318c1ba-5c70-4fb4-bbbb-55fdfa16c096,
Myron,SS,89ce4160-b116-4e0e-840a-684bd1f91db9,
Garang Wachbaar,SS,ec954ad7-abec-4c17-9345-486fbcc811ca,
Remy Boy Rj,SS,3edda76e-64d0-40a8-9674-79ddbf0134a6,
