name,country,mbid,youtube_channel
Calema,ST,903df603-76f8-4e39-9c3d-c1d15377ae91,
África Negra,ST,86174c3f-3ea4-4348-a6b2-ae47c72490e5,
Juka,ST,165f1511-c7d4-48d7-88b0-18391d1f411e,
Pedro Lima,ST,29436b0c-a84c-4110-aecb-33eec3fd4dae,
Sangazuza,ST,e8c9be81-9297-4598-9368-a5a466320fd7,
Conjunto Mindelo,ST,36737792-402f-4e6b-922b-3ae622b3d5fd,
Os Leonenses,ST,f5dab510-c8b6-4132-977b-b46d3abc63db,
Camilo Domingos,ST,f42c53fa-c2f0-4d24-9a79-8f56478b7a18,
Gilberto Gil Umbelina,ST,25a54592-9ecd-481b-9caa-a98b958bd55f,
Dannylys,ST,c6acde30-dd77-416c-939d-ed49c9de953f,
