name,country,mbid,youtube_channel
Álvaro Torres,SV,1f8c82a6-c2de-4c41-a568-4af536f83868,
Apes of God,SV,ba2bea61-d9d1-4384-ba31-e4d50111d7a0,
Conceived by Hate,SV,b7c6eb3b-3a13-44f5-b214-297bb712bb4a,
Social S.S.,SV,6c1fba20-0eca-4838-9f13-0cc4c62f39f2,
Assfixia,SV,2d91f9b8-7f1e-4188-85d1-ae3fb1553488,
Hazardous Mutation,SV,994b4158-544c-4c84-9289-896fd2a08399,
Dreamlore,SV,db8fd4e0-4674-47d0-9fc4-31e4640362af,
Torniquete,SV,9cd42103-5683-4969-b03e-893b7b054d26,
Clair de Lune,SV,7e20f89b-f67d-4408-bab4-1eb4319c428c,
Demonomancer,SV,63b60166-822a-4b13-94ce-8f33a5fefad7,
Devilenz,SV,0d548d8e-8992-4b9c-9e3f-478c10de994e,
Astrolabe,SV,7e4694bd-73f3-4a95-b229-7595d56338ef,
Fleshless Entity,SV,e59b2420-8c6c-4903-a3ed-d69bcdd10f87,
Reactor,SV,33f7fb0a-d3cc-44ac-8058-3ba0338e7ef9,
David Lizama,SV,088e6956-6230-4373-be2d-5cf83504466d,
Emohrs,SV,90e9cab9-57df-4cd8-84a7-403a14edb7ec,
Hielo Ardiente,SV,2e600b98-9d7e-4119-9bd3-f7aaf9c20e34,
Brave Music,SV,91fba488-7efe-429c-b9a9-840bf87d6e4e,
1932,SV,6b234e56-bfb6-47c7-97b6-f2566f8234c8,
Eärendil,SV,bb1d81a0-7fda-4341-b33d-13366f04d04b,
Maldek,SV,97b3ba71-41fc-4eca-bcbb-61f7cf691da7,
SargarSturmer,SV,2da1d897-1559-4ca9-bcac-536d8810fd70,
R.E.D.D.,SV,e0a4deb4-ee78-4ac0-b95a-e84bc4c07b84,
Hex,SV,f3abb84f-e6f0-4083-979d-c8459dbc9b3a,
Opoxori,SV,d6a0f2b7-9681-4e83-8938-db977e591c26,
Imperial Kommando,SV,bd45d850-1051-49f4-9343-517a37021a7b,
Genetic Disorder,SV,b4464a97-4e8d-4c62-a78f-d69b6f42d630,
Pescozada,SV,f7bd6f0d-0383-441d-a895-02118efbc9ca,
Bobby Rivas,SV,4decc1c9-b410-488b-beef-3384dc4783ef,
Carpatos,SV,c8cdba8d-c210-4636-bb8d-1cebfc9dd520,
Almas Gemelas,SV,a3f8ee67-a14b-4461-b454-7a2d46a1fc83,
