name,country,mbid,youtube_channel
أصالة,SY,94bf8ccf-61ea-4aa7-a273-b22184aa718a,
عمر سليمان,SY,09f79b92-fd07-482a-88d9-a335240ebb7f,
Ensemble Al‐Kindî,SY,71a02caa-63a7-48a8-9499-45428038c440,
George Wassouf,SY,67541793-5159-4f0d-a3a0-6b96163933f3,
صباح فخري,SY,c563f74a-ebde-4c22-a8a1-b82108738046,
Lena Chamamyan,SY,6bba0cc9-74c4-4a83-8171-a225726e9644,
Tarek Alarabi Tourgane,SY,3146e931-6a11-43fb-95a7-886371337e39,
COBRA,SY,4c934181-0dcc-4185-8008-af16cc5f04a5,
.cutspace,SY,3b863ed7-d02b-4935-8f4f-76d32125af81,
ريزان سعيد,SY,a7c79451-b1d5-4fed-836a-c307943af753,
Hamza Shakkur,SY,deea2d27-ff62-4ad8-8e19-cb7e48df1fd5,
Nassif Zeytoun,SY,262eb097-fcfd-4fca-a8f4-7f2fcf932951,
Amer Ammouri,SY,e6c7ab4f-8729-48d7-aae8-85915bc546bf,
فايزة أحمد,SY,9cc3cfd3-ebd5-4f6b-9913-367cd76acc82,
Dima Orsho,SY,c9661c0a-68d2-4b86-9d33-3f8a08f25704,
Ebdo Mihemed,SY,8f742db3-819e-4ff1-a86b-014e2ee6af26,
Saad Al-Hussainy,SY,532c3bff-3717-4338-b4ae-5cab2293d344,
Netherion,SY,18bf374e-21bc-46bb-88bd-d632d6710376,
Mihemed Şêxo,SY,4d2a36df-6e4c-4842-9be9-86fe8a8fc58d,
Selim Sarwat,SY,e9ccce8f-22f7-4e42-a57a-fb94d3ec2bc7,
الشامي,SY,3df2cbde-000d-4d94-a4d5-fd15e4b7aecf,
شادي جميل,SY,76b13b51-82e8-455d-ba44-923f564aab18,
إطار شمع,SY,4dd504b8-a577-47a5-a5f9-f70141dd6efc,
صبري مدلل,SY,5934f0ab-4432-43d8-bda1-a51a944b4c74,
Anarchadia,SY,9dd96852-b605-4557-940e-038d98c14e24,
Joe Ashkar,SY,f8df1096-a808-420d-ba80-aee86d7557e2,
Nour Mehanna,SY,2009f5d5-b46d-49a6-862e-f6634e79f45f,
Salatin El Tarab Orchestra,SY,37933824-015c-4f7d-b55c-f2d07c0a79e6,
Iyad Rimawi,SY,4fba2e16-5dcc-4aa9-ade3-aefcd7ccdfec,
Obay Alsharani,SY,348f1c5e-8b75-4945-8b0c-7823bc5f4bca,
فؤاد سالم,SY,c5e614bd-f2c3-4932-bb33-5ae7c1d237fa,
حسين سبسبي,SY,d03f12d6-9303-4f67-963f-0256062440a6,
Khebez Dawle,SY,7830bc22-bcd0-480a-a57a-7120441612aa,
Ambrotype,SY,b83cd680-784e-48f6-b79d-3a6f366a49df,
Rasha Rizk,SY,d3e72575-776d-4b0b-8f89-3f7a018ea732,
Ecliptic Dawn,SY,5949ff1c-314c-4439-97dc-bcbf31897503,
حازم الصدير,SY,6b44adf2-2c58-4a97-9441-791bf2e67e99,
V. Rev. Yeznig Zegchanian,SY,adfed55b-6072-4e41-b4a8-10a34fc3afe9,
Muhammad Hakim,SY,789dbfd9-7fb5-48c6-8bbb-380fc2d760b7,
Adîb al-Dâyikh,SY,84e52a0e-ca56-4c11-b687-480b1c142d48,
Abidetherein,SY,41a698cc-7c78-4f72-a923-303922559e44,
Hossam Jneed,SY,1408ff05-f0de-4863-8bf8-5b9d781c0e99,
Nawa,SY,ffecbdba-8c5d-4a12-993a-f85db91d5632,
Wafeek Habib,SY,2220d030-3544-4e10-a81b-a1ffddc46ccb,
Damascus Musical Group,SY,d805a894-8610-411c-8c0d-399ad17123ff,
Somar Ajalyaqin,SY,f589dbb0-9858-468a-ba4e-6fc649a38c75,
Crescent Moon,SY,5b424117-a5a8-4957-a744-290241c23610,
Mona Haydar,SY,e4623ea8-f101-495e-8699-a28ba2f850b3,
Dust,SY,d2e093d2-30d0-4a1f-a1cb-2fb08d1e0258,
Leven Mervox,SY,dd65b383-8633-4722-9c1f-05d004b8f895,
Innzmouth,SY,e119d1b2-37bb-458f-a8d5-385facd6d94b,
ميادة الحناوي,SY,3cafc2cc-4f81-44e8-83b9-b374388428b2,
فهد بلان,SY,751277fd-b5d2-47dc-84e2-9617feba628a,
MHD Hassan Alsakka,SY,fca3e700-fcb7-42fa-ab2c-dce99d42e13b,
Julien Jalaleddin Weiss,SY,47e4c4fb-f099-4209-92a4-57b3a0b3810e,
Ziad Rajab,SY,f3b2d339-a1f7-47c4-a7b9-eb1ff17e193a,
Blackspell,SY,f256d525-2a8a-4a34-b7bd-8b30aca94172,
محمد أبو سلمو,SY,d6e30af5-187a-4aad-8a90-1268e55b36bd,
Gomidas Band,SY,97252eff-e9ad-45ca-89e6-f80ae95c58ee,
Kousai Orfahli,SY,eb8f1661-4e04-4d52-99c6-f589a4217dca,
يوسف كيخيا,SY,ad5fa785-9f96-4f03-82a1-be51e733ce4b,
Ioannis Damaskinos,SY,6ee9aaa4-b8d5-4dfb-a869-651b98575783,
مودي العربي,SY,4fc03942-e7bc-4fdd-9cee-50817e4bc6e6,
سارية السواس,SY,ca6ea618-100a-4099-b40b-b49e10ca7742,
Rashid Al Najjar,SY,fef45638-7b3a-44dc-a3e5-08f32f9a3f51,
Louwi Tnnari,SY,90adf87a-6e20-426d-945f-8286b62657e8,
Lamis Kan,SY,869d01b6-36d4-471f-814e-d604862e780e,
The Syrian National Orchestra for Arabic Music,SY,e7f237dd-6f92-4cf0-917c-48b5eac23617,
كلنا سوا,SY,b044e2dc-25ff-443b-a80e-1931ebe0cd34,
Omar Sarmini,SY,33857538-bf24-490e-b7d8-69db8c431155,
Sayed Darwish,SY,7a4e4316-9bf4-40a7-85ef-c5d86d5e88dc,
Layal Watfeh,SY,0d76a734-acc9-47ac-b84a-06ef2af2fa81,
Ebla,SY,513534a0-5735-4a92-aadb-8c9862cb114c,
عصام كمال,SY,010a3dd2-ff22-4fc3-8618-4b51db161bb0,
AlDarwish,SY,842e6d54-c665-471a-9970-aca8cb67b966,
عبد الله شحادة,SY,f22cec06-c1b4-4710-91e8-83204c0e0dc8,
Marwan Mesho,SY,da54d0b2-aaf7-4269-9d7d-1d671a8c12c8,
Ramez Jabr,SY,cbad5d8e-5c63-4e5b-b5a5-4462006cebb8,
Shafi Badreddin,SY,f0995e87-6e2e-4c25-ac09-9df90508062c,
صلحي الوادي,SY,bcbf1221-dec6-4462-84fd-d28abb278ecb,
Nouri Iskandar,SY,0116b51e-5e1c-4735-8bee-c330a8d6c8f2,
Bassel Abou Fakher,SY,6dbbb3ad-44ee-4efe-924b-4bc7c243ad0b,
Ali Safar,SY,3f1776a1-b7a3-4f94-a5e8-27054b3827ba,
Mousa Elias,SY,a001bc24-93ab-4895-9814-3dfd1cf2d7bf,
MAias Alyamani,SY,79635a25-2863-4611-b4e4-faa3ab8a8f78,
Bakri Hemmami,SY,f48363cc-cc8a-4b3e-8e6e-5f710d28c368,
Ἰάμβλιχος,SY,98ee86a9-1413-4ef6-8ce2-eb5d69306355,
Amer Badi,SY,447fc9d8-2f27-4aa7-9237-d33e1c9c6846,
Lubana Al-Quntar,SY,c5205ceb-2b9d-46f9-bd92-0cb453156b86,
Radwan Nasri,SY,bbb9ecfa-51b7-480b-b310-a716a30cae9e,
Samir Kuweifati,SY,61351f09-690c-4aad-b4cb-499c8e8818de,
Şehîd Vîyan Peyman,SY,46b60b09-6471-4689-8668-93df894cd48b,
Riyadh Neama,SY,50120ff4-12cb-494e-a7e8-468f1cee6755,
Amir Almuarri,SY,69e25464-35cd-43e4-b452-32e035128523,
محمود قصير,SY,2d4c32ba-e8cd-44b8-81ee-547331552d94,
وفيق حبيب,SY,998caf16-234e-4b88-9dd1-76a1aa89e706,
عمار الديك,SY,df68eb72-7bbb-441a-a87d-c6c7d9ca8c72,
مودي العربي,SY,da96ab9b-d181-4b33-966b-9dfc7c10cafd,
هالة القصير,SY,1934882e-a8b0-4e55-98a2-b94ce10acff5,
الفرقة السيمفونية الوطنية السورية,SY,4785b5ed-ccda-4ba5-875f-bf0bb65a33c2,
Araduous,SY,87bc5a23-e63b-4f96-ad0a-4d2f8915d242,
Mohanad Aljaramani,SY,d52d3500-8b2a-43dd-8f3b-2b4baf272bcb,
Мистер Босс,SY,fab341d3-7ff2-415c-aa1c-529272d4b1c3,
Radwan Nasri,SY,bbb9ecfa-51b7-480b-b310-a716a30cae9e,
Nabil Khaiat,SY,bd2cca3f-8ef6-4697-8d55-dcdd41f68cd6,
Ephrem the Syrian,SY,c19db5bd-047d-4c65-8e43-b15d41a1fdd9,
سهيل عرفة,SY,55cc5fe7-1971-4626-82ef-c3a695519287,
Ensemble Safwat Sabri,SY,c5b4e65f-c902-465e-9dc0-0ec30f5a9cd2,
أدهم عليوي,SY,d069f718-72b1-4448-b189-ad6fa22974bc,
وحيد فرزان,SY,650f57df-f79a-4eb3-aea8-1ac45d19c4b5,
غالب الحلبي,SY,b418f6db-39bc-4d1d-8b99-f52f132b9300,
عماد غلاب,SY,8560866a-60f0-482e-a033-0dfef6ade840,
لؤي العقباني,SY,a35ab874-4cb8-4e2b-bbc2-979e9c94c06f,
عماد عامر,SY,b9cd6b51-0020-4862-866c-2d7f802685bf,
مارسيل عريج,SY,5a8da3a4-ef72-4fa2-a4d7-a22c0f250cb2,
خضر الناصر,SY,ff0d92b1-c332-4f1e-9614-8147d04c6d46,
علي الديك,SY,0c68b994-a05f-4d40-b111-75e46367c7c7,
Houssam Hamo,SY,84937adb-7b13-4e69-99bb-8b5156b311af,
Eulen,SY,76efe735-b1c5-4ccc-b36d-a18d049d0a17,
سهام ابراهيم,SY,574c931c-7f48-4c98-a285-5626217cecb5,
سامو زين,SY,4fdb5cc4-801f-46d1-b40d-29c7622ea637,
موسى مصطفى,SY,f4aff80f-9476-4927-a863-1f82a0550a5c,
نانسي زعبلاوي,SY,98589612-a3c7-4b53-bc7e-b685b696dec3,
نور مهنا,SY,45fe02eb-ed07-4e2c-97ca-fca40fae8acd,
Rana Ahmad,SY,c33739cb-70bb-4c8c-ad29-adb0ccbdda4a,
