name,country,mbid,youtube_channel
Bholoja,SZ,a9fd78ee-70cb-4d29-b1ec-e92b99659922,
Franck Camu,SZ,af6763bd-a442-450d-ba5c-2eba442f861f,
Franc O'Shea,SZ,0807d1c0-1bf6-4577-b292-d27620e307c4,
Tk Khumalo 69,SZ,cfda1a54-1858-47f4-b98a-76e9a1fe454e,
Andzig De Rular,SZ,184b7136-72b8-42fd-a929-1f1cd9c1de77,
EL GARDO,SZ,5f3af5ff-0a92-4fdc-9abd-10b9a4bbdade,
Sleek Ace,SZ,d6d1fdfc-5bf4-4381-8d75-6034f1c8f5b3,
Beko The Storyteller,SZ,df217729-3cde-45e9-a625-4c6aea8f9880,
Zaza Dlamini,SZ,3089f21a-e905-41b5-b6de-d4cf3ba1c990,
Elangeni High School Choir,SZ,d318f767-06ea-4da1-864d-f300bec5faa3,
Benjamin Stash,SZ,5f702d9f-aaf1-4b4b-b477-42460e73d9e4,
Tendaness,SZ,845402b8-0415-48f6-89b9-55a4b710330f,
Cleopatra Gcinekile Methula,SZ,ad2b1a8a-b276-428b-9f9a-87864bc69b63,
YUNG TAGGED SOULS,SZ,2a78c1b4-8bf3-428a-9ffc-d15ca184f56c,
Dusty & Stones,SZ,00afb786-fda6-4748-9ac9-22f54e915b49,
Mario Mantese,SZ,e5cffc61-2d60-416f-838c-0d24c3415dd8,
M.Seth,SZ,275e4ce3-85c5-4663-83e0-a9c75d79460c,
BoB Musician,SZ,fd295c17-28c8-4abf-b3a9-ef5fb03a951f,
Dr. $tuart the Rapper,SZ,fa3fff14-e14d-409e-8894-7a3fc827695d,
