name,country,mbid,youtube_channel
Mounira Mitchala,TD,b8032597-0f8d-4e7b-8704-3a5e15ac9248,
Talino Manu,TD,7e5e31ed-738e-462f-9e1e-ffded2ac1d46,
Abdoulaye Nderguet & le BEX'Tet,TD,7d37b55c-4331-4109-8645-dd97cb72ee5a,
Masdongar,TD,ff15c0cf-296c-45d9-b8f5-4e0deadf365f,
Maître Gazonga,TD,36f70d7f-1d55-4930-9530-1c239409a51a,
Cidson Alguewi,TD,b2f7967e-8cad-4e8b-829f-1e5ef420cc3c,
Les Sara,TD,ce25855f-153f-4588-8e57-e40765c210f1,
Populations Islamisées,TD,15a73e8a-1515-4d7c-a7d6-335dcd9fc56a,
Golden Sonik,TD,229e9db5-382e-445a-9554-175265a0e1f3,
Mayo Kebbi Occidental,TD,c6ba6d8e-6c96-4f93-9a02-2cb1129f75ee,
AfrotroniX & Abdoulaye Nderguet,TD,1f119211-fa1c-41e1-9f04-e8d89eef8716,
Koularambaye Casimir,TD,d4cfd615-7ca7-4df5-8242-22578ef5b6e3,
HPSEVEN,TD,d11d4b35-ed38-43fd-9472-24d8f84bdd7e,
Chad & Earl,TD,5c9d6f29-a4eb-4721-b882-874f4c88be49,
Fiire B,TD,48e15d32-37d5-4831-b965-0cb0a83bd43b,
Djams 4Real,TD,2923c415-22d8-4b07-aa8f-dae6138828f3,
