name,country,mbid,youtube_channel
Roger Damawuzan,TG,e40eda09-e7c7-4b5a-8bf2-f6f3820a4fbe,
King Mensah,TG,d4fb7a7a-1112-4f4b-872d-be2876387e01,
Amen Viana,TG,1560f05d-a270-4201-9610-b2c266fd12cc,
Jad Fozis,TG,7bc3527c-6eda-4825-ab00-a0633d6c2caf,
Arka’n Asrafokor,TG,fbfc6561-cbdc-4161-a30b-2c15893023a0,
Elom 20ce,TG,d5af6d6a-c333-454b-abfa-cdaee34d70ce,
Bella Bellow,TG,c8102e4c-f37c-4ba0-8d33-534ad0558a05,
Orchestre Abass,TG,e901f4ad-6f9f-4470-8af0-95c1f10cdf3f,
Afia Mala,TG,220a92b7-5307-41cf-9928-51f53e72c88d,
Petit Clément,TG,0e0a14b8-f098-43aa-beb0-f84686556efc,
Dogo Du Togo,TG,14416e34-70da-4e90-8523-b4cca3925f03,
Cos-Ber-Zam,TG,975cfb63-1ca4-4c73-972d-e18658d23868,
Wellborn,TG,c4de6ab1-8b44-4d79-a311-9f281c5dd826,
Gaba Aho Foliwa,TG,567849fb-c461-42e1-ab08-c540afd0b505,
Lakoélé,TG,d4ddc049-a2f6-4731-9fde-72b0c33a50dc,
Abitor Makafui,TG,197175d9-58f5-41b5-9266-7a59b80dad92,
Dela Delali,TG,332d2cbc-bd15-4b37-b55f-53b79eec2dfd,
Dodji Efoui,TG,9005ea5f-eaa1-4304-b04c-8643d5fdb4bf,
Bestial,TG,410f2159-d5a7-4d6d-a0b1-7380d987e41b,
KanAa,TG,45c10b24-5c04-4eb5-801e-96686f2d3cfe,
Binho Capone,TG,05079103-27fd-441e-9e12-61a7eaf5e975,
2CO,TG,c371d729-d339-46cc-8f8e-5be3a2fb7dfb,
Noire Velours,TG,bf945095-6432-4762-a0b0-39ae956cb1ce,
Farida Nabourema,TG,69338262-d921-4cea-a014-90fff0d8ad0a,
Zeaya Ka,TG,3b88da49-f7df-4179-a10e-6ffc22010fc1,
Omaw Buame,TG,1736f488-9c28-485a-bd0f-e1624b7275f1,
Les As Du Golfe,TG,36d670a2-508f-4941-b28c-dd0f9b26d991,
Eddy Mufasa,TG,329e3a02-6c98-4c6a-a096-3ec65fef3dc4,
Blacky,TG,dd2183cb-eba6-47ec-97f5-2570cfd92ae7,
Adjoa Moon,TG,dc2aae2d-21d3-4ed9-8424-4b79c9024a38,
Momo Kankua,TG,bdd9d2cd-a3e0-4776-81a7-f14be250e586,
Papyrus,TG,eb81e600-b382-4056-b57f-5b56d22480c5,
Sénamé Koffi Agbodjinou,TG,c891b813-be66-4979-9b7c-7bc479d52a96,
Ras Sankara,TG,48c6250d-498d-40b2-93c7-2d3a3af9c823,
Ayamey,TG,71dd37ac-f127-46af-a1b9-8702b34f2478,
Dhémanane Kafechina,TG,776619bf-7913-4a2a-bc2a-3f1bac844607,
Mass Aholou,TG,897c2738-db32-409f-8e69-d58f81ec1e4e,
Djanta Kan,TG,2ffc5d23-7780-4190-bafd-0784f2198048,
Rock Ahavi,TG,86ec54ee-2843-4c83-99c3-879a7a4608a4,
Richard Cico,TG,0e272a19-47da-48f5-80b0-c4fbd6dc5ca6,
Enrico Ahavi,TG,367fe78f-a8b7-4ffc-bb1a-c9adfdd3516b,
Francis Amevo,TG,cbe6a365-fdee-42c4-999a-00a2e83d0fc3,
Masta Just,TG,3ed52901-9409-470d-947b-fb588820ff90,
Barabas,TG,4f823e13-e541-4fe6-982f-5ca00a5f87d6,
Barthélemy Attisso,TG,1a661d2a-b3d0-40cb-ab7a-83555818181b,
Mr. Kenou,TG,3702ffe4-0b2d-4cf2-a047-b7925506e390,
