name,country,mbid,youtube_channel
Абдувалӣ Абдурашидов,TJ,c5877e1f-c8be-4228-8cb0-b50f78570d09,
Shams,TJ,ceba4891-3cf4-4f9b-919b-23b69f885998,
Oleg Fesov,TJ,2372b15b-e404-4c46-abb8-2636bcd85d0c,
The Alaev Family,TJ,4c52e517-f060-4527-989e-c4c813bcdc60,
Daler Nasarov,TJ,30032492-850d-46b3-957d-f268b99458a9,
Farzin Farhadi,TJ,bd51128e-971a-4d12-80fe-9a0f1f519805,
Давлатманд Холов,TJ,bb8f4dde-4b81-4692-8de9-4c3fe4ef0ccb,
Муқаддас Набиева,TJ,ff8392f6-2b43-42b5-bafb-7f9c9414aaea,
Jinn,TJ,d4e8d133-dbf7-4237-9a9a-35e09c7d5fd7,
Spawn of the Matriarch,TJ,bc6b8fe9-7b6c-4e19-812d-09cdcf045369,
Jurabek Murodov,TJ,3c54dbb3-0529-4ce2-96f6-0303c6a9f67c,
Sitorai Karomatullo,TJ,2edb3554-9938-4758-b63d-b805afc18fd8,
Аль-Азиф,TJ,813354d3-c893-42a9-8612-03dc63f1753e,
Red Planet,TJ,67291585-02d0-4939-bdff-6bc2e4d3508a,
Gulchehra Sodiqova,TJ,efa75863-3e99-4f7e-b503-9aedbd8d8f34,
Muhammadali Orzuev,TJ,87565e52-43ef-4bef-a7f6-c63518ec7ddf,
Deep Inside Us,TJ,732efb8a-3eba-43e4-864c-3e2926ec5717,
Maisara Dildorova,TJ,3b2b7bfb-c1bd-4077-b7d6-256a2e11a6bb,
Samandar,TJ,7e9ff5e8-92b3-4c47-b5be-171de3ffe057,
Nobovar Chanorov,TJ,8a5e64a9-de7e-4eff-8901-d9f2f9952851,
Shams Group,TJ,89b72558-1b5e-49a3-833e-5b911e4b7ec3,
Хурмо Ширинова,TJ,78d702a0-95b9-4462-9e82-85c453c306e6,
Sa'dullo Niozov,TJ,76a7cb1d-8eda-47e7-86f4-7506856ec6c3,
Sharif,TJ,7756e138-4d9a-449f-8833-55c3cf587230,
Panjshanbe Jorubov,TJ,932c97f0-e5f1-44bc-a0fa-c015d6bc5f27,
Farzin,TJ,c0493d75-28ac-482a-9133-aaa2cfbbb7e7,
Shabnam Suraya,TJ,c9d27c67-1f53-478a-8670-6ebe82d58dda,
Dal Studio,TJ,82621b0b-f96e-4d62-9c22-3db8870d2422,
Sattor Fozilov,TJ,3f0c0544-744d-4c23-b210-72e1468dd5b7,
Furkat Niyazi,TJ,e52bfa06-ed61-46dc-a65b-564600846296,
Ҳороғ Рок Бенд,TJ,e2ddc59a-fe40-4c17-8c94-afaaadcac6b5,
Aqnazar Alovatov,TJ,8853dba1-d9a2-47a9-abed-1195ee5d4f43,
Tolib Shakhidi,TJ,c1342ea8-bcda-4f25-ad0b-7f2630ec4497,
Anubis,TJ,48c951b8-3ecf-452a-b89d-85f3fb7b5d66,
Hotam Hokimov,TJ,98b2439a-9342-4171-a713-e6261b3f50a6,
Shamsullo Timurov,TJ,ec2d5d37-9c62-45ea-b091-7e6ec2a8e35a,
Zebi Odinaeva,TJ,53c38fa1-9025-4c69-bdd6-f75ad3c09ccf,
Muhammadvali Hasanov,TJ,96be6e37-dc62-46cb-be2f-90603d53224f,
Bahrom Qodirov,TJ,b6263ac1-2e2e-423c-bb28-d7335817fb3a,
Rustam Duloev,TJ,e737bb9c-882f-4f82-9368-a0c2bb57cfec,
Parvina Shukrulloeva,TJ,fa75c635-c415-45e8-bcb1-965b1aa99548,
Abdufattoh Odinaev,TJ,d878e38a-3b53-462f-971b-2ebdff1b7227,
Abdumumin Sharipov,TJ,2bd37717-87b6-4df9-b243-33228018faeb,
Mohammadvali Orzuev,TJ,20812af5-2bc1-4a53-93b9-2ac275902641,
Asleddin Ghafurov,TJ,528265e0-3a97-4803-81dc-b1bc6309d87c,
Manizha Davlatova,TJ,bc5bde22-fe4d-427f-8b77-482c2aa180d0,
Usumonali Rahmatov,TJ,cb385891-cf8b-485b-8d9e-d7165ca55760,
Hakim Mahmudov,TJ,12fa5aa7-e053-4f84-a6a6-88391ad606c9,
Sharoffiddin Shaifiddinov,TJ,2297bcda-ea8f-418b-a282-e51e75928029,
Murodali Nuraliev,TJ,e5b664a8-6479-4427-81bf-0c670f1f022a,
Iskhak Gul'karov,TJ,68506173-e734-4c26-871d-a0623b6b4c2a,
Abdusalom Sharipov,TJ,40f3eb1a-87c7-42a5-88ac-64027c03df0f,
Khamidokul Dzhumaev,TJ,2103d1fd-72c3-465b-b937-3c28ee01971f,
Badal Boev,TJ,7088e87c-6eb8-4d53-bead-331ee82a260a,
Goltchereh Sadikova,TJ,2a3b5538-258a-4515-b055-23069860d661,
Benjamin Yusupov,TJ,db5d7af0-3970-4d1b-b75a-28dfc6dd8c80,
Daler Khonzoda,TJ,ca4a3607-49a1-4ffb-9693-2b5072c99590,
Mardon Kamalov,TJ,418a8111-2528-46bc-993c-5427406d78d2,
Nargis Muminova,TJ,50ca4631-61c8-4369-a769-9c849292c70f,
Feiroz Hakimuv,TJ,46a648dc-1c3a-4da4-9556-4187846eef71,
Olim Shirinov,TJ,1de46b92-f2cd-4d1f-a28d-0a90fe3e0a28,
Opera Orchestra of Dushanbe,TJ,db1cd69a-4e0d-4a44-9f8d-55cb8f4033fd,
Daler Ismailov,TJ,57ed7467-eca4-4624-be05-08c8e04432e7,
Alexander Mikhailov,TJ,910e39ea-9308-4003-983b-97e3bf18951b,
Zafar Nozim,TJ,10fb87a2-ccee-47a7-b56d-97fb6a8e5767,
Alisher Zarikov,TJ,1b297300-075d-413e-9f45-ee9e706cd6c9,
Alisher Saifullaev,TJ,4ea6bf0d-8839-42c1-b4b0-989ba3021134,
Maksoud Toirov,TJ,fb1b171a-e904-424e-aa70-0ffcc4bc9476,
Jack Rock,TJ,8e082c73-5c5b-4ff6-b9a1-8d6bc5934c9a,
Sohib Nosimov,TJ,505cb961-7196-4eb6-b844-c4e3d534968f,
Ilchom,TJ,a91908f0-9fbf-451c-a1a5-751a49a0cca5,
Vladimir Yumatov,TJ,2aad8df2-ed1e-4628-8207-215adb17241a,
Oleg Tanin,TJ,804fde68-1a3f-48a7-8d43-7ee75732d286,
Muboraksho Mirzoshoyev,TJ,53222b11-90f6-4d8a-bef6-ab589d816987,
Sukhrob Nabiev,TJ,ce2a5c38-ff34-4af8-8d69-c0aac3e49526,
Fatima Kuinova,TJ,7baf5055-0692-4925-91a0-da2f8bafeab9,
Ziyodullo Shahidi,TJ,3066beba-f302-4a27-887b-65e3a890027d,
Iqbol Zavqibekov,TJ,17157985-7030-4e7f-9762-b4366f29d46b,
Lutfi Kabirova,TJ,6dd2df4b-106f-4e7b-9b1c-746ac90b6d40,
Karomatullo Qurbonov,TJ,93731bd2-9520-475e-ae9c-30f1a527b04b,
