name,country,mbid,youtube_channel
Ego Lemos,TL,de74cd92-30d7-4d72-a19a-d52649f5536e,
Anina,TL,ca18dc28-adde-4f52-af2e-bc1a33689503,
Lindo De Almaeda,TL,1121d399-3766-4525-b84a-3aaba5b61871,
Klak,TL,1505f08b-060e-40c9-9625-55e38f53de81,
Juven Pablo,TL,2d19e72d-46ce-4637-95b4-c07154cafbe9,
Aires Santos,TL,e358397c-7dfc-4ce1-be83-23ff237d5e5e,
Anin Murak Choir,TL,6501929d-c71d-4fe4-9040-733a49762937,
Osme Gonsalves,TL,11aa59b1-f824-45aa-9d4f-c1883fd51ebe,
Lahane,TL,6512d6e2-84ed-4cc6-9787-0f52995c3c5d,
Emiliano Pereira,TL,c563f0dc-97e9-4464-82bb-b19adfd93011,
Kenny Figueredo,TL,2995c820-3e3b-42c2-a9c8-afb571af9e99,
Valério Rodriguez,TL,59a9e98d-a79d-48ca-ae42-859e654cfb41,
Pedro Borges,TL,f0ca9c83-4d7b-4c4a-8770-f730fec117a6,
Jovi Menezes,TL,f6aed51d-bb6b-47a0-9759-a6bad058c8ff,
Lelio Francisco,TL,36701287-da92-4e78-a336-baaf3e6fd360,
Ano Peji,TL,5e714323-8b50-4dfe-858f-00dba954a0dc,
