name,country,mbid,youtube_channel
Serdar Haýdarow,TM,d3d8c697-aafd-4588-b6b1-daa59f339846,
Döwran Tokgaýew,TM,2dd25cdb-f2c5-4baf-aede-8dc488fa623d,
Ashkhabad,TM,0044af47-5990-4c11-828d-b301f13c23b8,
Гунеш,TM,3f26b6ce-45ae-4aa5-bf91-7f78ce1553d4,
Mekan Şalmedow,TM,828aa00f-a4e3-46b9-8950-14bb2b21081a,
Relicts,TM,dad624d8-a61d-4932-93bf-74a94b88cb32,
Sahy Jepbarow,TM,7c0abaf2-08da-4f86-90ca-cc7ff015c548,
Amalia Zehin,TM,7b847286-a4c5-41d7-b242-cc86e2153374,
Atabai Tsharykuliev,TM,d6b3bf8f-9dd5-484a-9b48-2f39a32d8d17,
Laçyn Mämmedowa,TM,4c5a26a0-f60b-417e-9dca-b118707a2da3,
Gülşat Gurdowa,TM,c22afe4b-64a8-4b9a-abf4-e5faf39c4b3d,
Фирюза,TM,012afef8-592c-405b-98e2-2ea568d08a79,
Shovel on the Corpse,TM,20ad0241-0e39-4b2e-acaa-c58b3e8d1265,
Toýly Bazarow,TM,7e188d45-27f2-4367-a07a-3c31d1680094,
Duvel,TM,d47df452-5d27-47d4-bc6a-2d739aee23d3,
Aylara,TM,34b6e8bd-a962-4096-9401-f816c4ff36fa,
Myrat Molla,TM,ff9ed5f6-e5ea-4d1f-81a8-bc5f97ef496c,
Veli Mukhatov,TM,190a81f7-3e07-438a-9d31-d2c4f4587ee7,
Deulet Khudaiberenov,TM,b983d934-43ea-4d80-9010-00a377e33e4c,
Meulam Nureyev,TM,2eed46a9-84f4-4535-83ba-c1ff1bee4e7b,
Ayjemal Ilyasova,TM,757fa49f-d6c3-458b-a8d8-2549085b1967,
Yagmyr Nurgeldyev,TM,b8b33017-efab-44ea-9209-6d8f2127a892,
Jemshit Batyrow,TM,3f057f75-4f72-4272-b036-6f5bf7697517,
Аман-Дурды Агаджиков,TM,5b323a4d-8426-45b8-86bf-d95ad908f8af,
Saparmurat Niyazov,TM,c7762128-9b4d-4330-8ba2-3bbc8543b924,
Махтумкули,TM,3cf95b00-73ad-450a-a93d-e2283de336dc,
Gassan Mamedov,TM,65ace18e-14f8-4020-9eb3-a747ca6c2500,
Aman Kekilov,TM,3acc8b38-a2c4-4cd2-837a-26532d5cc3b4,
Sahydursun Garajayewa,TM,007f1d71-7922-4d35-810e-aa4760ee8c1a,
Yhlas Annageldiyew,TM,1ee84ace-2c21-44ba-a4c7-7811984380ed,
Farid Garipov,TM,b948e980-7b85-4956-b7ea-246645633e6c,
Vitaly Romanov,TM,c268a5ad-aec6-4f85-984b-6d17d460d776,
Çynar Öwezowa,TM,3a40db51-e6c2-47e8-a5c8-bdea5235500c,
Parahat Amandurdyýew,TM,5297abe7-30aa-448f-ac50-01e973b6146b,
Seýitmuhammet Hojaýew,TM,df84b85c-795e-409a-8ce4-50e5790a1eff,
Gözel Annamuhammedowa,TM,167e3ac0-a781-425a-96c2-dad902245211,
Равшан Нобрузов,TM,997d21d9-bc1d-402f-9051-0035dbb7a03d,
ABM,TM,9e251081-6b72-4f6d-ae2e-e9861c6a3a0f,
FIA,TM,8c0e0326-acb5-4330-881e-9ff3749af4ba,
Atabay Charyguliyev,TM,a2e318da-e766-433d-92f7-5fcb4ef32e3b,
