name,country,mbid,youtube_channel
Anouar Brahem,TN,1ffab459-9b77-488d-b224-49a9e730a41f,
Amine Bouhafa,TN,945ba3f3-20f0-41de-ad9c-c62258ce4980,
Myrath,TN,a0c61019-6f4a-4313-9c43-57df14ab4dce,
Dhafer Youssef,TN,e193397d-a888-4b4d-b11d-2a602c24b023,
LANDOLSI,TN,4432f07c-addf-4e14-a67c-529a32152494,
آمال المثلوثي,TN,f8c63f5f-4329-4511-8fe4-d8d8f146f455,
صابر الرباعي,TN,9ad48f85-bd75-4291-a5b7-99f1ecbab7d5,
لطيفة,TN,5bd3a41b-17b0-42e7-8218-e5794d99d41a,
Deena Abdelwahed,TN,b0e2365c-8c2f-4eba-bcae-592bc45e6d17,
Azu Tiwaline,TN,bf672d47-018b-4207-b987-d1cfa3e2b756,
Persona,TN,a1d958f4-189b-40d4-934c-fbd5869bef3a,
Caged Bastard,TN,93ce438b-d34b-47b6-98dd-2ccf5b564774,
Dorsaf Hamdani,TN,8d406c93-9ff1-433b-a92f-8db6561a5335,
Obsqure,TN,2370b08d-c663-4d32-a636-2546ba55d5a6,
بلقاسم بوقنة,TN,bdab72a5-21ec-496b-8801-530fd42a01dc,
Balti,TN,0a79d29d-8086-49d9-add8-204511087fc4,
Hamdi Makhlouf,TN,adba8a2a-7cba-4c66-8165-7a0b34955f23,
Neshez,TN,f70a83e0-8dd1-41bb-a221-6375cb9d2a89,
Znous,TN,617562ea-af73-4b2f-85cb-0ec7d60e76b9,
Ÿuma,TN,92dfab22-d656-44a1-be98-4533759e0773,
El Ghostman,TN,fccb90c2-a0f2-42cd-b589-059e765dc1ec,
Omination,TN,e6616c88-bc3f-497e-9191-9fe6b378465b,
Brood of Hatred,TN,96c01d16-cd97-4b97-96e8-043b43b77984,
Foulan,TN,d163de67-bfef-4730-a03d-2deae99566a9,
اميمه طالب,TN,d724909e-cbcc-45cc-ad22-00c907c03f0a,
Ulcerium,TN,19a321eb-2f54-4494-80d8-b86054e1293a,
Vipa,TN,42f3479c-21ce-4d9e-9472-de2c94cd6105,
GUROS,TN,3850da13-341f-4ba0-8b49-707d3b29a4dd,
ذكرى,TN,0128f259-3118-4ed0-a72e-b12fd9962646,
Cheikh El Afrit,TN,9061cce6-b659-455c-a415-6034aac42e06,
HearThuG,TN,16d901ca-b116-426d-90a2-bd67a36fa9f9,
Zemken,TN,4881dbba-e60f-4d25-a872-45f624951447,
Jean Claude Jones,TN,2a83845a-0f28-4f4e-9a12-0677a385aeac,
Ifriqiyya Électrique,TN,773a6189-5b55-43b0-b646-12ff24f41990,
Wajdi Riahi,TN,0b5240b4-29d3-44c6-bba4-6bc70e0232b0,
Ymyrgar,TN,f97fbdf8-cb3e-47c8-997c-24ee2d0a231d,
Aveyro ave,TN,fc1480af-4a10-4f6c-9d33-72499e3f9a35,
Ghoula,TN,2964bb7b-8ef1-472b-9b61-1ab69037c6cf,
XIIVI,TN,b8245f8f-de73-4f23-b244-c47880801235,
Haze‐M,TN,5b02716d-da7b-450f-b70e-6360d1e6a4a2,
Mastaziano,TN,79783534-283c-4e4a-a367-b2b52cc2fa9d,
Joujma,TN,85b13527-d4e2-4210-a3c1-9bdc3795d88f,
Salîha,TN,f3ce05fe-cb20-4c91-8631-8d659de05597,
Fadhel Jaziri,TN,0e17e56c-861e-4e15-befc-48ad939e4f11,
Fawzi Chekili,TN,5342efd9-8a83-4d36-a4ef-16bf1d84b472,
Lotfi Jormana Group,TN,baa7ad8c-aead-45b6-b5fe-f711e9955430,
Soulef,TN,8aefb939-97e2-4f33-bfc7-851d4ce50f14,
Mounir Troudi,TN,fe5c75dd-17ad-4fd2-bed1-19c259f84a8c,
نبيهة كراولي,TN,0f870558-41d6-443d-b84a-22c0c8ba80ef,
Badiâa Bouhrizi,TN,98e671cd-bc79-4c49-8b0b-2453260541f1,
Bargou 08,TN,74251019-82b4-44fc-b15b-a4a2935d452f,
Dixmount,TN,2a4790fe-f44a-4561-8223-2430c6b86a06,
Klay BBj,TN,076ae3fb-fb1d-4ca9-82a1-52fc440d0b58,
Raoul Journo,TN,4a598c55-0e0e-459d-860b-1d1c21e5fa83,
Gultrah Sound System,TN,8a17c5d3-0ff7-424f-bc24-deada533e132,
لطفي بوشناق,TN,2f5549e4-a738-49cb-ae19-486efb86867d,
Carthago,TN,3b17e100-3a53-49ca-812c-b2025df9caa5,
Sabri Mosbah,TN,fbf05246-b290-4ecb-b7b2-d3b38af19aa6,
Ahmed Ben Dhiab,TN,2258b3fd-16f8-4cd4-913a-342100c0dbaf,
زياد غرسة,TN,27534ecd-d571-44bd-925c-73d356731abe,
Ghada Maatouk,TN,a0b43efe-d5af-47b8-a9a4-b18423d5b883,
M’Barka Ben Taleb,TN,fbbbf539-2e7a-41f4-91e2-4f5f925db293,
Dalton,TN,b79c6dd6-b6dd-443f-8e3e-10150eaac4df,
Walid Rouissi,TN,dcf6c5ea-e854-435e-93fa-367ae7a0c37a,
Mohamed Cherif,TN,0702b164-c244-4269-9d35-59a3b2cf89b5,
Mohamed Ben Hassan,TN,ed2aa298-8852-4050-80c4-e59d6b60c675,
فرقة محمود عزيز,TN,c3358ecc-dff8-42bc-b777-05466cb90442,
Cheb Hassen Tej,TN,8a673c4c-9ebc-40cc-b44c-ffded0b2674e,
حسن الغربي,TN,681b6f21-09bd-446e-b168-fb2ded4dcf6e,
Mood,TN,32cd5005-dab6-4a49-b006-de4a502f5b2e,
Supanova,TN,b39cb1fc-28fa-4e71-a043-5a9c14840521,
Skoutchi99,TN,627b094b-3bd3-4732-aacf-6330f526aae6,
HORAKIGRAPHIC,TN,b142055e-6572-48ca-a4c1-3c527e1c5680,
Primordial Black,TN,7f2d950b-4954-457f-8f99-c2d918e1b42a,
Firqat Dār al-Fann,TN,b4d4f690-d8bf-426a-b4af-336cab1893a7,
Mara'a Borkan / مراة بركان,TN,09b05350-fb73-4732-b772-641471ffd3b8,
Vodoom,TN,08370363-cd4f-46e4-9101-d452345c3595,
Hamza Khammessi,TN,5c238a47-35da-4d3d-b956-114ed936ef2d,
Dub Machine,TN,1d239f86-cc10-4201-840f-97274f4c798e,
Louisa Tounsia,TN,d1771597-da62-4547-bcdd-cccf2bfcca7a,
Katybon,TN,3253f8bd-cc35-425b-a5a0-f483aa468d3c,
TrAppa,TN,439921ac-1803-4747-ac59-17b0a7965e95,
Hedi Habbouba,TN,fb9ededb-fddd-4cdf-ad90-5c26f631627e,
Cheba Ibtissem,TN,1baa9548-090e-415f-879d-2c313864941a,
Youssef Hagège,TN,6fc2dcf2-f7f5-41b4-8b9d-bcff4edccdd9,
Mr. Mostafa,TN,f08803af-63d9-4313-82fc-1eef3b13adab,
Kafon,TN,4507cbe2-cc31-47f3-b13e-6c38968af8a9,
Sipra,TN,b05fb481-ced3-4d0b-81ba-012263bf4f60,
Groupe de Zlass,TN,722d327a-72e1-4111-ba2f-325e9acf638e,
Ula,TN,36027f16-c58e-4128-b00b-136eeefa6366,
MC Rai,TN,fab0b0e7-7c85-4177-b916-d38992bdfadf,
صالح المهدي,TN,96b81349-6919-4870-b558-88d3b0949372,
ElMassi,TN,c4e5f3d3-5749-4b21-b504-92296f0b877a,
Baya Medhaffar,TN,aa441813-b10f-43b9-b75a-99818fb021be,
Mettani,TN,cf35ff33-bb65-4d13-be8d-e8e962b7433f,
Ahmed Hamza,TN,bf001acd-5d66-4a6e-a329-5bfbfdc91821,
Aicha,TN,45c671d8-d85a-4d92-bbe3-8053f027944e,
Samara,TN,aa3d8bfa-81bc-40c3-9df6-03335c813f74,
Ahmet Mecnun,TN,4e5ddf8e-14b5-4387-9acc-6a9abb1ea120,
Cheb Dali,TN,02af9277-6ebc-4fa6-ba83-a40fd2cb6b9d,
Cheb Dali,TN,02af9277-6ebc-4fa6-ba83-a40fd2cb6b9d,
Ahmet Mecnun,TN,4e5ddf8e-14b5-4387-9acc-6a9abb1ea120,
Nacim Gastli,TN,308945a2-541f-4b9e-9bde-7151fcda9f54,
Static Panda,TN,35c94262-cd94-46ca-85c2-a734414627d5,
Ynfl-x,TN,cdb2d6f7-b8d9-4465-bf4e-e95f9ff3e9d8,
Mehdi R2M,TN,e69581e9-1eac-4104-9a04-68b9fe383e7a,
El General,TN,53ccb34b-9b56-4b1e-ac39-782d00ed7a9d,
Abir Nasraoui,TN,7ff62fc2-f93c-4b20-be7d-724543731394,
علي الرياحي,TN,3f6da10c-b2c4-4947-a4f4-367bc6fd1ad2,
Habiba Msika,TN,8f8274b1-4281-470f-a547-ee469f789eaa,
D.I.B.,TN,908ecf9f-b365-444a-afde-3e306e02a3dc,
Shinigami San,TN,9ba3f889-0a75-46d5-9ef6-b115145e9911,
spleen,TN,1fbabecd-5a32-43b5-965e-76e3b8cf1f7f,
NORDO,TN,b15009af-e0ae-48cc-8a06-a03f6bcca652,
Anis,TN,9210eeaa-c308-44e3-b99c-0a44529d9af4,
أولاد الجويني,TN,ccd26962-0232-43b1-a16c-d66318be166c,
نور شيبة,TN,82e78b16-390b-403e-adae-9248e83ac4c3,
Saw Aokiji,TN,2bd92855-c951-412e-9547-4c4b090739c3,
Space,TN,2d274586-dd49-4d42-9121-47656c9208a6,
Sadok Gharbi,TN,ac319924-2648-4e1d-b714-26aa593d1914,
Georges Garzia,TN,c580f553-2010-41d2-b5ce-62e75d4efe2b,
Badria Essaied,TN,08ce9f80-3ab9-4a55-a863-29083afdb7f2,
إشراق قمر,TN,73dbc4d7-f521-4cbc-908f-1a8f36a2e157,
Wail Bouri,TN,4804553d-11fd-41c5-bf69-d0fe3e23c406,
علية,TN,7b5224b0-f13e-4b41-b970-3e6fcb4026d8,
Noamane Chaari,TN,c73b55b1-63ed-442f-b0b7-488b520c5242,
Buried Alive,TN,0dee11ec-c502-4a2b-8001-62fb10bbe480,
Mme. Fritna,TN,c67940d6-afb7-43cc-a77a-26e29dff23b7,
فتحية خيري,TN,e1692679-1576-4dd6-aa64-063d12bb4c5e,
هند النصراوي,TN,ce6a5d9d-aa63-4943-8a43-b8db1b570aa9,
Scoop,TN,c78916f9-9649-47c5-b017-5fdf089b6746,
Debo,TN,87e6f469-14d8-4b75-bcb9-9808f2d0767c,
Artmasta,TN,c8e6dd43-02a0-47a1-a852-e6a618f5889e,
GGA,TN,1497a4ef-902a-49c8-b6fb-7b07a8df8480,
Willy Lewis,TN,fc7462ab-4537-43f3-ac49-415205a4cf85,
Hedi Lejmi,TN,48749b03-6eee-4d83-8f2c-412c5ea6b3af,
نعمة,TN,14002544-bb09-48c5-8641-5c9fdaf0cabe,
Heart Burnt to Ashes,TN,501a9e37-f8c2-4ab6-ae79-a1535d0c6531,
Aly Mrabet,TN,f49fd2d4-8efc-42c6-b045-8c6234975a3f,
Mortadha Ftiti,TN,21a48a8d-6bda-40ab-8bc7-6d5bbf4f0b3e,
Ratchopper,TN,13ecfd75-d445-4dc9-8872-2a9f209b960a,
Larbi Sassi,TN,6bb8b9a5-b68e-41ae-9b25-5b7cadaf0439,
يوسف التميمي,TN,002f4c21-a105-4405-8c2d-7ab6da195134,
قاسم الكافي,TN,19b948a7-ebfc-4f8b-9f2b-a8f63eb55cf9,
محسن الرايس,TN,6806bb9c-3478-4c53-819a-1359eb999399,
زهيرة سالم,TN,a492384f-d58b-478c-9e16-ac3807a7df4b,
Amina Fakhet,TN,39e00556-04d5-4559-b268-3ca67f68ff07,
Dalila Taliana,TN,c6f0d0dc-2bb2-4e1f-8cfb-7f36ed41616f,
Skander Jaïbi,TN,1a6ac037-8002-48ae-887f-56cff26528ad,
Hedi Fahem,TN,138ea91f-eb2c-4de4-9923-3083635dd0e6,
Mash,TN,f35d8674-2f75-4323-9ffa-bf7bd6faa970,
Tawfik,TN,c76137a9-9c3e-498d-bab2-1cad171f472e,
Omar Aloulou,TN,c5ca5272-1a2a-4a01-b283-74c771fe1838,
Mostafa Kölz,TN,206260a6-a1bf-4ddc-ac14-402345322ce6,
Puritanist,TN,2c92859d-8e48-4ef5-bccd-fb38ccf87433,
Set Nourriá,TN,d4a05548-30a8-41e6-8344-6b2683277931,
Zamba Boss,TN,f658e326-e8c9-4a98-9a14-33aa61f2f452,
Moreira,TN,9e1bc78c-d86a-4e6d-9bdf-5c12fca82645,
Mr. Shooma,TN,8576fb92-4bd4-4efe-94c8-630ebbd8f76a,
Mohamed Ali Ben Jemaa,TN,1ea778f8-eb3f-44a7-ae19-b7583d8c28b1,
خميّس ترنان,TN,99f03e55-6de4-4da0-8890-694265c7de28,
Les soeurs Chemmâma,TN,76a1b933-d4cd-46f0-b5d7-e9bed06bf581,
Kamel,TN,a7684941-8cef-48f0-b847-3c1b74017b2e,
Lassad Hosni,TN,16feac18-3928-477c-8be3-83ef2fa9e602,
سنية العرايسي,TN,446b6dfd-9464-443b-84ed-9bccac6cd50d,
Fadhila Khetmi,TN,803e5397-7d69-46f8-8aa4-3f80400cf57a,
Ali Sriti,TN,3e517b2a-36bc-41ce-bf1a-c3629eb6c2b1,
Ajej,TN,b77e79ae-8b0b-4fb2-b4c5-cf706feaab8f,
Khatoui,TN,c56c50fb-7054-42fb-bf71-35de3b46b9ac,
Shrih,TN,1894e073-c132-4135-8436-1836ccbbb25c,
Taxi,TN,b5036da3-b8d4-451c-a379-b3580511e093,
WMD,TN,0dc4e8ab-a008-4d75-8afc-31485e476227,
Medusa,TN,ed8b2aa7-f15c-4a0e-9f2c-650bb9cf48da,
Houwaida,TN,02de451b-8f9c-40e9-861b-899c4c82bf8f,
Zaher Zorgati,TN,779caab2-4557-4bf0-b9b6-fd455721c696,
Paza,TN,c23adb46-8ad1-4db7-8f47-fe8edd4a7f84,
Blue5even,TN,a44935c8-d790-4e5a-8088-6a592600e1e2,
Ud Tunisien,TN,a556415b-9c4b-4648-b589-aba9ee25a51f,
MARVVEN,TN,3a45b92d-155a-4e60-9d7c-3588d6cf1dbf,
Hamzaoui Med Amine,TN,6330d8f6-ce2d-4ccb-b8d2-4fec6828e8f0,
سمية الحثروبي,TN,fcee1ac2-5ad8-424d-a0f9-7e03144754c5,
Crack,TN,f74614b1-d8c0-4938-9387-041ca3ce4015,
Weld L'Mahfoudhi,TN,4a675708-06ab-4bfa-a5b9-2720da2c456f,
The Throne,TN,8249a639-5a09-4783-b142-cf3648fea6ac,
Louay Miled,TN,86e35713-257e-4b72-9645-66d5ec40bb16,
PEROX,TN,667546f5-cc1c-44f3-81f1-238c136d2fe8,
جاسم حرشاني,TN,35307f3e-fb61-4554-a449-f79c78f1b459,
Nasreddine Chebli,TN,acdf3e53-e675-41e5-923f-482c91c06ad5,
Fadhel Boubaker,TN,a43b2a44-6975-417a-aa12-65aae3977895,
Kacem Kefi,TN,68b28bb3-be89-4369-a338-ab8272eccd77,
Zohra Elajnef,TN,537b7c61-e184-463e-887f-8322436fd2c9,
Jihed Monser,TN,042f48f9-48a5-434e-b343-24dd50533667,
