name,country,mbid,youtube_channel
Veʻeveʻe ʻo Táufaʻáhau,TO,65f45e79-b895-469f-9921-30d750881c2e,
Halamangaono Group,TO,3283081f-f41b-4ae9-9284-6cd1b57d96c5,
Ávai ʻo Vuna Choir,TO,f7f4f0f2-3a70-4b0a-ad2c-45a15d4aaf14,
ʻAloʻi Talau,TO,d1ec29b3-a49f-48ca-8fba-6a81d750e132,
Mokini ʻo e Halatuʻi,TO,f31576c3-474f-40bc-a56a-ecdf83c64936,
Funga Veimumuni Group,TO,d095245b-4551-4766-9703-23b926611497,
Kalapu Fáʻonelua,TO,c5091bbf-fd9a-4ed5-8857-075195b17d3d,
Sikaoma ʻo e Halamangaono,TO,c7379c3a-0090-4a00-95e5-5420b89a8389,
Veʻehala,TO,aadaf11e-3865-4f60-af8c-33b52c9c6e4a,
D-Sharp,TO,9afa5665-97e8-49bf-8890-c5f0dccb0f03,
BLKB3RY,TO,30b88113-4096-4546-9dd0-71c705ef87df,
ʻUelingatoni Ngū,TO,d1fd951d-4bc5-4a94-a4f8-1f0ddc847c9d,
