name,country,mbid,youtube_channel
Sezen Aksu,TR,635e2a34-a566-47c4-b61d-fa5d203856aa,
Barış Manço,TR,33736d61-e2a2-4070-88dd-ad2e173d174c,
Müzeyyen Senar,TR,6fa6cab0-1197-4d00-b451-275fc6b4caf5,
Cem Karaca,TR,802247cc-77a2-4671-a02d-ad25bf90e23c,
Zeki Müren,TR,9fcda3ab-a467-4ea9-8569-ae975de0f473,
Ajda Pekkan,TR,838bdef5-4fb9-4465-82c6-e716e6590564,
İbrahim Tatlıses,TR,67345f3f-d77f-4b75-b454-5716b19ccae7,
Selda Bağcan,TR,5e51e09d-0713-4595-b858-d7e887238825,
Sertab Erener,TR,d138302b-4f57-4d1d-83e3-47f95cb51774,
Neşet Ertaş,TR,9e42d92e-a2b4-426b-9b3f-51c36f86b785,
Emel Sayın,TR,a7dcad43-5486-47e8-b351-668b63dfad08,
Zülfü Livaneli,TR,8fc03fdd-6b12-4c52-b4af-2b8a6a49051e,
Tarkan,TR,4ec2451d-ed0c-4273-b683-4c1312df25fd,
Teoman,TR,5b4237d9-d8e9-462b-a76d-558522a5871c,
Nesrin Sipahi,TR,f4ce3662-38dd-43ec-a99c-136a1e312fe5,
Erkin Koray,TR,779fce7e-c99e-4d0c-bfb1-af7aa1c34e80,
Müslüm Gürses,TR,104ed17c-1e58-4cf6-aa11-722341032571,
İlhan İrem,TR,50212d97-29c6-44e5-99f1-345001587723,
Orhan Gencebay,TR,9e758958-7b3d-4112-aa1f-dd0cecb59971,
Orhan Pamuk,TR,0cef8c65-f5b7-4c06-91e5-e4c0d40cd83b,
Nilüfer,TR,379dfde0-a22b-4b45-9bd2-e36285f21ee8,
Muazzez Abacı,TR,035ded70-85ee-4b23-b9c1-39b5d6516655,
İdil Biret,TR,8a2ce8fe-35fa-44b5-a91f-d8cc38dfc676,
Summer Cem,TR,11f4adc5-afc5-4b6b-b6dd-f2c0aeb578f4,
Ruhi Su,TR,8237c155-fc42-4462-af0b-3423dcdba256,
Nükhet Duru,TR,b6c31e9e-e87f-4ee6-a7ca-17c9c483c161,
Ümit Besen,TR,6d8fcd3d-32a2-408e-b73d-e39bae0aac06,
Fazıl Say,TR,131b73d6-049f-43d7-b072-8eb71bffc78d,
Edip Akbayram,TR,b5587a67-0655-4470-80f0-41ad1937b32b,
Muazzez Ersoy,TR,aeef56be-97d3-4965-9b80-94f0722c176c,
Özdemir Erdoğan,TR,092c62fe-6850-4c53-bf7c-9a48f150f3cf,
Pinar Toprak,TR,13ce7457-3916-4ce1-aedb-cf4f5d4275e0,
Aziz Türk Sanat Müziği Grubu,TR,ef074ab6-a2a8-42f7-a454-068265023697,
Zerrin Özer,TR,d8c95230-1c76-44ac-ba7d-3cda39cba2a2,
Alpay,TR,6279dd92-dff9-45d4-ac79-16333a7ab667,
Grup Yorum,TR,0fbf1274-5a51-4e16-867c-99f918f04937,
Bekir Sıdkı Sezgin,TR,7ef61959-65f2-41ab-9ae2-ba890812b7b4,
Can Atilla,TR,8bc8f81d-13c7-41f8-b255-11d674563bed,
Ebru Gündeş,TR,4f827ca0-0f46-4b83-8081-db6a177d819e,
Moğollar,TR,76693ade-bd4a-4338-b2b7-3a494b1fb5fe,
Ahmet Kaya,TR,8fe27e3a-82b3-4002-a885-8c521a1bec14,
Sibel Can,TR,9fc39c14-c7e1-472b-8a70-5d01175e5b14,
Arif Sağ,TR,a731be0c-51f6-497c-b2fd-f9ac34477f97,
Soner Arıca,TR,19af96f1-342f-4dd7-b0e3-75269d85a103,
Sagopa Kajmer,TR,d0416e54-bd61-4498-af75-34ebf0cb84d0,
Serdar Ortaç,TR,82632879-5da9-435d-92c8-f0ae578de9b2,
Mor ve Ötesi,TR,aedd8552-370c-4db0-b0d4-e20d219ab16d,
Zara,TR,f977f5e8-3901-4c61-8255-f73486ea5904,
Münir Nurettin Selçuk,TR,05ca8423-760a-4687-a57e-10cb590dfc86,
Mustafa Oruç,TR,49a81b90-444e-4ce9-95a4-a24df24e765f,
Gülden Karaböcek,TR,2628c5ca-e418-4289-93fc-56f0757319fe,
Hande Yener,TR,ebef6120-fbb3-4537-84bc-27902d5760c1,
Fatih Erkoç,TR,96aebfc4-eaf0-4967-9ed6-e18f42a2a4b6,
Cengiz Kurtoğlu,TR,e6846bd8-a9a9-438a-8858-7006b38ceae1,
Sabahat Akkiraz,TR,be7d3949-ec16-461a-bf98-abecfb08d86d,
Omar Faruk Tekbilek,TR,58fe736f-6368-4f6c-a74c-e37c481f52d1,
Baba Zula,TR,8aefc2cd-c441-4a2a-912f-ae2b9717a865,
Allame,TR,354629ca-5f49-4448-8f29-6e7cc6eb90ff,
Yeni Türkü,TR,4dba3527-4b8d-4767-aed0-79a8dcc3ccf0,
Yıldız Tilbe,TR,0a394d24-f82a-4c73-9d20-2ad20dcf96ff,
Darío Moreno,TR,839adac2-084f-4d31-92c5-40e83d8dd756,
Âşık Veysel,TR,d8d0b08b-4ddc-48da-a608-19584c1e318d,
Nazan Öncel,TR,244186bf-0cc8-40d9-a671-c39df90b9efd,
Mustafa Sandal,TR,9e956eda-5766-4d13-848d-e6fd6d83ea8b,
Bülent Ortaçgil,TR,fda2967c-cfbe-43f9-8e16-0a78ad5cea83,
Bülent Ersoy,TR,a3d94be6-6c19-48ff-b772-2cd79bea9656,
Doğan Dikmen,TR,f9cc2940-4724-499d-9f44-2a8aec983ff7,
Ferdi Tayfur,TR,8ed7d42f-1fae-4461-a41b-47fae9630bba,
Ferdi Özbeğen,TR,dc7594a8-39ec-468c-b2b5-9671ea955cc2,
Haluk Levent,TR,1c8d7545-702f-47f8-82c9-f92687c2339a,
