name,country,mbid,youtube_channel
Bunji Garlin,TT,41efa16f-03e8-4a59-b925-6c6685ad148f,
Machel Montano,TT,cf5ffa07-4fb4-47a1-9d61-8721ae9af576,
Lord Kitchener,TT,2b3f31fe-44d8-4861-950c-a653ec92ed7b,
The Mad Stuntman,TT,d9fc0537-cd51-425d-847f-346025a9b5e9,
Winifred Atwell,TT,b182700d-c0e2-4e3a-8373-e57a76333227,
David Rudder,TT,5007d876-cd84-4773-b55f-32353ba45a47,
Shadow,TT,4df56780-6e79-42ec-b301-f2e63213b18d,
Black Stalin,TT,92ee4ea2-213d-4aa8-a61a-d202dc4de770,
Calypso Rose,TT,ed4a6b66-f07f-41cb-9e5d-ea47d40beba6,
Roaring Lion,TT,48fb5388-88e2-4327-ae8c-dc19185804c8,
Queen Omega,TT,8636578b-9eeb-4bc5-844f-6816890d230c,
Brother Resistance,TT,3102ff7c-d46b-4828-a332-270914c0c59c,
Xtatik,TT,925004de-1d2d-4350-b8c6-a94fa6a00c29,
Lord Melody,TT,29d81b5c-f93b-42c9-8d02-d23dacdb0f87,
Marlon Asher,TT,7f043106-19d6-4be9-9d32-8b877c5c0b7e,
Nailah Blackman,TT,8a3a6fd2-7601-44ac-a716-69c55101b4b0,
Houdini,TT,5264fcdc-9cee-4d87-a354-6f6a704ab370,
Lord Invader,TT,a6565e48-8dca-4c45-8599-27315b833b5e,
Farmer Nappy,TT,995ffd33-edc5-4397-9cbc-40230ab16c62,
Destra Garcia,TT,96e675d3-2639-4d22-9ffa-c3e5463b23c2,
Super Blue,TT,91621fda-efa2-4377-b2b1-9a5bcbf3e80f,
Andre Tanker,TT,d9cde291-86d0-4536-95d3-c6ef7339e248,
Sundar Popo,TT,87136c52-99d4-4f25-9390-957936ac0efe,
J Prince,TT,05c36395-70f0-4d59-a6d7-6dd7a0af90f2,
Baron,TT,c5e14063-36b2-4099-a535-4b5e1749822d,
Iwer George,TT,f5537542-34ca-43fd-918d-c5f3dbd4cd0f,
