name,country,mbid,youtube_channel
鄧麗君,TW,5c5cb762-d95e-47af-a7bf-35171eeab8e6,
周杰倫,TW,a223958d-5c56-4b2c-a30a-87e357bc121b,
王傑,TW,26be5daf-fb48-4eb0-9263-1d9b687288dd,
黃鶯鶯,TW,ce2833fa-d2f1-4193-8690-34841bcb4e17,
蔡琴,TW,099ea308-febe-4387-8fb8-004e81e15d76,
讚美之泉,TW,f4a39518-41e0-4e36-98e8-5c23dd76a5d2,
ChthoniC,TW,81a344e9-a8b1-49a6-80b2-2b03d8a25650,
張惠妹,TW,aeacef89-e4f3-415e-ac9b-0864f438e6a3,
周華健,TW,ba5afaf8-8e63-4e67-aa3c-454071c660a0,
五月天,TW,e73ed332-bbde-4d69-87a9-250627ae0e29,
張信哲,TW,9b02dc5c-6d06-4883-9e89-8086d4b42364,
蔡依林,TW,3033ce2b-2fb2-408e-8c5a-aea48592d7bc,
伍佰 & China Blue,TW,1f240905-1a42-4150-8c81-141eb198885d,
林淑容,TW,cc3a0857-9d03-41d7-acc5-78ec558db873,
王力宏,TW,ae0fd83f-8e50-4cb4-935e-ac7c0b7d7d17,
羅大佑,TW,4a5ca405-3fe1-48e4-a519-93db01f86b36,
王若琳,TW,7f381e24-31b2-4321-a82f-012245a2c620,
S.H.E,TW,bbf19cef-0352-48a1-b37c-8627a5a4bd44,
Farragol,TW,c541d1f4-493e-4c5c-907e-736d0c9be5fc,
王心凌,TW,ebf7170c-82b9-49bb-b392-4777c99b231c,
庾澄慶,TW,3a6ba045-25f8-47f3-af2a-f79b910e0a31,
齊豫,TW,8e6ad6fb-7519-4f78-92bb-ecde3475ad1d,
許茹芸,TW,fb76911f-14c4-4565-8573-336f13e3966e,
曾志豪,TW,36d627c5-c41c-4b54-8901-44b78dc446db,
孟庭葦,TW,7958244e-9422-49e9-bd96-7bf51a631da5,
陶喆,TW,38fe7fb3-2bde-4672-8016-2ba6f7d1808f,
劉若英,TW,983d1026-217b-40a9-bb94-3b4e3b906097,
辛曉琪,TW,3e600db0-d5d0-4373-a000-18ab2bc5d3ba,
任賢齊,TW,7915c16d-0a0b-4ed8-9818-2a2475b80fee,
劉文正,TW,0ce6081f-6f78-40d7-8196-db28ddd27349,
伊能靜,TW,4d423495-3f71-4ba5-8ff7-cb47edf7574a,
李宗盛,TW,c05dc5f9-8b35-43a8-9259-8755a23b1f16,
周傳雄,TW,27c24ef3-a0c6-41d3-b704-21bbe769e744,
蘇打綠,TW,a8fd2a44-2f72-47ea-a6ce-96e8bd7059ec,
滾石群星,TW,b38634af-de4d-4a59-8ff9-bac14e5980bf,
