name,country,mbid,youtube_channel
Hukwe Zawose,TZ,e773ed6a-93e7-45ef-b12a-5881c9a82eb5,
Remmy Ongala,TZ,f644d496-87f8-42d4-aeff-71c5708e8a01,
Dizasta Vina,TZ,cc81ed60-b0d9-4348-a8cc-eb2d0ca98447,
Devzboi1,TZ,a12a50f0-4904-4d95-a006-5245ab92489e,
Diamond Platnumz,TZ,a4dd4cc7-576d-4126-9780-75a48741234e,
Mtakatifu Kizito Makuburi Choir,TZ,3ec10fd6-2314-45b5-bb00-57fb439aea90,
Cuban Marimba Band,TZ,5a5d4ec0-bbca-4253-8458-60fdcbe1ca26,
Culture Musical Club of Zanzibar,TZ,61b3eb94-07fe-4ef2-b9fa-e4701b69af20,
Salim Abdullah,TZ,4b263228-81e9-4cf9-a464-5667e21247d4,
Tanzania Albinism Collective,TZ,91b3434a-4d92-4641-a4bc-d55ca922f25a,
Msafiri Zawose,TZ,517373f5-a275-485c-8f81-9f3175144bca,
Sunburst,TZ,1721c9d0-e3a4-43e3-8446-45b29282a512,
The Tanzanian New Life Band,TZ,4d6368dd-412f-4b6d-9317-230f998fb5ea,
X Plastaz,TZ,07bb3060-4c12-4def-adf4-020e7ae42875,
Christina Shusho,TZ,8b6aaa73-2b03-4a09-ba09-1f60ab9a4e4c,
Seif Salim Saleh,TZ,7662f631-1062-47b0-8302-2d110704a61a,
Bi Kidude,TZ,cce86049-37c7-4c8e-8921-9a410bc7ea82,
Abdullah Mussa Ahmed,TZ,d11f4be7-da4d-4642-8ed8-81ed31e3ae4f,
Master Musicians of Tanzania,TZ,87d17080-0f3f-4837-a993-647fa3089d84,
Jagwa Music,TZ,838bade4-7fd0-4e77-8941-44c42373dd6e,
Ikhwani Safaa Musical Club,TZ,3bcde4d4-a9c9-4076-b894-abf747920501,
Jhikoman,TZ,7f187c41-0ea4-4e67-b121-e4b99f19cca6,
Ndala Kasheba,TZ,fb495d7e-11a8-4d92-808c-3b32adb71bc8,
Vijana Jazz Band,TZ,75a5ee5d-c01d-4b78-91c4-e614caaf9196,
Professor Jay,TZ,2d45bf53-a714-4cb5-8dc8-16e80d4edf76,
Tatunane,TZ,f21f7fde-0304-4764-93c3-87f1a46707ae,
