name,country,mbid,youtube_channel
Dimitri Tiomkin,UA,0ed6e209-dd4d-4c47-b6d0-c3a1ae06fef5,
Nokturnal Mortum,UA,656a7ed6-fb23-4bc3-a7f2-90406ca86fc9,
Океан Ельзи,UA,87a417d3-f118-43e0-bece-3de1bd90fce0,
София Ротару,UA,0ac235b8-26bc-403d-8e0b-b5d8d5a284b2,
Воплі Відоплясова,UA,4f59ee7e-850a-4398-abc9-090d72ad3b0e,
Igor Markevitch,UA,92131d53-a4a7-4513-a879-c067643f0747,
Танок на майдані Конґо,UA,d7fae94e-e7a3-4b8c-bebe-c5176b6e4a4e,
Скрябін,UA,ab9e4973-2663-4e42-8b83-a369d9d2ee2e,
Нэнси,UA,c294dff8-519c-4062-974b-e2885ccfe956,
Николaй Кaпустин,UA,642d73bc-cb3f-496e-94c0-70ae5a90cfb6,
П/Н,UA,2cc6dd96-7799-4926-8994-c4c48d6e1a3a,
Saturn Form Essence,UA,b53e949f-6cc9-41ec-9f8b-d810f62648a5,
Rory in early 20s,UA,82e6c1f9-7f5c-4680-a6ae-262e9f0ceee0,
Omnia,UA,7b6a8344-322e-4eb9-bc55-b658238d31fd,
Unusual Cosmic Process,UA,356d5a6e-90c1-4936-b48d-33679afa3bfc,
Flëur,UA,cbd47e2d-b0c1-4004-9a37-95187982463f,
ВИА Гра,UA,09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f,
r.roo,UA,31978b67-f540-4fef-83b0-d9de0723994f,
Валентин Сильвестров,UA,a4f94049-7b13-4308-9a19-c50348df5825,
Верка Сердючка,UA,10f87b54-0e95-4268-9857-e2660367c305,
Drudkh,UA,469eb232-7163-47a8-96a3-8c82d24b2888,
Karfagen,UA,57c712d8-0968-4ecd-b787-fec39722d0ae,
DIRTYRXNIN,UA,9773c8d0-f6f5-42a8-b414-0fa9cfad3800,
Сокира Перуна,UA,ac61b287-8889-46d2-8359-858e4ad65801,
Jinjer,UA,51b37017-859c-465e-8810-2d2dd41a401e,
Endless Melancholy,UA,b66983dd-f5de-4eef-8a4d-9c05f26a5353,
Moloch,UA,515cf468-8640-4742-be60-3dda5f298823,
Estas Tonne,UA,70b2bb3e-873e-4e32-bbc7-a401b4c88d48,
Hate Forest,UA,2e3a78d1-c6f7-4d40-b131-bd8ac845b730,
Тартак,UA,20cbc4ba-da3b-46f3-9d53-5dc3e0e6d4b9,
Макс Барских,UA,b55854ad-d778-49ce-af7f-74625c8ef308,
Піккардійська Терція,UA,bc25e677-732c-4653-9f26-ea3892e52dd4,
Khors,UA,c4d438cf-87f8-4a3a-bf82-9a95ffb4d741,
Національний Симфонічний Оркестр України,UA,c4005ce8-be7c-4116-8077-8ec9253f3828,
zxz,UA,40fd9e3d-30b5-4068-80e2-32d752fb0cd1,
KLIM,UA,eba5c36e-52bf-412b-ac71-a4ae1668d155,
Крода,UA,52204673-0ed4-47c4-a82b-038938823d6b,
Таїсія Повалій,UA,1e51eeba-c1d3-4e2d-987a-7509456a913c,
Руслана,UA,2079bf75-db95-4b48-b99d-2b6dd92d29e0,
Agressor Bunx,UA,7fc247a5-beae-421d-a808-8d8ce682f271,
The Cancel,UA,71d9dec2-82dd-4e74-9614-513ddec900d8,
Світлана Няньо,UA,65ab2cb7-1c43-494d-ac66-938f49d9f10a,
Gouashe,UA,80c47e9a-7e95-41c3-80b3-15d4e0b01ba3,
Onuka,UA,fbe2ebe7-30b3-4efe-af11-e0563bb8744a,
Шура Черкасский,UA,3f240111-fdb8-4ab4-a579-7352d94b1579,
Бумбокс,UA,4ab0dc51-a8dd-456a-9f43-8a7845301853,
Ірина Білик,UA,2744b6f6-2455-4808-85e7-4ecb79ca1e30,
