name,country,mbid,youtube_channel
Jay-P,UG,46b19f7c-661a-4670-9fbf-e7a85607a069,
MC Yallah,UG,342a1b76-fbe6-40c8-b82b-7004c2d81f4c,
Chrisman,UG,5cfcc66a-fa81-4af2-a3a1-328c54fb686e,
Radio & Weasel,UG,6c892434-5ff6-4375-a380-9e6646b1d14a,
Masaka Kids Africana,UG,30326a02-939f-4343-9a1f-1b19d1764c36,
A Pass,UG,ec1f1304-328f-4ed3-98ae-74a73c6ada7d,
Rachel Magoola,UG,a7540c61-949f-4a78-8acf-be0227c4ec42,
Maurice Kirya,UG,20e59c0b-27b7-4ffc-9285-35bf17805cb3,
The Afrigo Band,UG,35172d7b-b0aa-4944-8d95-d9304ec7cfff,
Mpiima Johnson,UG,88c58ac8-9635-4fd8-a13b-0b44efca381f,
Izaya,UG,5122b31b-5bb8-4c9a-a950-9f0a3c094fcc,
Bernard Kabanda Ssalongo,UG,1ca1233e-45e3-4c99-8184-355d0dcfd373,
JOTIE MUSIC,UG,04a9d17a-32dc-433f-b71e-3493d2cbb599,
Tylerbrizyy,UG,bc809cda-6e7f-4ab8-9489-48babd463fa6,
Don Zilla,UG,9dfe14d9-d7d1-4b3b-95c8-bdbd955d8f6b,
Sandra Nankoma,UG,c4e1de29-2e62-4924-b351-6a1981415ed7,
Imani Milele Choir,UG,36eae857-d9ab-4f0f-b852-d02eae00634a,
Ngoma,UG,b0f27a19-916f-41fd-bde1-9c356746202f,
Mwangaza Children's Choir,UG,185b7ee5-3a3b-4eb1-9893-94e868380811,
Bless Edutainment Music,UG,929b4c68-1f0d-4926-b878-480abc8dead5,
Catu Diosis,UG,986888f0-0402-4875-9058-849d72219680,
Ocen James,UG,7b311e32-be09-4753-9d31-c813c08d9802,
Evon,UG,11723040-99ea-4187-a234-7e350bdbf6a4,
VICt,UG,59f9dc1a-7121-4578-9b0a-49859b73cead,
Flex D’Paper,UG,e343f9b6-df77-4d79-9fe6-e8ed90d76de6,
Moa Keys,UG,0d9aa332-4656-4e6d-9995-1bee42605288,
Janzi Band,UG,c2437f71-3a7d-4537-ba41-0a7c26be799e,
Nakibembe Embaire Group,UG,d7eccd2a-7f10-417f-91f4-246b3928759e,
Alvin Kizz,UG,a3d2ec8d-8616-437e-8e71-17d97776b140,
Juliana Kanyomozi,UG,2ebb73f7-5120-4e4c-a518-24ec7d988d71,
Haka Mukiga,UG,4807f528-99a3-4ad3-841e-068841ffb49d,
Pia Pounds,UG,2075ae7d-a05f-49f8-bb7f-d8939c646c46,
Ixie Okey,UG,1db32361-2c41-407e-a5af-fca3f32e55ae,
Iryn Namubiru,UG,c36a4bee-bf9e-410a-a020-ad6ea2f696cb,
Nymy Media,UG,f559df9d-c18c-498b-9cef-f9efe330ebe9,
Jay K Mulungi,UG,38d577be-e0a6-4c07-afab-d896f66c18ca,
Faggot,UG,cce7f78d-60ae-4f3f-beaa-5c96a9f3133b,
Yami J,UG,c2e7c43c-a4cd-46b5-a1a7-528a2bfd8c9c,
Undercover Brothers Ug,UG,c302eeac-24e3-4dd4-a213-8d2f304b4cd9,
Kapa Boy,UG,596ab196-f893-45ba-8a60-a5eaeb4e8e06,
Waya Boy,UG,1e0ac0fb-ec3a-40f2-9647-8730b8fde263,
Dr lover Bowy,UG,f9f500d9-d17a-402d-80bd-7e7e2dbdf00c,
Mulobo Maswa,UG,a72dc92b-8dcf-45b7-b11f-6da7c828e012,
Krummholz,UG,fbbf6e5f-73b9-4b7a-8e14-8f86bab003a3,
Leo Palayeng Kenna,UG,d85ee74c-aa1d-4347-a405-ace1292729d4,
Cindy Sanyu,UG,97836abb-c0af-489e-aa9e-3361e964c2fb,
Soga Men,UG,8ca3613d-c49b-4499-9728-d36330cb8f64,
Jose Chameleone,UG,5391dd5e-12ee-4be4-8246-98e37a8a6335,
Freddie Kigozi,UG,8de1ac4d-8af5-444b-bbd0-9558ec1e563f,
Troy Mc,UG,e4cce620-6ea0-4b95-b784-47c8dcb632f3,
Giovanni Kiyingi,UG,7b7083a6-8d0c-4463-89a3-5c1aea404bcb,
Muwewesu Xylophone Group,UG,eb5140df-cc6d-437a-acc4-96b0f886ab4e,
MoRoots,UG,592e3fd9-87af-4f2c-9b16-f19655dadb91,
Angela Kalule,UG,4fa64e2b-8b8f-488b-938b-af71a8e1c8b6,
Eli Wamala,UG,a85c9412-ba00-4be9-9d0a-ddce32936a3e,
Tshila,UG,3edd5ce6-c021-484c-a6c9-55a68af3ae62,
Sumoni & Party,UG,05163d5d-6e32-4136-a45a-feeec43351f0,
Ssekinomu,UG,0f21ac6f-9f8e-4d62-b650-b7ef2e8cb0fa,
Kikku Pro Uganda,UG,4fb6d7ff-aefa-4c5a-a0b5-a6ae2830abb5,
Grin Hornet,UG,f28fd00d-be73-49d7-8c8d-eda6f5e0cd3c,
Kampire,UG,2729de99-b6e5-44af-bf22-8703dee0304b,
T-H3nry,UG,362fc211-3f18-4285-9927-fed23c443f46,
Kent & Flosso,UG,94437f64-760d-4785-8213-42e3d82a3f0b,
Rhizo Pass,UG,2a1cb5ff-e94f-4924-ad42-08b06229f295,
Nshuti Mbabazi,UG,b1921def-1463-4004-9851-bbcb3917482e,
Mpiima Music,UG,cb20ab20-7252-4ab7-a204-6a772676c643,
Moïse,UG,5641eed6-c933-4152-9cff-88785676a9e5,
Kaz Kasozi,UG,31dc8bae-8b47-49b4-bcbf-b2ab69edabbe,
Chim Kothari,UG,2757ff4e-8102-4969-9d53-6fca68563d28,
Bless Edutainment,UG,abae46f2-4414-45df-b72e-bec9a3b4d5ae,
Nakisenyi Women's Group,UG,16912733-ccf8-4fdf-a8b3-13688c5ff634,
Ejuku,UG,52793554-7a71-4c13-8b41-8107185a8596,
Luo Cultural Association,UG,70509a7a-8819-487a-8e0b-4736d42b7519,
Mpiima Johnson,UG,e399c71e-95b6-457c-9068-bad3d7cef58e,
Justinian Tamusuza,UG,ba780c25-3fed-4389-8f1d-7b7a717c1643,
TASO Choir,UG,b418d75f-5e19-41b7-b9ab-346aa633a888,
Ateso Jazz Band,UG,1cc93dc5-6c65-41a8-ad5a-2fa85da3176f,
Safari Children's Choir,UG,f4b44fc9-1d6a-493e-80b2-2b83aabd1e35,
Bobi Wine,UG,1077d757-4d9f-451a-8f1e-3912110512f1,
Nsubuga Saava Karim,UG,337fd9b0-b6de-4a77-afee-7e8a7bb0f628,
Makassy,UG,490f8038-dedc-45c9-9395-6204dea3e0d6,
M. Philip & Wamala,UG,4e69940a-191f-4136-b3f8-1336face1266,
Keya,UG,80edc6a2-909e-49cd-97ac-075bd52e5f6c,
Charles,UG,2e7b9e51-d1b2-4a3d-90e1-0d22c328bdef,
Charles Sonko & Sisters,UG,326b5c67-4c2b-46b3-937a-71c45a655087,
Fred Masagazi,UG,2be58197-a547-42c8-8b8e-a37c14804a99,
Annet Nandujja,UG,3afafb1e-d7c5-426a-a717-a0b11ac0fb1a,
Sheikh Burukan Kiwuuwa and Team,UG,dd53feb3-95d4-401b-bf2f-1a8639197fb1,
Jackie Akello,UG,dba49e34-e5b8-4cf1-9d05-96a1dde133df,
Umpapalia Hapipit Baraa,UG,c696ed37-0991-48a4-b21c-951c81976eb8,
Keko,UG,ad8fcfb6-07fd-48dd-8125-74eec51b5391,
Ronald Mabandha,UG,3fd0404d-e602-459e-97c3-8018fbe0845e,
Private Christopher,UG,6a51dccb-8adc-4c6c-ad05-5d154312cfe7,
Private Olum,UG,a17edf4c-0a1a-45bd-be11-67d57c8cdaba,
Private Okello,UG,531ae4f0-0f2f-4681-8b03-7731263b111d,
Herbert Skillz,UG,31f459ed-6eba-4bde-9de2-d1071c34cacd,
Abaimbi be Kanisa Lutiko eye Namirembe,UG,2fec3570-1dd6-4b24-b702-dd5eaafe6739,
John Blaq,UG,b74bbe56-8171-44d3-a13f-08b924be9b20,
Famedellah official,UG,57338324-5179-49d5-89cc-1ba283255de0,
IR::Come One Come All Afrikan Future Soundz,UG,0ebc6370-1007-45e0-8fcf-c9c08c0af811,
Andrew Ahuurra,UG,2eb01377-eced-4992-a67b-341e3c376b16,
Budo African Music Club,UG,63c7652e-3c82-4b97-b75f-fea8837bc6c4,
Kalema Hassan Katipa,UG,2e7c0846-eac1-439b-aabf-e2587a568d9e,
Semuwemba George William,UG,6630ecb4-9631-4d5c-b63f-ffb48d18ba12,
Sekindi John,UG,2f3d174b-3950-43a6-bfa6-46a03d2ef4a8,
John Ssempeke,UG,cb564a11-36a2-4bcf-a154-8ae4c0c105d4,
Sebuufu Steven,UG,bae3cfac-5db1-4742-8623-20e3d5aae79a,
Temutewo Mukasa,UG,46f32e05-a577-4ce5-8709-990efdafde13,
Maria Nanemba Muyinda,UG,5e3e5c85-50cf-4426-bcd6-5dba0ad17b75,
Erusana Lutwana,UG,6ac1edef-695c-491b-ad14-3472268d4c3e,
Hazel Mukisa,UG,a1cfcfeb-bfa5-4f48-b277-eae81984c2d5,
Emlece Cypher,UG,6be17c52-f0bb-42cf-86d3-3e43a95e881f,
Kopolyano Kyobe,UG,4817fc59-e362-441a-a1f7-baa322903f69,
Lagum the Rapper,UG,3feeffd9-403e-412b-a5cc-d5dba7454d05,
Kemishan,UG,6cfb3cda-b017-44a6-903c-b8c6e03163f5,
Fik Famieca,UG,44ce7a89-b47a-48c0-b1d8-642cadde4f1d,
