name,country,mbid,youtube_channel
Bruce Springsteen,US,70248960-cb53-4ea4-943a-edb18f7d336f,
Elvis Presley,US,01809552-4f87-45b0-afff-2c6f0730a3be,
The E Street Band,US,d6652e7b-33fe-49ef-8336-4c863b4f996f,
Bob Dylan,US,72c536dc-7137-4477-a521-567eeb840fa8,
Pearl Jam,US,83b9cbe7-9857-49e2-ab8e-b57b01038103,
Phish,US,e01646f2-2a04-450d-8bf2-0d993082e058,
Grateful Dead,US,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,
Frank Sinatra,US,197450cd-0124-4164-b723-3c22dd16494d,
Metallica,US,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,
Stephen King,US,a4ac255f-9775-4c16-8642-7f51502e45dd,
Louis Armstrong,US,eea8a864-fcda-4602-9569-38ab446decd6,
Ella Fitzgerald,US,54799c0e-eb45-4eea-996d-c4d71a63c499,
Johnny Cash,US,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,
Prince,US,070d193a-845c-479f-980e-bef15710653e,
Nirvana,US,5b11f4ce-a62d-471e-81fc-a69a8278c7da,
Billie Holiday,US,d59c4cda-11d9-48db-8bfe-b557ee602aed,
The Beach Boys,US,ebfc1398-8d96-47e3-82c3-f782abcdb13d,
The Smashing Pumpkins,US,ba0d6274-db14-4ef5-b28d-657ebde1a396,
KISS,US,e1f1e33e-2e4c-4d43-b91b-7064068d3283,
Miles Davis,US,561d854a-6a28-4aa7-8c99-323e6ce46c2a,
Nat King Cole,US,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,
Duke Ellington and His Orchestra,US,c01557ad-d41e-4316-a285-605769e2ab3b,
John Williams,US,53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,
Taylor Swift,US,20244d07-534f-4eff-b4d4-930878889970,
Ray Charles,US,2ce02909-598b-44ef-a456-151ba0a3bd70,
Bing Crosby,US,2437980f-513a-44fc-80f1-b90d9d7fcf8f,
George R. R. Martin,US,b71fd9a0-6432-494c-9f01-14a716bdca2e,
Jerry Goldsmith,US,db403e3d-4753-45d6-8fcb-94db03e882e1,
Frank Zappa,US,e20747e7-55a4-452e-8766-7b985585082d,
Charlie Parker,US,c7356af9-9ea6-4a78-a55b-c73775716312,
John Lee Hooker,US,b0122194-c49a-46a1-ade7-84d1d76bd8e9,
Wilco,US,9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,
Jerry Lee Lewis,US,b59ac58d-036e-4bba-8112-c32a34c4575b,
William Dufris,US,5fe3e1bf-ba2b-4cf6-9bf8-e6700b702b4d,
R.E.M.,US,ea4dfa26-f633-4da6-a52a-f49ea4897b58,
D. J. MacHale,US,1b85c622-6974-4031-bdf1-1c227b7b1c36,
Jimi Hendrix,US,06fb1c8b-566e-4cb2-985b-b467c90781d4,
Duke Ellington,US,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f,
B.B. King,US,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,
George Jones,US,f2903be0-79a7-4334-8cc5-e45309482a97,
Willie Nelson,US,668fd73c-bf54-4310-a139-305517f05311,
Glenn Miller,US,7b353d3c-2bd9-40e3-a21d-b7da3f941339,
Hans Zimmer,US,e6de1f3b-6484-491c-88dd-6d619f142abc,
Nine Inch Nails,US,b7ffd2af-418f-4be2-bdd1-22f8b48613da,
Nina Simone,US,2944824d-4c26-476f-a981-be849081942f,
Roy Orbison,US,0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5,
Madonna,US,79239441-bfd5-4981-a70c-55c3f15c1287,
Dean Martin,US,5e6c760b-42e0-4df4-a221-0269355da00a,
James Brown,US,20ff3303-4fe2-4a47-a1b6-291e26aa3438,
Diana Gabaldon,US,9650eef7-244e-4acc-bbd7-440656dfe670,
Jim Reeves,US,2c05faf7-5cc8-4476-9daa-d177ad75cd34,
Aretha Franklin,US,2f9ecbed-27be-40e6-abca-6de49d50299e,
Michael Jackson,US,f27ec8db-af05-4f36-916e-3d57f91ecf5e,
Marvin Gaye,US,afdb7919-059d-43c1-b668-ba1d265e7e42,
The Doors,US,9efff43b-3b29-4082-824e-bc82f646f93d,
Benny Goodman,US,b09ae88f-4156-4caa-b129-1cacb5e1632e,
Santana,US,9a3bf45c-347d-4630-894d-7cf3e8e0b632,
Muddy Waters,US,f86f1f07-d182-45ce-ae93-ef610880ca72,
Aerosmith,US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,
Chet Baker,US,1ba1d493-7114-45e2-b163-a36d49a0c065,
Sarah Vaughan,US,351d8bdf-33a1-45e2-8c04-c85fad20da55,
Chuck Berry,US,592a3b6d-c42b-4567-99c9-ecf63bd66499,
Merle Haggard,US,deb2448c-6fdf-4d31-921e-757630515dbd,
Marilyn Manson,US,5dfdca28-9ddc-4853-933c-8bc97d87beec,
Dizzy Gillespie,US,e9ba8ccb-505f-4e5c-b909-65998d0d35b5,
Moby,US,8970d868-0723-483b-a75b-51088913d3d4,
Fats Domino,US,e787de5d-49e2-4b1f-9bde-1fd3a671b971,
Count Basie,US,0dbd6300-efdc-420b-857e-895e18fad317,
The Everly Brothers,US,091ec508-877f-4e3c-92a3-10903bbbc7ad,
Bon Jovi,US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,
Dave Matthews Band,US,07e748f1-075e-428d-85dc-ce3be434e906,
Peggy Lee,US,5a2463af-eef0-4a22-bc8f-5865fbe9c78e,
Tori Amos,US,c0b2500e-0cef-4130-869d-732b23ed9df5,
Foo Fighters,US,67f66c07-6e61-4026-ade5-7e782fad3a5d,
Guns N’ Roses,US,eeb1195b-f213-4ce1-b28c-8565211f8e43,
Carpenters,US,4580d83b-093e-4241-91fb-2dd71f5f1f3f,
Bull of Heaven,US,5d1e1b77-3865-4510-8157-f306bbc1293b,
Tony Bennett,US,8be0594f-8c13-46bb-ab06-f93ffba5c776,
Lana Del Rey,US,b7539c32-53e7-4908-bda3-81449c367da6,
Carl Perkins,US,068bd7ab-c38e-4fae-8ed2-cb0c153ed68f,
Leonard Bernstein,US,fa39bc82-9b27-4bbb-9425-d719a72e09ac,
Britney Spears,US,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,
Little Richard,US,95c2339b-8277-49a6-9aaf-08d8eeeaa0be,
Doris Day,US,3db5dfb1-1b91-4038-8268-ae04d15b6a3e,
Henry Mancini,US,83e71a21-caf7-4e48-8ff7-6512d51e88a3,
John Grisham,US,1d5b9aab-a247-4f23-bac5-479c559b9fe0,
Lady Gaga,US,650e7db6-b795-4eb5-a702-5ea2fc46c848,
Stevie Wonder,US,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,
Buddy Holly,US,d352f5dd-3023-4565-a7bb-52396bf8821d,
Billy Joel,US,64b94289-9474-4d43-8c93-918ccc1920d1,
Pixies,US,b6b2bb8d-54a9-491f-9607-7b546023b433,
The Ventures,US,b2cc8903-0077-4bef-8454-ac5cef53d126,
Stan Getz,US,8f2422ab-0ec6-4c92-80c4-afe9622fab32,
Neil Diamond,US,a42d3fd5-55de-4206-86c3-4fbb5404018f,
John Coltrane,US,b625448e-bf4a-41c3-a421-72ad46cdb831,
Dolly Parton,US,1d543e07-d0d2-4834-a8db-d65c50c2a856,
Dan Brown,US,634650ff-6a05-450f-8e44-8669b648bff8,
Danny Elfman,US,5b24fbab-c58f-4c37-a59d-ab232e2d98c4,
The Supremes,US,c1aa2ec9-53e7-4d90-8d36-bac75832e986,
Carole King,US,bf6c29f5-b69f-4842-9031-37f9645d365d,
Chicago,US,3f5be744-e867-42fb-8913-5fd69e4099b5,
The Residents,US,8c9b336e-acc8-4e20-9195-6ed0634da9fc,
Paul Dinletir,US,2d8ef80b-e23c-48d1-9894-be8bd7ac0cee,
They Might Be Giants,US,183d6ef6-e161-47ff-9085-063c8b897e97,
Tom Waits,US,c3aeb863-7b26-4388-94e8-5a240f2be21b,
Eminem,US,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,
The Platters,US,3fb55c03-3ad9-4341-8d0b-7c4c49aefca0,
Goose,US,b925a474-d245-4217-bc13-2e153d82bebb,
Red Hot Chili Peppers,US,8bfac288-ccc5-448d-9573-c33ea2aa5c30,
Barry Manilow,US,7bb60591-46f3-4147-b692-1814a87e832e,
The Drifters,US,9e2d3f58-0653-4007-bcb7-1746fcdd9363,
Ramones,US,d6ed7887-a401-47a8-893c-34b967444d26,
Lou Reed,US,9d1ebcfe-4c15-4d18-95d3-d919898638a1,
Dinah Washington,US,d385947d-c00d-4311-9cf1-a032a1d4040b,
George Gershwin,US,65744963-191a-44ef-a3c7-b693a808a158,
Ike & Tina Turner,US,1c7b3786-b99a-40ab-81e4-f3056da19e13,
Green Day,US,084308bd-1654-436f-ba03-df6697104e19,
