name,country,mbid,youtube_channel
Leo Maslíah,UY,b8468bc4-a202-4c2a-ba1e-7dc75d9cbcf0,
Jaime Roos,UY,df519476-a287-4aa0-bc86-1098b9de0d20,
Jorge Drexler,UY,abb91078-f7db-41f2-8f07-7f37bb739143,
No Te Va Gustar,UY,bbd05acc-33f0-4db6-bc01-41c8b4bfe2df,
La Vela Puerca,UY,d7fd77f6-ea1f-41db-8858-12a0ae143432,
Rubén Rada,UY,5b032b22-6131-44c8-bccc-aae7006eec3a,
Alfredo Zitarrosa,UY,ecc5f6c1-9553-4a3d-bf39-fb805f695d6d,
José Serebrier,UY,31dbc319-ea4c-4ddd-acf8-8716dbcd085c,
Los Shakers,UY,5a6d492a-f114-47a1-b23d-1b1b6d61ac1d,
Buitres Después de la Una,UY,6e97f9bc-0524-42f2-8d8c-f793fce293bf,
El Cuarteto de Nos,UY,97d0cf66-ace2-4f89-b126-00f1917316d9,
Julio Sosa,UY,a9c6a721-367c-4a5a-9e69-62498f6386eb,
Fernando Cabrera,UY,0ab50f00-5c3f-4061-8b2d-f8d01f4c49d3,
La Tabaré,UY,ac81f2d7-6569-4d51-abcc-872bc0a5a826,
Eduardo Mateo,UY,359b7ce1-2a0a-4411-a4ef-19fe125e6c0a,
Trotsky Vengarán,UY,43567aeb-9db4-43bb-9802-d05cbefd5cfb,
Los Iracundos,UY,a1658d98-c4dc-40b9-8bbd-9793f44e64dd,
Mariana Ingold,UY,f811befe-2b14-4c3c-951f-765fba2df832,
Bajofondo,UY,c78a5d46-c631-41bc-8772-439002e3d3aa,
Daniel Viglietti,UY,718f983a-6df2-40f4-9aae-daa626c3153b,
Hugo Fattoruso,UY,2d2152cc-8acd-43d7-a243-556c2f58b366,
Falta y Resto,UY,5d71029b-e4a0-4b81-85bf-b4cf86c1f615,
Eduardo Darnauchans,UY,24cbd205-a376-4295-b2ea-c96e46804d5c,
Luciano Supervielle,UY,593a682a-4161-4d62-a60a-5007d8d55d79,
Agarrate Catalina,UY,ff10c428-38e2-40fc-a50d-7adf0f7f1eb0,
Z@p,UY,a1110b58-d013-4d62-8776-75bd0b6e29a2,
Eduardo Fernández,UY,580a0f83-f445-4873-b93f-a07faae8ef29,
Natalia Oreiro,UY,bf67a751-bce5-4f7a-8d68-e4b5a678fae3,
La Chancha,UY,9b9d685a-eb44-447c-8093-538ecbe94303,
La Trampa,UY,47bd2e84-e64f-459d-b55c-61c184f519ae,
Buenos Muchachos,UY,a450998a-4b3b-49c9-af23-f31127648f76,
Traidores,UY,4de12345-7936-4a32-b903-a43885c0cded,
Canciones para no dormir la siesta,UY,35be1ba9-6b04-4a6c-b696-70df6f264c2a,
Los Estómagos,UY,d8bad56c-f154-47d2-8596-4c8de78f1947,
Once Tiros,UY,6dd28289-657f-4fa1-b488-fbe859cfe17d,
Horacio Ferrer,UY,9600851d-c78a-495e-87bf-2404f4450986,
Martín Buscaglia,UY,856f5cf2-88d1-49be-9104-f7e3a886b9d9,
Osvaldo Fattoruso,UY,2a6b3cb9-9bf1-456f-aaf7-f1384e5f10ac,
Laura Canoura,UY,f2fc40c1-29bd-40b1-96a0-db93158526a1,
Mario Benedetti,UY,bda28921-246b-4059-b309-f4fe7e0c6467,
Los Olimareños,UY,557031ca-6f23-4e33-9c78-0ea73b4f282b,
Cantacuentos,UY,cb08ce1b-5937-4bd6-aed9-f41b31b801dc,
Cuatro Pesos de Propina,UY,e31e62e1-915e-4b06-927b-2c30784f1ca9,
Requiem Aeternam,UY,89a833dd-b4f4-417d-b6c6-63de1a8ac018,
Enrique Campos,UY,22d30244-1787-41c6-a598-ec900c824266,
Abuela Coca,UY,a98bfed0-1f1f-463a-a2c0-d0e206de3204,
Riki Musso,UY,71b3624f-0693-49cf-b23d-28cbe854e35a,
Donato Racciatti,UY,b94f6633-1f69-4487-ad59-9e2c0b154747,
Hereford,UY,25fb8007-51ee-49e6-94c5-f0d756aa4e61,
Jorge Galemire,UY,34176c98-be5f-4b39-805c-0c9dd9259d16,
Carlos Kalmar,UY,4aea3cf6-408b-4079-9511-77dacab277c7,
Mauricio Ubal,UY,bb5a9b77-0ee2-48e3-aca5-eeb28ccd8faf,
The Supersónicos,UY,1e7944c2-c16a-4c0a-b0fc-d9ee759c0669,
Sexteto Electrónico Moderno,UY,0c36fbdb-12ed-44cd-a42e-e833d78fe9e0,
La Mojigata,UY,eb7ef71a-9316-474e-b82b-3faec8379b23,
Motosierra,UY,652d2b80-cda3-4f02-b58c-2df57ed8f100,
Outworld,UY,00b8c6f6-0769-4d8f-b6a9-7907b29d11a4,
Carlos Roldán,UY,82f79544-cdfa-44f0-b6ac-6a7419826842,
Aníbal Sampayo,UY,0503d4fd-8b25-438b-8370-209e821cf042,
Álvaro Pierri,UY,2dec32dd-f75b-42be-beb3-f2ff84343d2d,
Miguel Villasboas,UY,f2a51e5c-06a3-44aa-a43f-f4623bc76e32,
Campo,UY,61513925-697a-4404-a428-521dbf3357ea,
Totem,UY,f35c7c24-7a2e-453b-969b-d73d1d4b88f0,
Corubo,UY,78494ed0-300d-4fdb-ba99-65374c0e1a56,
Raúl Jaurena,UY,dc372963-d46b-4052-b237-525c6e0237a1,
Graf Spee,UY,5cef9e03-990d-43ad-aa50-7c1185af98c8,
La Triple Nelson,UY,5e59074e-7638-4c15-912e-b2fc43c77ab6,
El Club de Tobi,UY,691d4030-1787-46e3-8c38-fc6676d872bc,
Spuntone & Mendaro,UY,099e5258-0640-4c91-961e-9c4b758baed5,
Óscar Cáceres,UY,eb971eed-c215-4306-8992-a73b436c2057,
El Sindykato,UY,f5b5814b-012d-4168-8e27-bf028bf661a0,
Roberto Perera,UY,6301e344-01f0-4efb-86d3-cb0269cd0c64,
El Kinto,UY,3288c6e1-f68d-4df6-b198-08a3f2195dc7,
Psiglo,UY,b52c1330-179f-4936-aaa0-18e5f12e42ef,
Tabaré Cardozo,UY,7b42f914-71a2-42c5-8cd5-60a0fb5c5299,
Lágrima Ríos,UY,ab896066-f501-4bbb-8f92-d1c0e16fe4fb,
Estela Magnone,UY,ca9809ad-e7f0-4c67-912a-d46a3b390866,
Gastón Arévalo,UY,5cac2f9c-9e05-4879-8d64-40aa9a52c72f,
Opa,UY,295f672b-8eab-47a2-82d3-d2836079299f,
Peyote Asesino,UY,1ff0490d-3601-498e-939f-867db5d7f973,
Jorge Bonaldi,UY,a69a023e-0c1e-4531-b9eb-e60bd94a0897,
Fixion,UY,d640f756-6dfa-4da7-bde3-d455ba44f032,
AFC,UY,aa5affc4-7cfa-4859-b80a-dfdc362d9d38,
Alejandro Balbis,UY,af074c4e-b64a-467a-92f5-878f27c8aeb3,
Susana Bosch,UY,4ec9c2b4-5653-4c51-80a8-0e700b7d525d,
Ossuary,UY,78dfc085-68ff-4893-9d08-ecce72a55471,
Gisèle Ben-Dor,UY,0ba6646a-228b-40de-a471-4984de141958,
Héctor Numa Moraes,UY,95f89625-d5cc-4116-93dd-08726bf08c94,
Alberto Wolf,UY,e0ab9294-e1e8-456e-9e58-29f2f4a827b5,
Sordromo,UY,9a24dfab-7d3d-4c18-931d-04d7fedbe526,
Los Mockers,UY,610b025f-6f2a-4f3f-809d-0b7aad005e2e,
Nicolás Pasquet,UY,c83c813b-8542-46ce-9583-da4c1fcd5cd0,
Hablan por la Espalda,UY,142e054c-a6bb-4ef4-9870-d21489c20e95,
Marcelo Demarco,UY,61518219-6920-4467-9aa7-222e2438b5ed,
Gustavo José Pena Casanova,UY,efd65b2d-f677-4031-af57-210794a0faf3,
Santullo,UY,2b106570-161c-4281-9c3b-23a86c68acea,
Santiago Tavella,UY,7f5ab9d4-25d9-4874-8c34-f64b64ed1234,
Gerardo Dorado “El Alemán”,UY,3678cdd2-fca8-4591-b7df-910a2f035420,
Nina Miranda,UY,2721691e-bdfb-408e-9347-b871b059202f,
Federico Britos,UY,92876d92-ceda-4180-819b-38799c1be161,
Alvacast,UY,74902729-22f0-4ecb-b793-e8d9aa8da5c8,
Cursi,UY,ff8d53dc-3c55-4fbf-8a52-8200c0b3326c,
Elefante,UY,f40484a2-ff44-4034-b3f4-7cee40d0a12b,
Beatriz Carnicero,UY,7c56bb17-e504-4b72-8258-612f5f10fa76,
Abel Carlevaro,UY,27d92643-10c7-4932-b118-f9ab6d3ec085,
Los Mareados,UY,3528cffe-9e5a-4b13-a3a3-fb843eabc450,
Chocolate,UY,ae8a211b-917b-48b2-829f-0af1b74f769e,
Max Capote,UY,56767de7-a5ce-405a-a141-4a5e36bdd176,
Dani Umpi,UY,890acb6b-31b7-4799-999c-1a4e7f89a4da,
Jesús Negro y Los Putos,UY,eea66eff-3ba6-422a-a098-1432785a6626,
3Pecados,UY,2037e6ff-5d00-4d4f-9b44-777ca1a51331,
Mateo X 6,UY,88738668-bd63-446e-a2ec-93132195b1a7,
Par,UY,5758b76e-7945-470b-8bcc-83686a912e53,
Pájaro Canzani,UY,ec672a01-97a9-4739-8fdd-77ba70f568a2,
Curtidores de Hongos,UY,ef04c47c-31fd-4bdf-8d20-95c0628ff79e,
Diane Denoir,UY,ce6fd55d-efab-4cb0-ab99-6af417471610,
Yábor,UY,12c8f846-038c-40f6-b930-a20b34127615,
A contramano,UY,064dbc39-d62d-461d-9abc-cbabc554bacc,
Lechuga Zafiro,UY,fcb65ea5-5c9a-465b-a48e-12dcd7f7caf4,
Rombái,UY,183d3f88-109d-4e6c-96a1-e26e3d497b2c,
Los Invasores,UY,0786fc43-7a37-48d2-974f-929c831dc736,
